Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at diagnosis","Can occur at any age",,Low,,,Age depends on etiology
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender",,,Low,,,"Male/Female"
Basic_Info,Patient_Info,age_at_onset,发病年龄,Integer,years,0-120,,,"Age when hypoPTH developed","Important for etiology",,Medium,,,Congenital vs acquired

Laboratory,Calcium,serum_calcium,血清钙,Float,mg/dL,5-12,8.5-10.5,<8.5,"Total serum calcium","Low in hypoparathyroidism",Hypocalcemia,Critical,Diagnostic hallmark,17861-6,"Correct for albumin"
Laboratory,Calcium,corrected_calcium,校正血钙,Float,mg/dL,5-12,8.5-10.5,<8.5,"Albumin-corrected calcium","Ca + 0.8*(4-albumin)",,Critical,More accurate,,"Use if albumin abnormal"
Laboratory,Calcium,ionized_calcium,离子钙,Float,mmol/L,0.8-1.5,1.12-1.32,<1.12,"Ionized calcium","Gold standard measurement",Hypocalcemia,Critical,Most accurate,1994-3,"Unaffected by albumin"
Laboratory,Calcium,hypocalcemia_severity,低钙血症严重程度,Categorical,,"Normal/Mild/Moderate/Severe",,Any,"Severity of hypocalcemia","Mild 7.5-8.5; Moderate 7-7.5; Severe <7 mg/dL",,High,Severe requires urgent treatment,,"Based on corrected Ca"
Laboratory,Calcium,symptomatic_hypocalcemia,症状性低钙血症,Boolean,,Yes/No,No,Yes,"Symptomatic hypocalcemia","Tetany, seizures, or other acute symptoms",Acute_Hypocalcemia,Critical,Urgent IV calcium,,"Medical emergency"

Laboratory,PTH,intact_pth,全段甲状旁腺激素,Float,pg/mL,0-150,10-65,<10,"Intact PTH level","Low or undetectable in hypoparathyroidism",Hypoparathyroidism,Critical,Diagnostic criterion,2731-8,"Should be elevated if Ca low"
Laboratory,PTH,pth_appropriateness,PTH适当性,Categorical,,"Appropriate/Inappropriate",,Inappropriate,"PTH level appropriate for Ca","PTH should be HIGH if Ca is low; if low/normal: hypoPTH",Hypoparathyroidism,Critical,Defines hypoparathyroidism,,"Inappropriately low PTH"
Laboratory,Phosphorus,serum_phosphorus,血清磷,Float,mg/dL,1-8,2.5-4.5,>4.5,"Serum phosphate","Elevated in hypoparathyroidism",Hyperphosphatemia,High,PTH deficiency reduces renal excretion,2777-1,"Opposite of hyperPTH"
Laboratory,Phosphorus,calcium_phosphorus_product,钙磷乘积,Float,mg²/dL²,20-100,<55,>55,"Ca x PO4 product","Risk of ectopic calcification if >55",Ectopic_Calcification,High,Monitor for soft tissue calcification,,"Can cause organ damage"
Laboratory,Magnesium,serum_magnesium,血清镁,Float,mg/dL,0.8-3.0,1.7-2.4,<1.7,"Serum magnesium","Low Mg can cause functional hypoPTH",Hypomagnesemia,High,Correct Mg before Ca,2601-3,"Mg required for PTH secretion"
Laboratory,Magnesium,hypomagnesemia,低镁血症,Boolean,,Yes/No,No,Yes,"Hypomagnesemia present","Mg <1.7 mg/dL can impair PTH release",,High,Replicate Mg first,,"Mg deficiency mimics hypoPTH"

Laboratory,Vitamin_D,25oh_vitamin_d,25羟维生素D,Float,ng/mL,5-100,30-100,<20,"25-OH vitamin D","Check baseline level",,Medium,Optimize before treatment,1989-3,"May need supplementation"
Laboratory,Vitamin_D,1_25oh_vitamin_d,1,25双羟维生素D,Float,pg/mL,10-100,19-67,<19,"1,25-(OH)2 vitamin D","Active form, may be low without PTH",,Medium,PTH stimulates activation,,"Low in hypoPTH"
Laboratory,Renal_Function,serum_creatinine,血清肌酐,Float,mg/dL,0.3-3.0,0.6-1.2,>1.2,"Serum creatinine","Assess kidney function",,High,Hypercalciuria can damage kidneys,2160-0,
Laboratory,Renal_Function,egfr,肾小球滤过率,Float,mL/min/1.73m²,10-150,>60,<60,"Estimated GFR","Monitor for CKD",,High,Chronic hypercalciuria risk,,"Nephrocalcinosis common"
Laboratory,Renal_Function,24hr_urine_calcium,24小时尿钙,Float,mg/24hr,50-500,<300,>300,"24-hour urinary calcium","Often elevated in hypoPTH despite low serum Ca",Hypercalciuria,High,Monitor for kidney stones,6874-2,"Paradoxical hypercalciuria"
Laboratory,Renal_Function,hypercalciuria,高钙尿症,Boolean,,Yes/No,No,Yes,"Hypercalciuria present","Urine Ca >300 mg/day",Nephrolithiasis,High,Risk of stones and CKD,,"Common complication"

Clinical_Features,Neuromuscular,paresthesias,感觉异常,Boolean,,Yes/No,No,Yes,"Numbness and tingling","Perioral, fingertips",Hypocalcemia,High,Classic symptom,,"Most common symptom"
Clinical_Features,Neuromuscular,muscle_cramps,肌肉痉挛,Boolean,,Yes/No,No,Yes,"Muscle cramps and spasms","Carpopedal spasm",,High,Hypocalcemia symptom,,"Can be severe"
Clinical_Features,Neuromuscular,tetany,手足搐搦,Boolean,,Yes/No,No,Yes,"Tetany","Involuntary muscle contractions",Tetany,Critical,Medical emergency,,"Carpopedal spasm, laryngospasm"
Clinical_Features,Neuromuscular,chvostek_sign,Chvostek征,Boolean,,Yes/No,No,Yes,"Chvostek's sign positive","Facial twitch on tapping facial nerve",,Medium,Sign of neuromuscular irritability,,"Not specific"
Clinical_Features,Neuromuscular,trousseau_sign,Trousseau征,Boolean,,Yes/No,No,Yes,"Trousseau's sign positive","Carpopedal spasm with BP cuff inflation",,High,More specific than Chvostek,,"Inflate BP cuff >systolic for 3 min"
Clinical_Features,Neuromuscular,seizures,癫痫发作,Boolean,,Yes/No,No,Yes,"Seizures","Generalized or focal seizures from hypocalcemia",Seizures,Critical,Urgent IV calcium,,"Medical emergency"
Clinical_Features,Neuromuscular,laryngospasm,喉痉挛,Boolean,,Yes/No,No,Yes,"Laryngospasm","Life-threatening airway spasm",,Critical,Emergency intubation may be needed,,"Rare but fatal"

Clinical_Features,Neuropsychiatric,cognitive_impairment,认知障碍,Boolean,,Yes/No,No,Yes,"Cognitive dysfunction","Memory, concentration problems",,Medium,May improve with treatment,,"Chronic hypocalcemia effect"
