Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at diagnosis","Can occur at any age",,Low,,,Affects hormone reference ranges
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender",,,Low,,,"Male/Female"
Basic_Info,Patient_Info,age_at_onset,发病年龄,Integer,years,0-120,,,"Age when hypopituitarism developed","Congenital vs acquired",,Medium,,,Determines etiology likelihood

GH_Axis,Basal_GH,random_gh,随机生长激素,Float,ng/mL,0-50,,,Random GH level,"Not diagnostic, pulsatile secretion",,,Low,Stimulation test needed,2516-4,"GH secretion is pulsatile"
GH_Axis,Stimulation_Test,gh_stimulation_test,GH兴奋试验,Categorical,,"None/ITT/GHRH_arginine/Glucagon",,,"Type of GH stimulation test","ITT gold standard, GHRH-arginine alternative",,High,Required for diagnosis,,"Multiple test options"
GH_Axis,ITT,itt_performed,胰岛素低血糖试验,Boolean,,Yes/No,No,,"Insulin tolerance test performed","Gold standard for GH and ACTH deficiency",,High,Most physiologic,,"Contraindicated if seizure/CAD"
GH_Axis,ITT,itt_nadir_glucose,ITT最低血糖,Float,mg/dL,20-80,,<40,"Nadir glucose during ITT","Must achieve <40 mg/dL for adequate test",,High,Adequate hypoglycemia required,,"Need symptomatic hypoglycemia"
GH_Axis,ITT,itt_peak_gh,ITT峰值GH,Float,ng/mL,0-50,>5,<5,"Peak GH response to ITT","<5 ng/mL diagnostic of GH deficiency",GH_Deficiency,High,Severe if <3,,"Cutoff varies by assay"
GH_Axis,Alternative_Tests,ghrh_arginine_peak_gh,GHRH精氨酸峰值GH,Float,ng/mL,0-50,>11,<11,"Peak GH to GHRH-arginine","<11 ng/mL (BMI<25) or <8 (BMI 25-30) or <4 (BMI>30)",GH_Deficiency,High,BMI-adjusted cutoffs,,"Alternative to ITT"
GH_Axis,Alternative_Tests,glucagon_peak_gh,胰高血糖素峰值GH,Float,ng/mL,0-50,>3,<3,"Peak GH to glucagon stimulation","<3 ng/mL suggests GH deficiency",,Medium,Less commonly used,,

GH_Axis,IGF1,igf1_level,IGF-1水平,Float,ng/mL,20-1000,,,"IGF-1 level","Age and gender dependent",,High,Age-adjusted interpretation,2484-4,"Reflects integrated GH secretion"
GH_Axis,IGF1,igf1_z_score,IGF-1 Z评分,Float,SD,-5 to +3,>-2,<-2,"IGF-1 standard deviations below mean","Z-score <-2 suggests GH deficiency",,High,Standardized measure,,"Low IGF-1 suggestive but not diagnostic"
GH_Axis,Diagnosis,gh_deficiency,生长激素缺乏,Boolean,,Yes/No,No,Yes,"GH deficiency confirmed","Failed stimulation test + low IGF-1",GH_Deficiency,High,Replacement indicated,,"Diagnosis requires stimulation test"
GH_Axis,Diagnosis,gh_deficiency_severity,GH缺乏严重程度,Categorical,,"None/Partial/Severe",,Any,"GH deficiency severity","Severe: peak <3; Partial: 3-5 ng/mL",,Medium,Affects replacement dose,,

Thyroid_Axis,TSH,tsh,促甲状腺激素,Float,mIU/L,0.01-20,0.4-4.0,<0.4,"TSH level","Low or inappropriately normal in central hypothyroidism",Secondary_Hypothyroidism,High,Check free T4,3016-3,"May be normal, low-normal, or low"
Thyroid_Axis,Thyroid_Hormones,free_t4,游离T4,Float,ng/dL,0.3-3.0,0.8-1.8,<0.8,"Free thyroxine","Low in central hypothyroidism",Secondary_Hypothyroidism,High,Diagnostic for central hypothyroidism,3024-7,"Key diagnostic parameter"
Thyroid_Axis,Thyroid_Hormones,total_t4,总T4,Float,μg/dL,2-18,5-12,<5,"Total T4","Affected by binding proteins",,Medium,Free T4 preferred,3053-6,"Less reliable than free T4"
Thyroid_Axis,Thyroid_Hormones,free_t3,游离T3,Float,pg/mL,1-8,2.3-4.2,<2.3,"Free T3","Usually low in hypothyroidism",,Low,Not needed for diagnosis,3051-0,"T3 not needed for diagnosis"
Thyroid_Axis,TRH_Test,trh_stimulation,TRH兴奋试验,Boolean,,Yes/No,No,,"TRH stimulation test performed","Differentiates pituitary from hypothalamic",,Low,Rarely done now,,"Not routinely needed"
Thyroid_Axis,Diagnosis,central_hypothyroidism,中枢性甲减,Boolean,,Yes/No,No,Yes,"Central (secondary) hypothyroidism","Low/normal TSH + low free T4",Secondary_Hypothyroidism,High,Levothyroxine replacement,,"2-10% of hypopituitarism"

Gonadal_Axis_Male,Testosterone,testosterone,睾酮,Float,ng/dL,50-1500,300-1000,<300,"Total testosterone (males)","Low in hypogonadotropic hypogonadism",Hypogonadism,High,Check AM fasting sample,2986-8,"Diurnal variation, check AM"
Gonadal_Axis_Male,Testosterone,free_testosterone,游离睾酮,Float,pg/mL,30-300,50-200,<50,"Free testosterone (males)","Bioavailable fraction",,High,If SHBG abnormal,2990-0,"More accurate if SHBG altered"
Gonadal_Axis_Male,Gonadotropins,lh_male,黄体生成素(男性),Float,mIU/mL,0-20,1-9,<1,"LH level (males)","Low in central hypogonadism",Hypogonadotropic_Hypogonadism,High,Low LH + low T = central,,
Gonadal_Axis_Male,Gonadotropins,fsh_male,卵泡刺激素(男性),Float,mIU/mL,0-20,1-12,<1,"FSH level (males)","Low in central hypogonadism",,High,Check with LH,,
Gonadal_Axis_Male,Clinical,erectile_dysfunction,勃起功能障碍,Boolean,,Yes/No,No,Yes,"Erectile dysfunction","Common symptom of hypogonadism",,Medium,Clinical manifestation,,"May improve with treatment"
Gonadal_Axis_Male,Clinical,decreased_libido_male,性欲减退(男性),Boolean,,Yes/No,No,Yes,"Decreased libido (males)","Low testosterone symptom",,Medium,Assess at each visit,,
Gonadal_Axis_Male,Clinical,infertility_male,男性不育,Boolean,,Yes/No,No,Yes,"Male infertility","Oligo/azoospermia from gonadotropin deficiency",,High,Semen analysis,,"May require gonadotropin therapy"
Gonadal_Axis_Male,Diagnosis,male_hypogonadism,男性性腺功能减退,Boolean,,Yes/No,No,Yes,"Male hypogonadotropic hypogonadism","Low T + low/normal LH/FSH",Hypogonadotropic_Hypogonadism,High,Testosterone replacement,,"Very common in hypopituitarism"

