Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,甲减确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,years,0-120,,,N,甲减确诊时年龄,各年龄段可发病
Basic_Info,gender,性别,categorical,,,"Male,Female,Other",,,Y,患者性别,女性更常见
Basic_Info,ethnicity,种族,categorical,,,"Han,Minority,Caucasian,African,Asian,Other",,,N,种族背景,流行病学

Etiology,primary_etiology,主要病因,categorical,,,"Hashimoto_Thyroiditis,Iatrogenic,Iodine_Deficiency,Congenital,Pituitary,Hypothalamic,Drug_Induced,Transient,Other",,,Y,甲减病因分类,桥本最常见
Etiology,hashimoto_thyroiditis,桥本甲状腺炎,categorical,,,"Yes,No,Suspected",,,N,是否桥本甲状腺炎,自身免疫最常见
Etiology,post_treatment,医源性甲减,categorical,,,"Post_RAI,Post_Surgery,Post_External_Radiation,None",,,N,治疗后甲减,甲亢/癌症术后
Etiology,iodine_status,碘状态,categorical,,,"Deficient,Sufficient,Excess,Unknown",,,N,碘营养状况,缺碘地区
Etiology,congenital_hypothyroidism,先天性甲减,categorical,,,"Yes,No,Unknown",,,N,是否先天性,新生儿筛查
Etiology,central_hypothyroidism,中枢性甲减,categorical,,,"Pituitary,Hypothalamic,No",,,N,继发/三级甲减,TSH正常或低
Etiology,medication_cause,药物诱因,categorical,,,"Lithium,Amiodarone,Interferon,Tyrosine_Kinase_Inhibitor,Anti_Thyroid_Drug,None,Other",,,N,药物相关,锂盐/胺碘酮

Presentation_Symptoms,symptom_onset,症状起始,categorical,,,"Gradual,Sudden,Insidious,Unknown",,,N,症状起病方式,隐匿起病常见
Presentation_Symptoms,symptom_onset_date,症状起始日期,date,,,,,N,首次症状时间,病程评估
Presentation_Symptoms,fatigue,乏力,categorical,,,"Severe,Moderate,Mild,None",,,N,疲劳程度,最常见症状
Presentation_Symptoms,weight_gain,体重增加,categorical,,,"Yes,No",,,N,是否体重增加,低代谢
Presentation_Symptoms,weight_change,体重变化,decimal,kg,-50-50,,,N,体重改变量,通常增加2-10kg
Presentation_Symptoms,cold_intolerance,怕冷,categorical,,,"Severe,Moderate,Mild,None",,,N,畏寒程度,低代谢表现
Presentation_Symptoms,constipation,便秘,categorical,,,"Severe,Moderate,Mild,None",,,N,便秘程度,肠蠕动减慢
