fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,免疫炎症代谢检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,IIM-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,代谢综合征炎症评估
chiefComplaint,主诉,String,患者主要症状和主诉,反复感染乏力
presentIllness,现病史,String,当前疾病详细病史,近3个月反复上呼吸道感染
pastHistory,既往史,String,既往疾病史,2型糖尿病5年
familyHistory,家族史,String,家族遗传病史,母亲类风湿关节炎
allergyHistory,过敏史,String,药物食物过敏史,青霉素过敏
currentMedications,当前用药,String,目前使用的药物,二甲双胍500mg bid
generalCondition,一般情况,String,患者整体状况评估,精神可体力下降
vitalSigns,生命体征,String,血压心率体温呼吸,BP 130/80 HR 78 T 36.5°C
physicalExamination,体格检查,String,全身体格检查发现,浅表淋巴结未触及肿大
immuneSystemExam,免疫系统检查,String,免疫系统专科体检,扁桃体无肿大
skinExam,皮肤检查,String,皮肤粘膜检查,皮肤无皮疹瘀点
lymphNodeExam,淋巴结检查,String,全身淋巴结检查,浅表淋巴结未触及
splenomegaly,脾脏检查,String,脾脏触诊和叩诊,脾脏未触及
hepatomegaly,肝脏检查,String,肝脏触诊和叩诊,肝脏肋下未触及
CRP,C反应蛋白,Number,C反应蛋白水平(mg/L),3.2
hsCRP,超敏C反应蛋白,Number,高敏C反应蛋白(mg/L),1.8
ESR,血沉,Number,红细胞沉降率(mm/h),15
procalcitonin,降钙素原,Number,降钙素原水平(ng/ml),0.08
SAA,血清淀粉样蛋白A,Number,血清淀粉样蛋白A(mg/L),8.5
fibrinogen,纤维蛋白原,Number,纤维蛋白原水平(g/L),3.2
ferritin,铁蛋白,Number,血清铁蛋白(ng/ml),150
transferrin,转铁蛋白,Number,转铁蛋白水平(g/L),2.8
haptoglobin,结合珠蛋白,Number,结合珠蛋白(g/L),1.2
ceruloplasmin,铜蓝蛋白,Number,铜蓝蛋白水平(g/L),0.35
albumin,白蛋白,Number,血清白蛋白(g/L),42
totalProtein,总蛋白,Number,血清总蛋白(g/L),72
globulin,球蛋白,Number,血清球蛋白(g/L),30
albuminGlobulinRatio,白球比,Number,白蛋白球蛋白比值,1.4
IL1beta,白介素1β,Number,IL-1β水平(pg/ml),2.8
IL6,白介素6,Number,IL-6水平(pg/ml),3.5
IL8,白介素8,Number,IL-8水平(pg/ml),12.5
IL10,白介素10,Number,IL-10水平(pg/ml),5.2
IL17,白介素17,Number,IL-17水平(pg/ml),8.0
TNFalpha,肿瘤坏死因子α,Number,TNF-α水平(pg/ml),15.2
IFNgamma,干扰素γ,Number,IFN-γ水平(pg/ml),18.5
IL2,白介素2,Number,IL-2水平(pg/ml),4.8
IL4,白介素4,Number,IL-4水平(pg/ml),3.2
IL12,白介素12,Number,IL-12水平(pg/ml),6.5
TGFbeta,转化生长因子β,Number,TGF-β水平(pg/ml),25.8
VEGF,血管内皮生长因子,Number,VEGF水平(pg/ml),180
PDGF,血小板源性生长因子,Number,PDGF水平(pg/ml),45
MCP1,单核细胞趋化蛋白1,Number,MCP-1水平(pg/ml),250
ICAM1,细胞间黏附分子1,Number,sICAM-1水平(ng/ml),280
VCAM1,血管细胞黏附分子1,Number,sVCAM-1水平(ng/ml),650
selectinE,E选择素,Number,sE-selectin水平(ng/ml),45
selectinP,P选择素,Number,sP-selectin水平(ng/ml),38
complement C3,补体C3,Number,补体C3水平(g/L),1.2
complement C4,补体C4,Number,补体C4水平(g/L),0.25
complementCH50,补体总活性,Number,CH50活性(U/ml),85
complementC1q,补体C1q,Number,C1q水平(mg/L),180
complementC5a,补体C5a,Number,C5a水平(ng/ml),8.5
complementFactor H,补体因子H,Number,因子H水平(μg/ml),520
complementFactor B,补体因子B,Number,因子B水平(μg/ml),250
mannoseBindingLectin,甘露糖结合凝集素,Number,MBL水平(μg/ml),1.8
properdinFactor P,备解素P,Number,properdin水平(μg/ml),18
IgG,免疫球蛋白G,Number,IgG水平(g/L),12.5
IgA,免疫球蛋白A,Number,IgA水平(g/L),2.8
IgM,免疫球蛋白M,Number,IgM水平(g/L),1.5
IgE,免疫球蛋白E,Number,IgE水平(IU/ml),85
IgD,免疫球蛋白D,Number,IgD水平(mg/L),45
IgG1,免疫球蛋白G1,Number,IgG1亚型(g/L),8.2
