Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,onset_date,起病日期,date,,,,,Y,症状开始时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,青少年青年多见
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学

Clinical_Presentation,fever,发热,boolean,,,,,Y,体温升高,常见症状
Clinical_Presentation,fever_duration,发热持续时间,integer,days,0-60,,,Y,发热天数,1-2周典型
Clinical_Presentation,max_temperature,最高体温,decimal,°C,35-42,8310-5,,Y,峰值体温,高热常见
Clinical_Presentation,pharyngitis,咽炎,boolean,,,,,Y,咽喉炎症,三联征
Clinical_Presentation,pharyngitis_severity,咽炎严重度,categorical,,None,Mild,Moderate,Severe,,,Y,无/轻度/中度/重度,渗出性咽炎
Clinical_Presentation,tonsillar_exudate,扁桃体渗出物,boolean,,,,,Y,白色渗出,典型表现
Clinical_Presentation,lymphadenopathy,淋巴结肿大,boolean,,,,,Y,淋巴结病,三联征
Clinical_Presentation,lymphadenopathy_sites,淋巴结部位,categorical,,None,Cervical,Axillary,Inguinal,Generalized,,,Y,无/颈部/腋窝/腹股沟/全身,颈部最常见
Clinical_Presentation,lymph_node_size,淋巴结大小,decimal,cm,0-10,,,N,最大直径,>1cm有意义
Clinical_Presentation,splenomegaly,脾肿大,boolean,,,,,Y,脾脏肿大,三联征
Clinical_Presentation,spleen_palpable,脾可触及,boolean,,,,,Y,左季肋下可及,物理检查
Clinical_Presentation,hepatomegaly,肝肿大,boolean,,,,,Y,肝脏肿大,肝脏累及
Clinical_Presentation,fatigue,乏力,boolean,,,,,Y,疲劳,持续数周至数月
Clinical_Presentation,malaise,不适,boolean,,,,,Y,全身不适,非特异性
Clinical_Presentation,headache,头痛,boolean,,,,,N,头痛,常见症状
Clinical_Presentation,myalgia,肌肉痛,boolean,,,,,N,肌肉酸痛,全身症状
Clinical_Presentation,rash,皮疹,boolean,,,,,Y,皮疹,抗生素相关
Clinical_Presentation,ampicillin_rash,氨苄西林皮疹,boolean,,,,,N,服用氨苄西林后皮疹,高度特异(90%)

Physical_Exam,pharyngeal_erythema,咽部充血,boolean,,,,,Y,咽红肿,炎症
Physical_Exam,palatal_petechiae,腭部瘀点,boolean,,,,,N,软腭瘀点,支持诊断
Physical_Exam,periorbital_edema,眼睑水肿,boolean,,,,,N,眼周水肿,Hoagland征
Physical_Exam,jaundice,黄疸,boolean,,,,,N,黄疸,肝炎表现

Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,当前体温,发热监测
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,感染应激
Vital_Signs,blood_pressure_sys,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,血流动力学
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,呼吸频率,气道梗阻监测

CBC,wbc,白细胞计数,decimal,×10⁹/L,0-100,6690-2,,Y,WBC,白细胞增多
CBC,lymphocyte_percent,淋巴细胞百分比,decimal,%,0-100,736-9,,Y,淋巴细胞%,淋巴细胞增多>50%
CBC,lymphocyte_count,淋巴细胞绝对计数,decimal,×10⁹/L,0-50,731-0,,Y,淋巴细胞数,绝对增多
CBC,atypical_lymphocytes,非典型淋巴细胞,decimal,%,0-50,733-5,,Y,异型淋巴细胞,>10%提示IM
CBC,monocytes,单核细胞,decimal,%,0-30,5905-5,,Y,单核细胞,可增多
CBC,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,Y,Hb,轻度贫血
CBC,platelet,血小板,decimal,×10⁹/L,0-1000,777-3,,Y,PLT,轻度减少

Liver_Function,alt,丙氨酸转氨酶,decimal,U/L,0-2000,1742-6,,Y,ALT,肝炎常见
Liver_Function,ast,天冬氨酸转氨酶,decimal,U/L,0-2000,1920-8,,Y,AST,肝细胞损伤
Liver_Function,total_bilirubin,总胆红素,decimal,μmol/L,0-500,1975-2,,Y,TBil,黄疸
Liver_Function,direct_bilirubin,直接胆红素,decimal,μmol/L,0-200,1968-7,,N,DBil,肝内胆汁淤积
Liver_Function,alkaline_phosphatase,碱性磷酸酶,decimal,U/L,0-1000,6768-6,,Y,ALP,胆汁淤积
Liver_Function,hepatitis,肝炎,boolean,,,,,Y,转氨酶升高,80-90%患者

EBV_Serology,ebv_vca_igm,EBV VCA IgM,categorical,,Negative,Positive,Equivocal,,,Y,阴性/阳性/可疑,急性感染标志
EBV_Serology,ebv_vca_igg,EBV VCA IgG,categorical,,Negative,Positive,Equivocal,,,Y,阴性/阳性/可疑,既往或急性感染
EBV_Serology,ebv_ea_d_igg,EBV EA-D IgG,categorical,,Negative,Positive,Equivocal,,,N,阴性/阳性/可疑,早期抗原-弥散
EBV_Serology,ebv_ebna_igg,EBV EBNA IgG,categorical,,Negative,Positive,Equivocal,,,Y,阴性/阳性/可疑,核抗原-既往感染
EBV_Serology,ebv_pcr,EBV DNA定量,decimal,copies/mL,0-10000000,49349-5,,N,EBV病毒载量,活动性感染

Serology_Interpretation,acute_ebv,急性EBV感染,boolean,,,,,Y,VCA-IgM(+) + EBNA-IgG(-),原发感染
Serology_Interpretation,recent_ebv,近期EBV感染,boolean,,,,,N,VCA-IgM(+) + EBNA-IgG(+),数周至数月
Serology_Interpretation,past_ebv,既往EBV感染,boolean,,,,,N,VCA-IgM(-) + VCA-IgG(+) + EBNA-IgG(+),>6月前

Heterophile_Antibody,monospot_test,单核细胞增多症斑点试验,categorical,,Negative,Positive,,,Y,Paul-Bunnell试验,快速诊断
Heterophile_Antibody,heterophile_antibody,嗜异性抗体,categorical,,Negative,Positive,,,Y,异嗜抗体,敏感性85-90%
Heterophile_Antibody,false_negative_risk,假阴性风险,boolean,,,,,N,<4岁儿童/发病早期,需EBV特异性抗体

Differential_Diagnosis,cmv_serology,CMV血清学,categorical,,Negative,Positive,Not_Tested,,,N,CMV IgM,鉴别诊断
