Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,date,,,,,Y,就诊时间,起病
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,危险分层
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,男性更常见

IE_Classification,ie_type,心内膜炎类型,categorical,,Native_Valve,Prosthetic_Valve,CIED,IVDU_Associated,,,Y,自体瓣膜/人工瓣膜/心脏装置/静脉药物滥用相关,分类
IE_Classification,onset,起病,categorical,,Acute,Subacute,,,Y,急性(<6周)/亚急性(>6周),病程
IE_Classification,healthcare_associated,医疗相关,boolean,,,,,Y,院内/医疗相关,耐药菌风险

Risk_Factors,valvular_heart_disease,心脏瓣膜病,boolean,,,,,Y,瓣膜疾病史,最重要危险因素
Risk_Factors,valve_lesion_type,瓣膜病变类型,categorical,,None,Rheumatic,Degenerative,Congenital,,,N,无/风湿性/退行性/先天性,病因
Risk_Factors,prosthetic_valve,人工瓣膜,boolean,,,,,Y,人工瓣膜置换,高危
Risk_Factors,prosthetic_type,人工瓣膜类型,categorical,,None,Mechanical,Bioprosthetic,,,N,无/机械瓣/生物瓣,感染风险
Risk_Factors,prosthetic_duration,人工瓣膜时间,categorical,,None,Early_LT_1year,Late_GT_1year,,,N,早期<1年/晚期≥1年,病原不同
Risk_Factors,cied,心脏植入式电子装置,boolean,,,,,Y,起搏器/ICD/CRT,CIED-IE
Risk_Factors,previous_ie,既往心内膜炎,boolean,,,,,Y,心内膜炎病史,再发风险
Risk_Factors,ivdu,静脉药物滥用,boolean,,,,,Y,IVDU,右心感染/金葡菌
Risk_Factors,immunosuppression,免疫抑制,boolean,,,,,Y,免疫缺陷,机会性病原
Risk_Factors,diabetes,糖尿病,boolean,,,,,Y,糖尿病,金葡菌风险
Risk_Factors,hemodialysis,血液透析,boolean,,,,,Y,透析,金葡菌菌血症
Risk_Factors,recent_dental_procedure,近期牙科操作,boolean,,,,,N,拔牙/牙周治疗,草绿色链球菌

Clinical_Presentation,fever,发热,boolean,,,,,Y,体温≥38°C,90%患者
Clinical_Presentation,fever_duration,发热持续时间,integer,days,0-365,,,Y,发热天数,亚急性数周
Clinical_Presentation,chills,寒战,boolean,,,,,Y,寒战发抖,菌血症
Clinical_Presentation,night_sweats,盗汗,boolean,,,,,Y,夜间出汗,慢性感染
Clinical_Presentation,weight_loss,体重下降,boolean,,,,,Y,体重减轻,慢性消耗
Clinical_Presentation,fatigue,乏力,boolean,,,,,Y,疲劳,非特异性
Clinical_Presentation,anorexia,厌食,boolean,,,,,Y,食欲减退,全身症状
Clinical_Presentation,dyspnea,呼吸困难,boolean,,,,,Y,气促,心功能不全
Clinical_Presentation,chest_pain,胸痛,boolean,,,,,N,胸痛,心肌梗死/心包炎
Clinical_Presentation,back_pain,背痛,boolean,,,,,N,背部疼痛,椎体骨髓炎
Clinical_Presentation,focal_neurological_deficit,局灶神经缺损,boolean,,,,,Y,偏瘫/失语,脑栓塞

