fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行胰岛素注射技术评估的临床适应症,胰岛素注射技术评估
diagnosisImpression,诊断印象,String,基于评估结果的诊断印象,注射技术基本掌握/需要改进
recommendation,建议,String,基于评估结果的建议,加强注射技术培训和规范化指导

# 基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,45
gender,性别,String,患者性别,男/女
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,8.5
insulinUseDuration,胰岛素使用时间,Number,胰岛素使用时间（年）,3.2
currentInsulinRegimen,当前胰岛素方案,String,当前胰岛素治疗方案,基础胰岛素/餐时胰岛素/预混胰岛素/胰岛素泵
hbA1cLevel,糖化血红蛋白,Number,最近一次糖化血红蛋白水平（%）,7.8

# 胰岛素知识评估
insulinKnowledgeScore,胰岛素知识评分,Number,胰岛素相关知识评分（0-100分）,72
insulinTypeKnowledge,胰岛素类型知识,Number,胰岛素类型和作用时间知识评分（1-5分）,3.5
storageKnowledge,储存知识,Number,胰岛素储存方法知识评分（1-5分）,3.8
dosageCalculationKnowledge,剂量计算知识,Number,胰岛素剂量计算知识评分（1-5分）,3.2
timingKnowledge,时机知识,Number,胰岛素注射时机知识评分（1-5分）,3.6
siteRotationKnowledge,部位轮换知识,Number,注射部位轮换知识评分（1-5分）,3.4
hypoHyperglycemiaKnowledge,低高血糖知识,Number,低血糖和高血糖处理知识评分（1-5分）,3.0

# 注射器具评估
injectionDeviceType,注射器具类型,String,使用的注射器具类型,胰岛素笔/注射器+注射瓶/胰岛素泵/预填充笔
deviceFamiliarity,器具熟悉度,Number,对注射器具熟悉程度评分（1-5分）,3.8
deviceMaintenanceKnowledge,器具维护知识,Number,注射器具维护保养知识评分（1-5分）,3.2
needleChangeFrequency,针头更换频率,String,针头更换频率,每次更换/每天更换/每周更换/不定期更换
needleSize,针头规格,String,使用的针头规格,4mm/5mm/6mm/8mm/12.7mm
needleGaugePreference,针头粗细偏好,String,针头粗细规格,30G/31G/32G/33G
deviceCarryingMethod,器具携带方式,String,注射器具携带方式,专用包/口袋/包包/不携带

# 注射技术评估步骤
handHygienePerformance,手卫生执行,Number,注射前手卫生执行情况评分（1-5分）,4.2
injectionSiteInspection,注射部位检查,Number,注射前部位检查执行情况评分（1-5分）,3.6
insulinPreparation,胰岛素准备,Number,胰岛素准备操作正确性评分（1-5分）,3.8
doseVerification,剂量核实,Number,剂量核实准确性评分（1-5分）,4.0
injectionSiteSelection,注射部位选择,Number,注射部位选择合理性评分（1-5分）,3.4
skinPreparation,皮肤准备,Number,注射部位皮肤准备正确性评分（1-5分）,3.2

# 注射操作技术
needleInsertionAngle,针头插入角度,String,针头插入角度,90度/45度/其他角度
needleInsertionDepth,针头插入深度,String,针头插入深度掌握,完全插入/大部分插入/部分插入/浅表插入
injectionSpeed,注射速度,Number,注射速度控制评分（1-5分）,3.5
needleWithdrawalTiming,针头退出时机,Number,注射后针头停留和退出时机评分（1-5分）,3.2
injectionSitePressure,注射部位按压,Number,注射后部位按压处理评分（1-5分）,3.4
needleRecapping,针头套帽,String,针头使用后处理,立即套帽/分离处理/直接丢弃/重复使用

# 注射部位管理
primaryInjectionSites,主要注射部位,String,主要使用的注射部位,腹部/大腿/上臂/臀部
siteRotationPattern,部位轮换模式,String,注射部位轮换模式,系统轮换/随机轮换/固定部位/不规律轮换
