Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,10-100,,,Y,患者年龄,退变与年龄
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,人群特征
Basic_Info,bmi,体质指数,decimal,kg/m²,15-60,39156-5,,Y,BMI,肥胖影响

Affected_Side,affected_knee,患侧,categorical,,"Right,Left,Bilateral",,,Y,右/左/双侧,单双侧

Symptoms,pain,疼痛,boolean,,,,,Y,膝痛,主诉
Symptoms,pain_location,疼痛部位,categorical,,"Anterior,Medial,Lateral,Posterior,Diffuse",,,Y,前/内/外/后/弥漫,定位诊断
Symptoms,swelling,肿胀,boolean,,,,,Y,关节肿胀,积液/炎症
Symptoms,instability,不稳定,boolean,,,,,Y,打软腿,韧带损伤
Symptoms,locking,交锁,boolean,,,,,N,关节卡住,半月板/游离体
Symptoms,clicking,弹响,boolean,,,,,N,活动弹响,半月板/软骨
Symptoms,stiffness,僵硬,boolean,,,,,N,活动受限,术后/骨关节炎

Mechanism,injury_mechanism,受伤机制,categorical,,"None,Twisting,Direct_Blow,Hyperextension,Landing,Overuse",,,N,扭转/直接打击/过伸/着地/过度使用,无创伤性退变
Mechanism,acute_chronic,急慢性,categorical,,"Acute,Chronic,Acute_on_Chronic,None",,,Y,急性/慢性/急性加重/无损伤,病程

ROM,flexion,屈曲,integer,degrees,0-150,,,Y,屈曲角度,正常135-145°
ROM,extension,伸直,integer,degrees,-10-0,,,Y,伸直角度,正常0°
ROM,extension_deficit,伸直受限,integer,degrees,0-30,,,Y,伸直缺失,关节挛缩
ROM,flexion_contracture,屈曲挛缩,boolean,,,,,N,屈曲固定,严重僵硬

Effusion,joint_effusion,关节积液,categorical,,"None,Small,Moderate,Large",,,Y,无/小/中/大,炎症/损伤
Effusion,ballottement,髌骨浮动试验,categorical,,"Negative,Positive",,,N,大量积液,髌骨浮动

Ligament_Tests,lachman_test,Lachman试验,categorical,,"Negative,Grade_1,Grade_2,Grade_3",,,Y,ACL检查,前抽屉
Ligament_Tests,anterior_drawer,前抽屉试验,categorical,,"Negative,Grade_1,Grade_2,Grade_3",,,Y,ACL检查,屈膝90°
Ligament_Tests,pivot_shift,轴移试验,categorical,,"Negative,Grade_1,Grade_2,Grade_3",,,N,ACL旋转不稳,功能性不稳
Ligament_Tests,posterior_drawer,后抽屉试验,categorical,,"Negative,Grade_1,Grade_2,Grade_3",,,Y,PCL检查,后向移位
Ligament_Tests,valgus_stress,外翻应力试验,categorical,,"Negative,Grade_1,Grade_2,Grade_3",,,Y,MCL检查,0°和30°
Ligament_Tests,varus_stress,内翻应力试验,categorical,,"Negative,Grade_1,Grade_2,Grade_3",,,Y,LCL检查,0°和30°

Meniscus_Tests,mcmurray_test,McMurray试验,categorical,,"Negative,Positive_Medial,Positive_Lateral",,,Y,半月板检查,屈膝旋转
