Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,产妇追踪
Basic_Info,admission_date,入院日期,datetime,,,,,Y,入院时间,分娩开始
Basic_Info,gestational_age,孕龄,decimal,weeks,20-45,49052-4,,Y,妊娠周数,早产/足月/过期
Basic_Info,gravida,妊娠次数,integer,,0-20,11996-6,,Y,怀孕总次数,产科史
Basic_Info,para,分娩次数,integer,,0-20,11977-6,,Y,分娩次数,产次

Onset_Labor,labor_onset,临产方式,categorical,,Spontaneous,Induced,Prelabor_Cesarean,,,Y,自发/引产/择期剖宫产,临产类型
Onset_Labor,spontaneous_labor,自发临产,boolean,,,,,Y,自然发动,生理性
Onset_Labor,induction_of_labor,引产,boolean,,,,,Y,人工引产,医学指征

Induction,induction_indication,引产指征,categorical,,None,Postterm,Preeclampsia,GDM,PROM,Oligohydramnios,IUGR,,,N,无/过期妊娠/子痫前期/GDM/胎膜早破/羊水过少/IUGR,适应症
Induction,bishop_score,Bishop评分,integer,,0-13,72163-1,,N,宫颈成熟度,≥6分有利
Induction,cervical_ripening,促宫颈成熟,boolean,,,,,N,前列腺素/机械扩张,不成熟宫颈
Induction,prostaglandin,前列腺素,boolean,,,,,N,米索前列醇/地诺前列酮,促宫颈成熟
Induction,foley_catheter,Foley球囊,boolean,,,,,N,机械性扩张,宫颈成熟
Induction,oxytocin,缩宫素,boolean,,,,,Y,静脉滴注,宫缩剂
Induction,amniotomy,人工破膜,boolean,,,,,Y,ARM,加速产程

Stages_Labor,first_stage_duration,第一产程时长,integer,hours,0-48,93857-1,,Y,宫口扩张,初产妇<20h/经产妇<14h
Stages_Labor,second_stage_duration,第二产程时长,integer,min,0-300,73765-0,,Y,胎儿娩出,初产妇<3h/经产妇<2h
Stages_Labor,third_stage_duration,第三产程时长,integer,min,0-60,73813-8,,Y,胎盘娩出,<30min
Stages_Labor,prolonged_first_stage,第一产程延长,boolean,,,,,Y,进展缓慢,活跃期停滞
Stages_Labor,prolonged_second_stage,第二产程延长,boolean,,,,,Y,胎头下降停滞,器械助产/剖宫产

Cervical_Dilation,initial_cervical_dilation,入院宫口扩张,integer,cm,0-10,11877-6,,Y,初始宫口,产程起点
Cervical_Dilation,complete_dilation,宫口开全,boolean,,,,,Y,宫口10cm,第二产程开始
Cervical_Dilation,cervical_effacement,宫颈消退,integer,%,0-100,11878-4,,N,宫颈管消失程度,成熟度

Fetal_Position,fetal_presentation,胎先露,categorical,,Cephalic,Breech,Shoulder,,,Y,头先露/臀先露/肩先露,分娩方式
Fetal_Position,cephalic_presentation,头先露,boolean,,,,,Y,头位,最常见
Fetal_Position,breech_presentation,臀先露,boolean,,,,,Y,臀位,剖宫产指征
Fetal_Position,occiput_position,枕位,categorical,,NA,OA,OP,OT,,,N,枕前/枕后/枕横,胎位
Fetal_Position,station,先露位置,integer,cm,-5-5,LP417890-3,,Y,先露与坐骨棘平面关系,下降程度

Rupture_Membranes,rom_status,胎膜状态,categorical,,Intact,Spontaneous,Artificial,,,Y,未破/自然破/人工破,羊水状况
Rupture_Membranes,srom,胎膜自破,boolean,,,,,Y,自然破膜,生理性
Rupture_Membranes,arom,人工破膜,boolean,,,,,Y,人工破膜,加速产程
Rupture_Membranes,prom,胎膜早破,boolean,,,,,Y,临产前破膜,感染风险
Rupture_Membranes,pprom,未足月胎膜早破,boolean,,,,,Y,<37周破膜,早产+感染
Rupture_Membranes,amniotic_fluid_color,羊水颜色,categorical,,Clear,Meconium_Stained,Bloody,,,Y,清亮/胎粪污染/血性,胎儿窘迫

Fetal_Monitoring,efm,电子胎心监护,boolean,,,,,Y,持续EFM,胎儿安危
Fetal_Monitoring,fhr_baseline,胎心基线,integer,bpm,80-200,55283-6,,Y,基线心率,110-160bpm正常
Fetal_Monitoring,fhr_variability,胎心变异,categorical,,Absent,Minimal,Moderate,Marked,,,Y,无/最小/中度/显著,中度(6-25)正常
Fetal_Monitoring,accelerations,加速,boolean,,,,,Y,FHR加速,反应性NST
Fetal_Monitoring,decelerations,减速,categorical,,None,Early,Variable,Late,,,Y,无/早期/变异/晚期,晚期提示胎儿缺氧
Fetal_Monitoring,category_i_tracing,I类胎心,boolean,,,,,Y,正常,继续监测
Fetal_Monitoring,category_ii_tracing,II类胎心,boolean,,,,,Y,不确定,密切观察
Fetal_Monitoring,category_iii_tracing,III类胎心,boolean,,,,,Y,异常,立即干预
Fetal_Monitoring,fetal_scalp_electrode,胎儿头皮电极,boolean,,,,,N,内监测,精确FHR

Analgesia,epidural_analgesia,硬膜外镇痛,boolean,,,,,Y,椎管内镇痛,最常用
Analgesia,spinal_analgesia,蛛网膜下腔镇痛,boolean,,,,,N,脊麻,剖宫产
Analgesia,combined_spinal_epidural,腰硬联合麻醉,boolean,,,,,N,CSE,快速起效+持续
Analgesia,iv_opioids,静脉阿片类,boolean,,,,,N,全身性镇痛,镇痛效果差
Analgesia,nitrous_oxide,笑气,boolean,,,,,N,吸入镇痛,补充镇痛

Delivery_Mode,delivery_mode,分娩方式,categorical,,Spontaneous_Vaginal,Operative_Vaginal,Cesarean,,,Y,自然阴道/器械助产/剖宫产,分娩模式
Delivery_Mode,spontaneous_vaginal_delivery,自然阴道分娩,boolean,,,,,Y,SVD,无干预
Delivery_Mode,operative_vaginal_delivery,器械助产,boolean,,,,,Y,产钳/胎吸,缩短第二产程
Delivery_Mode,forceps_delivery,产钳助产,boolean,,,,,N,产钳,控制性娩出
Delivery_Mode,vacuum_extraction,胎头吸引,boolean,,,,,N,胎吸,负压吸引
Delivery_Mode,cesarean_delivery,剖宫产,boolean,,,,,Y,剖宫产术,腹部分娩

Cesarean_Section,cesarean_indication,剖宫产指征,categorical,,None,Dystocia,Fetal_Distress,Malpresentation,Previous_Cesarean,Placenta_Previa,Abruption,,,N,无/难产/胎儿窘迫/胎位异常/既往剖宫产/前置胎盘/胎盘早剥,适应症
Cesarean_Section,primary_cesarean,初次剖宫产,boolean,,,,,N,首次剖宫产,VBAC基线
Cesarean_Section,repeat_cesarean,再次剖宫产,boolean,,,,,N,既往剖宫产史,择期/急症
Cesarean_Section,emergency_cesarean,急诊剖宫产,boolean,,,,,Y,紧急手术,胎儿窘迫/大出血
Cesarean_Section,uterine_incision_type,子宫切口类型,categorical,,NA,Low_Transverse,Classical,Low_Vertical,,,N,低位横切口/古典式/低位纵切口,TOLAC适宜性

Lacerations,perineal_laceration,会阴裂伤,categorical,,None,First_Degree,Second_Degree,Third_Degree,Fourth_Degree,,,Y,无/I度/II度/III度/IV度,肛门括约肌/直肠
Lacerations,episiotomy,会阴侧切,boolean,,,,,Y,会阴切开,预防严重裂伤
Lacerations,cervical_laceration,宫颈裂伤,boolean,,,,,N,宫颈撕裂,出血

Placenta,placenta_delivery,胎盘娩出,categorical,,Spontaneous,Manual_Removal,,,Y,自然娩出/手工剥离,第三产程
Placenta,retained_placenta,胎盘滞留,boolean,,,,,Y,>30min未娩出,产后出血风险
Placenta_Examination,placenta_complete,胎盘完整,boolean,,,,,Y,胎盘胎膜完整,残留风险
Placenta_Examination,placenta_weight,胎盘重量,decimal,g,200-1000,LP410221-7,,N,胎盘重量,正常约500g

Postpartum_Hemorrhage,pph,产后出血,boolean,,,,,Y,阴道分娩≥500mL/剖宫产≥1000mL,PPH
Postpartum_Hemorrhage,estimated_blood_loss,估计失血量,integer,mL,0-5000,76434-2,,Y,EBL,出血量
Postpartum_Hemorrhage,pph_cause,产后出血原因,categorical,,None,Atony,Trauma,Retained_Tissue,Coagulopathy,,,N,无/宫缩乏力/产道损伤/组织残留/凝血障碍,4T
Postpartum_Hemorrhage,uterine_atony,宫缩乏力,boolean,,,,,Y,子宫收缩不良,PPH最常见原因
Postpartum_Hemorrhage,uterotonics_pph,缩宫素治疗,boolean,,,,,Y,催产素/卡前列素/米索前列醇,宫缩剂
Postpartum_Hemorrhage,bakri_balloon,Bakri球囊,boolean,,,,,N,宫腔填塞,止血
Postpartum_Hemorrhage,blood_transfusion,输血,boolean,,,,,Y,红细胞/血浆/血小板,大出血

Maternal_Complications,chorioamnionitis,绒毛膜羊膜炎,boolean,,,,,Y,发热+子宫压痛+胎心过速,宫内感染
Maternal_Complications,shoulder_dystocia,肩难产,boolean,,,,,Y,头娩出后肩娩出困难,产科急症
Maternal_Complications,uterine_rupture,子宫破裂,boolean,,,,,Y,子宫壁全层破裂,危及生命
Maternal_Complications,amniotic_fluid_embolism,羊水栓塞,boolean,,,,,Y,羊水进入母体循环,高病死率

Newborn_Outcome,live_birth,活产,boolean,,,,,Y,出生时有生命体征,新生儿结局
Newborn_Outcome,stillbirth,死产,boolean,,,,,Y,≥20周/≥350g胎儿死亡,围产儿死亡
Newborn_Outcome,birth_weight,出生体重,decimal,g,300-6000,8339-4,,Y,新生儿体重,LBW/macrosomia
Newborn_Outcome,apgar_1min,Apgar 1分钟,integer,,0-10,9272-6,,Y,1分钟Apgar评分,初步评估
Newborn_Outcome,apgar_5min,Apgar 5分钟,integer,,0-10,9274-2,,Y,5分钟Apgar评分,复苏效果
Newborn_Outcome,neonatal_resuscitation,新生儿复苏,boolean,,,,,Y,复苏措施,窒息
Newborn_Outcome,nicu_admission,NICU入住,boolean,,,,,Y,新生儿重症监护,严重并发症

Umbilical_Cord,cord_gases,脐血气,boolean,,,,,Y,脐动脉/脐静脉血气,酸碱状态
Umbilical_Cord,cord_ph,脐动脉pH,decimal,,6.8-7.5,2745-8,,Y,脐血pH,<7.0酸中毒
Umbilical_Cord,cord_base_excess,脐血剩余碱,decimal,mmol/L,-30-10,1925-7,,N,BE,<-12代谢性酸中毒

Report,delivering_provider,接生医师,string,,,,,Y,分娩医师/助产士,责任人
Report,delivery_date,分娩日期,datetime,,,,,Y,分娩时间,出生日期
