fieldKey,fieldName,fieldType,fieldDescription,exampleValue
examDate,检查日期,String,病理检查日期,2025-03-15
specimenType,标本类型,String,"标本类型。<br>**建议值**: `穿刺活检`, `手术切除标本`, `肝移植标本`, `细针穿刺(FNA)`, `超声引导下穿刺`<br>**临床意义**: 标本类型影响诊断准确性和病理评估范围",手术切除标本
specimenSite,标本部位,String,"肝脏病变部位。<br>**建议值**: `右肝(S5-S8)`, `左肝(S2-S4)`, `尾状叶(S1)`, `多灶性`, `弥漫性`<br>**Couinaud分段**: 肝脏8个功能段<br>**临床意义**: 部位影响手术方式和预后",右肝(S6-S7)
clinicalIndication,临床指征,String,"病理检查适应症。<br>**建议值**: `影像发现占位`, `AFP升高`, `肝硬化随访`, `肝移植术前评估`, `术后复发评估`",影像发现占位
underlyingLiverDisease.cirrhosis,基础肝病.肝硬化,String,"肝硬化程度。<br>**建议值**: `无肝硬化`, `早期肝硬化(F3-F4)`, `显著肝硬化(Child A)`, `严重肝硬化(Child B-C)`<br>**临床意义**: 80-90% HCC发生于肝硬化背景,影响肝功能储备和治疗选择",显著肝硬化(Child A)
underlyingLiverDisease.etiology,基础肝病.病因,String,"肝病病因。<br>**建议值**: `HBV相关`, `HCV相关`, `酒精性肝病`, `非酒精性脂肪性肝炎(NASH)`, `自身免疫性肝炎`, `隐源性`, `混合病因`<br>**中国特点**: HBV占70-80%",HBV相关
underlyingLiverDisease.hbv,基础肝病.乙肝病毒,String,"HBV感染状态。<br>**建议值**: `HBsAg阴性`, `HBsAg阳性`, `HBV-DNA高载量(>2000 IU/mL)`, `HBV-DNA低载量`, `抗病毒治疗中`<br>**临床意义**: HBV是中国HCC最主要病因",HBsAg阳性,HBV-DNA高载量
underlyingLiverDisease.hcv,基础肝病.丙肝病毒,String,"HCV感染状态。<br>**建议值**: `抗HCV阴性`, `抗HCV阳性`, `HCV-RNA阳性`, `已治愈(SVR)`<br>**临床意义**: HCV相关HCC即使病毒清除后仍需长期监测",抗HCV阴性
underlyingLiverDisease.childPughScore,基础肝病.Child-Pugh评分,String,"Child-Pugh肝功能分级。<br>**分级标准**:<br>- A级(5-6分): 肝功能良好<br>- B级(7-9分): 肝功能中度损害<br>- C级(10-15分): 肝功能严重损害<br>**评分项目**: 胆红素、白蛋白、PT、腹水、肝性脑病<br>**临床意义**: 决定能否手术和预后",A级(6分)
underlyingLiverDisease.meldScore,基础肝病.MELD评分,Number,"MELD评分(Model for End-stage Liver Disease)。<br>**计算**: 3.78×ln[胆红素(mg/dL)] + 11.2×ln[INR] + 9.57×ln[肌酐(mg/dL)] + 6.43<br>**范围**: 6-40分<br>**临床意义**: MELD≥15提示肝功能储备差,影响治疗选择",12
clinicalPresentation.symptoms,临床表现.症状,String,"主要临床症状。<br>**建议值**: `无症状(体检发现)`, `右上腹痛/胀`, `消瘦乏力`, `黄疸`, `腹水`, `消化道出血`, `肝性脑病`<br>**临床意义**: 无症状者预后较好,有症状通常为中晚期",无症状(体检发现)
clinicalPresentation.abdominalPain,临床表现.腹痛,String,"腹痛程度。<br>**建议值**: `无`, `轻度隐痛`, `持续性胀痛`, `剧烈疼痛(肿瘤破裂)`, `夜间痛`<br>**临床意义**: 剧烈疼痛提示肿瘤破裂出血可能",轻度隐痛
clinicalPresentation.jaundice,临床表现.黄疸,String,"黄疸程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`<br>**临床意义**: 黄疸提示肝功能严重损害或胆管侵犯,预后差",无
clinicalPresentation.ascites,临床表现.腹水,String,"腹水情况。<br>**建议值**: `无`, `少量`, `中等量`, `大量(张力性腹水)`<br>**临床意义**: 腹水提示肝功能失代偿或腹膜转移",无
clinicalPresentation.performanceStatus,临床表现.体力状态,String,"ECOG体力状态评分。<br>**建议值**: `0分(正常活动)`, `1分(轻度受限)`, `2分(>50%时间卧床)`, `3分(基本卧床)`, `4分(完全卧床)`<br>**临床意义**: BCLC分期重要参数,PS 3-4分不适合积极治疗",0分(正常活动)
tumorMarkers.afp,肿瘤标志物.AFP,Number,"甲胎蛋白(Alpha-fetoprotein)。<br>单位: ng/mL<br>**正常值**: <20 ng/mL<br>**诊断价值**: AFP>400 ng/mL持续1月或>200 ng/mL持续2月 + 影像典型 → 可诊断HCC(无需活检)<br>**灵敏度**: 约60-70%",450
tumorMarkers.afp.interpretation,肿瘤标志物.AFP判读,String,"AFP结果判读。<br>**建议值**: `正常(<20)`, `轻度升高(20-200,警惕慢性肝炎)`, `中度升高(200-400)`, `显著升高(>400,高度提示HCC)`, `极度升高(>1000,强烈提示HCC)`<br>**假阳性**: 肝炎活动期、妊娠、生殖系肿瘤",显著升高(>400)
tumorMarkers.afpL3,肿瘤标志物.AFP-L3,Number,"AFP异质体L3。<br>单位: %<br>**参考值**: <10%<br>**诊断价值**: AFP-L3>10%特异性更高(约95%),假阳性少<br>**临床意义**: AFP阴性的HCC可能AFP-L3阳性",25
tumorMarkers.dcp,肿瘤标志物.DCP/PIVKA-II,Number,"异常凝血酶原(Des-gamma-carboxy prothrombin)。<br>单位: mAU/mL<br>**参考值**: <40 mAU/mL<br>**诊断价值**: DCP>100高度提示HCC,与肿瘤大小和血管侵犯相关<br>**临床意义**: AFP阴性HCC约50%有DCP升高",180
tumorMarkers.cea,肿瘤标志物.CEA,Number,"癌胚抗原。<br>单位: ng/mL<br>**参考值**: <5<br>**临床意义**: HCC一般CEA正常或轻度升高,显著升高提示肝内胆管癌或转移癌可能",4.2
tumorMarkers.ca199,肿瘤标志物.CA19-9,Number,"糖类抗原19-9。<br>单位: U/mL<br>**参考值**: <37<br>**临床意义**: HCC一般正常,升高提示肝内胆管癌(ICC)或混合型cHCC-CCA可能",28
tumorMarkers.ca125,肿瘤标志物.CA125,Number,"糖类抗原125。<br>单位: U/mL<br>**参考值**: <35<br>**临床意义**: 腹水、肝硬化可升高,需结合临床鉴别",45
imaging.ct.findingSummary,影像.CT.主要发现,String,"增强CT主要发现。<br>**典型HCC**: 动脉期快进(wash-in)、门脉期/延迟期快出(wash-out)、包膜强化<br>**LI-RADS分级**: LR-1至LR-5",右肝S6-S7占位,动脉期明显强化,门脉期快速廓清,包膜强化
imaging.ct.liRadsCategory,影像.CT.LI-RADS分类,String,"肝脏影像报告和数据系统分类。<br>**建议值**: `LR-1(明确良性)`, `LR-2(可能良性)`, `LR-3(中度可疑)`, `LR-4(可能HCC)`, `LR-5(明确HCC)`, `LR-M(可能恶性非HCC)`<br>**临床意义**: LR-5 + AFP>200可诊断HCC无需活检",LR-5(明确HCC)
imaging.ct.size,影像.CT.肿瘤大小,Number,"CT测量肿瘤最大径。<br>单位: cm<br>**临床意义**: 大小是分期主要依据,>5cm预后差",6.5
imaging.ct.number,影像.CT.肿瘤数目,Number,"CT发现肿瘤结节数目。<br>**临床意义**: 单发vs多发影响分期和治疗选择,多发(≥3个)提示预后差",1
imaging.ct.vascularInvasion,影像.CT.血管侵犯,String,"CT显示血管侵犯。<br>**建议值**: `无`, `门静脉主干瘤栓`, `门静脉分支瘤栓`, `肝静脉瘤栓`, `下腔静脉瘤栓`, `胆管癌栓`<br>**临床意义**: 大血管侵犯是BCLC C期(晚期),显著影响预后",门静脉右支瘤栓
imaging.ct.extrahepatic,影像.CT.肝外转移,String,"CT发现肝外转移。<br>**建议值**: `无`, `肺转移`, `骨转移`, `腹膜转移`, `肾上腺转移`, `淋巴结转移`<br>**临床意义**: 肝外转移为M1期,预后极差",无
imaging.mri.findings,影像.MRI.主要发现,String,"MRI主要发现(优于CT用于小肝癌检出)。<br>**典型HCC**: T1低信号、T2高信号、DWI高信号、动态增强快进快出",T1低信号T2高信号,DWI明显受限,动脉期强化门脉期廓清
imaging.mri.hepatobiliaryScan,影像.MRI.肝胆特异对比剂,String,"肝胆特异对比剂(Gd-EOB-DTPA) MRI表现。<br>**HCC特征**: 肝胆期低信号(肝细胞摄取功能丧失)<br>**建议值**: `未做`, `肝胆期低信号`, `肝胆期等/高信号(提示FNH/腺瘤)`, `环形强化`",肝胆期低信号
pathology.grossDescription.size,大体.肿瘤大小,Number,"病理大体测量肿瘤最大径。<br>单位: cm<br>**临床意义**: 病理大小是TNM T分期依据",7.2
pathology.grossDescription.number,大体.肿瘤数目,Number,"大体计数肿瘤结节数。<br>**临床意义**: 多发结节提示肝内转移或多中心起源",1
pathology.grossDescription.appearance,大体.肿瘤外观,String,"肿瘤大体外观描述。<br>**建议值**: `膨胀性生长,边界清楚`, `浸润性生长,边界不清`, `结节型`, `块状型`, `弥漫型`, `包膜形成`, `中央坏死`, `出血`<br>**临床意义**: 包膜形成和膨胀性生长预后较好",结节型,边界较清,可见包膜
pathology.grossDescription.color,大体.切面颜色,String,"肿瘤切面颜色。<br>**建议值**: `灰白色`, `黄褐色(脂肪变)`, `绿色(胆汁)`, `暗红色(出血)`, `灰黄色伴坏死`<br>**临床意义**: 绿色提示胆汁分泌(HCC特征)",黄褐色,部分区域坏死
pathology.grossDescription.texture,大体.质地,String,"肿瘤质地。<br>**建议值**: `软`, `中等`, `硬`, `脆`, `胶冻样`<br>**临床意义**: 质地反映纤维化程度和肿瘤类型",中等
pathology.grossDescription.capsule,大体.包膜,String,"肿瘤包膜情况。<br>**建议值**: `完整包膜`, `部分包膜`, `无包膜`, `包膜侵犯`<br>**临床意义**: 完整包膜是预后良好因素,包膜侵犯易复发",部分包膜
pathology.grossDescription.satelliteNodules,大体.卫星灶,String,"卫星结节情况。<br>**定义**: 主肿瘤周围2cm内的小结节<br>**建议值**: `无`, `1-2个`, `3-5个`, `>5个`<br>**临床意义**: 卫星灶提示肝内微转移,显著影响预后",无
pathology.grossDescription.necrosis,大体.坏死,String,"肿瘤坏死程度。<br>**建议值**: `无坏死`, `局灶坏死(<25%)`, `中度坏死(25-50%)`, `广泛坏死(>50%)`<br>**临床意义**: 大面积坏死提示肿瘤生长快或介入治疗后",局灶坏死(<25%)
pathology.grossDescription.hemorrhage,大体.出血,String,"肿瘤内出血。<br>**建议值**: `无`, `点状出血`, `片状出血`, `大片出血坏死`<br>**临床意义**: 出血可能与肿瘤破裂或血供丰富有关",点状出血
pathology.grossDescription.bile,大体.胆汁,String,"胆汁染色情况。<br>**建议值**: `无`, `局部胆汁染色`, `弥漫胆汁染色`<br>**临床意义**: 胆汁分泌是HCC特征性表现(肝细胞来源)",局部胆汁染色
pathology.histologicalType,病理.组织学类型,String,"原发性肝癌组织学类型(WHO 2019分类)。<br>**建议值**: `肝细胞癌(HCC)`, `肝内胆管癌(ICC)`, `混合型肝细胞-胆管细胞癌(cHCC-CCA)`, `纤维板层型肝细胞癌`, `肝母细胞瘤`, `未分化癌`, `转移性肝癌`<br>**中国分布**: HCC 75-85%, ICC 10-15%, cHCC-CCA 2-3%",肝细胞癌(HCC)
pathology.hcc.subtype,HCC.亚型,String,"肝细胞癌亚型。<br>**建议值**: `经典型(普通型)`, `透明细胞型`, `脂肪变性型`, `硬化型`, `巨块型`, `小肝癌(≤3cm)`, `微小肝癌(≤2cm)`<br>**临床意义**: 透明细胞型和硬化型较少见,预后与经典型相似",经典型
pathology.hcc.architecturalPattern,HCC.结构模式,String,"HCC组织结构模式。<br>**建议值**: `小梁型(trabecular,最常见)`, `假腺样型(pseudoglandular)`, `实体型(compact/solid)`, `硬化型(scirrhous)`, `混合型`<br>**临床意义**: 小梁型模拟正常肝索结构,是HCC典型表现",小梁型为主,局灶假腺样
pathology.hcc.cellType,HCC.细胞类型,String,"HCC肿瘤细胞类型。<br>**建议值**: `普通肝细胞型`, `透明细胞型(糖原/脂肪)`, `多形性巨细胞型`, `梭形细胞型`, `嗜酸性细胞型(富含线粒体)`<br>**临床意义**: 透明细胞型需与透明细胞肾癌转移鉴别",普通肝细胞型
pathology.hcc.edmondsonSteinerGrade,HCC.Edmondson-Steiner分级,String,"Edmondson-Steiner病理分级(国际通用)。<br>**分级标准**:<br>- I级(高分化): 肿瘤细胞小,核浆比接近正常,排列成细小梁,难以识别<br>- II级(中分化): 肿瘤细胞增大,核浆比增加,核仁明显,小梁增宽<br>- III级(低分化): 细胞明显异型,核浆比高,核分裂多见,实性巢状排列<br>- IV级(未分化): 高度异型,巨核/多核,排列紊乱<br>**临床意义**: 分级越高预后越差,是独立预后因素",II级(中分化)
