字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,HCC20250322001
diagnosisDate,确诊日期,Date,肝癌确诊日期,2025-03-22
age,年龄,Number,确诊时年龄(岁),55
gender,性别,String,患者性别,男

# 临床表现
symptoms.abdominalPain,症状.腹痛,Boolean,"**右上腹痛**: 50-60%患者<br>**钝痛或胀痛**: 肝包膜膨胀<br>**肿瘤破裂**: 急性剧痛",true
symptoms.abdominalDistension,症状.腹胀,Boolean,"**腹胀**: 肝脏肿大、腹水<br>**进食后加重**: 常见",true
symptoms.weightLoss,症状.体重下降,Boolean,"**>5kg/3月**: 50-60%患者<br>**肿瘤消耗**: 营养不良",true
symptoms.weightLoss.amount,症状.体重下降.数值,Number,3个月内体重下降(kg),6
symptoms.jaundice,症状.黄疸,Boolean,"**黄疸**: 20-30%患者<br>**肝门侵犯**: 胆管受压<br>**肝功能失代偿**: 弥漫性肝病",false
symptoms.ascites,症状.腹水,Boolean,"**腹水**: 门脉高压、肝功能差<br>**癌性腹水**: 腹膜转移",false
symptoms.fever,症状.发热,Boolean,"**肿瘤热**: 30-40%患者<br>**低热**: 肿瘤坏死释放热原",false
symptoms.bleeding,症状.出血,Boolean,"**消化道出血**: 食管胃底静脉曲张<br>**肿瘤破裂出血**: 罕见但危险",false

# 肿瘤特征
tumor.type,肿瘤.类型,String,"**肝细胞癌(HCC)**: 85-90%(最常见)<br>**肝内胆管癌(ICC)**: 10-15%<br>**混合型**: <5%",肝细胞癌(HCC)
tumor.location,肿瘤.部位,String,"**右叶**: 60-70%<br>**左叶**: 20-30%<br>**双叶**: 10-15%",右叶
tumor.number,肿瘤.病灶数,Number,"**单发**: 预后较好<br>**多发**: 2-3个<br>**弥漫性**: 多发病灶",1
tumor.size,肿瘤.最大径,Number,肿瘤最大直径(cm),5.5
tumor.macroscopic,肿瘤.大体类型,String,"**巨块型**: >5cm单发<br>**结节型**: 单发或多发结节<br>**弥漫型**: 弥漫浸润,预后差",结节型

# 病理分型
pathology.histology,病理.组织学类型,String,"**肝细胞癌**: 梁状结构<br>**胆管细胞癌**: 腺癌结构<br>**混合型**: HCC-ICC混合",肝细胞癌
pathology.differentiation,病理.分化程度,String,"**高分化**: 预后较好<br>**中分化**: 最常见<br>**低分化**: 预后差",中分化
pathology.vascularInvasion,病理.血管侵犯,Boolean,"**微血管侵犯(MVI)**: 复发高危因素<br>**大血管侵犯**: 门静脉、肝静脉、下腔静脉",true
pathology.capsule,病理.包膜,Boolean,"**完整包膜**: 预后较好<br>**无包膜**: 浸润性生长,预后差",true

# 基础肝病
liverDisease.cirrhosis,基础肝病.肝硬化,Boolean,"**肝硬化**: 80-90% HCC伴肝硬化<br>**背景**: 乙肝、丙肝、酒精、NASH",true
liverDisease.etiology,基础肝病.病因,String,"**HBV**: 中国最常见(80%)<br>**HCV**: 西方常见<br>**酒精性**: 10-15%<br>**NASH**: 非酒精性脂肪肝<br>**其他**: 自免肝、PBC、血色病",HBV相关肝硬化
liverDisease.childPugh,基础肝病.Child-Pugh分级,String,"**A级(5-6分)**: 肝功能良好,可手术<br>**B级(7-9分)**: 肝功能中度受损<br>**C级(10-15分)**: 肝功能差,不适合手术",A级(5分)
liverDisease.childPugh.score,基础肝病.Child-Pugh.评分,Number,"Child-Pugh评分(5-15分)。<br>**5-6**: A级<br>**7-9**: B级<br>**10-15**: C级",5
liverDisease.meld,基础肝病.MELD评分,Number,"MELD评分。<br>**<9**: 肝功能良好<br>**10-19**: 中度<br>**≥20**: 重度<br>**公式**: 3.78×ln(胆红素)+11.2×ln(INR)+9.57×ln(肌酐)+6.43",8

# 病毒性肝炎
hepatitis.hbv,病毒性肝炎.HBV,Boolean,"**HBV感染**: 中国最主要病因<br>**HBsAg阳性**: 慢性HBV感染",true
hepatitis.hbv.hbsag,病毒性肝炎.HBV.HBsAg,String,"**阳性**: 慢性HBV感染<br>**阴性**: 既往感染或未感染",阳性
hepatitis.hbv.dna,病毒性肝炎.HBV.HBV-DNA,Number,"HBV-DNA载量(IU/mL)。<br>**<2000**: 低载量<br>**>2000**: 高载量,需抗病毒",5.8×10^5
hepatitis.hbv.antiviral,病毒性肝炎.HBV.抗病毒治疗,Boolean,"**核苷类似物**: 恩替卡韦、替诺福韦<br>**术前术后**: 降低复发风险",true
hepatitis.hbv.antiviral.drug,病毒性肝炎.HBV.抗病毒药物,String,"**恩替卡韦**: 0.5mg qd<br>**替诺福韦**: TAF 25mg qd",恩替卡韦

hepatitis.hcv,病毒性肝炎.HCV,Boolean,"**HCV感染**: 西方主要病因<br>**抗HCV阳性**: HCV感染",false
hepatitis.hcv.antibody,病毒性肝炎.HCV.抗HCV,String,"**阳性**: HCV感染(既往或现症)<br>**HCV-RNA**: 确认现症感染",阴性
hepatitis.hcv.rna,病毒性肝炎.HCV.HCV-RNA,String,"**阳性**: 现症HCV感染<br>**DAA治疗**: 直接抗病毒药物",未检测

# 肿瘤标志物
tumorMarkers.afp,肿瘤标志物.AFP,Number,"甲胎蛋白(ng/mL)。<br>**正常值**: <20 ng/mL<br>**>400**: 高度提示HCC<br>**敏感性**: 60-70%<br>**特异性**: 80-90%",850
tumorMarkers.afp.trend,肿瘤标志物.AFP.趋势,String,"**持续升高**: 肿瘤进展<br>**下降**: 治疗有效<br>**监测**: 每1-3月",持续升高
tumorMarkers.afpl3,肿瘤标志物.AFP-L3,Number,"AFP-L3百分比(%)。<br>**>10%**: 高度提示HCC<br>**特异性**: 高于AFP",25
tumorMarkers.dcp,肿瘤标志物.DCP,Number,"异常凝血酶原(mAU/mL)。<br>**正常值**: <40 mAU/mL<br>**>100**: 提示HCC<br>**血管侵犯**: DCP高度相关",280
tumorMarkers.cea,肿瘤标志物.CEA,Number,"CEA水平(ng/mL)。<br>**ICC**: 常升高<br>**HCC**: 通常正常",3
tumorMarkers.ca199,肿瘤标志物.CA19-9,Number,"CA19-9水平(U/mL)。<br>**ICC**: 常升高<br>**HCC**: 通常正常",15

# 影像学检查
imaging.ultrasound,影像学.超声.发现,String,"**筛查**: 高危人群每6月超声+AFP<br>**典型HCC**: 低-等-高回声<br>**门静脉癌栓**: 多普勒血流",右肝5cm低回声占位,内见血流信号
imaging.ct.performed,影像学.增强CT.是否完成,Boolean,"**多期扫描**: 动脉期、门静脉期、延迟期<br>**典型强化**: 快进快出",true
imaging.ct.arterial,影像学.CT.动脉期强化,String,"**快进**: 动脉期明显强化<br>**HCC典型**: 富血供肿瘤",明显强化
imaging.ct.washout,影像学.CT.廓清,String,"**快出**: 门静脉期/延迟期廓清<br>**HCC典型**: 低密度",门静脉期廓清
imaging.ct.capsule,影像学.CT.包膜强化,Boolean,"**包膜强化**: 延迟期包膜强化<br>**HCC特征**: 假包膜",true
imaging.ct.pvtt,影像学.CT.门静脉癌栓,Boolean,"**PVTT**: 门静脉癌栓<br>**分型**: Cheng分型I-IV型<br>**预后**: 极差",false
imaging.ct.metastasis,影像学.CT.转移,String,"**肺转移**: 最常见<br>**骨转移**: 椎体常见<br>**淋巴结**: 肝门、腹腔",无远处转移

imaging.mri.performed,影像学.MRI.是否完成,Boolean,"**金标准**: MRI诊断HCC<br>**多期扫描**: 动态增强+DWI<br>**敏感性**: 高于CT",true
imaging.mri.arterial,影像学.MRI.动脉期强化,String,"**明显强化**: 动脉期高信号<br>**T2高信号**: 肿瘤信号",明显强化
imaging.mri.washout,影像学.MRI.廓清,String,"**廓清**: 门静脉期/延迟期低信号",延迟期廓清
imaging.mri.capsule,影像学.MRI.包膜强化,Boolean,"**包膜强化**: 延迟期包膜环形强化",true
imaging.mri.dwi,影像学.MRI.DWI,String,"**DWI高信号**: 扩散受限<br>**ADC低信号**: HCC特征",DWI高信号,ADC低信号
imaging.mri.hbp,影像学.MRI.肝胆期,String,"**肝胆特异对比剂**: Gd-EOB-DTPA<br>**肝胆期低信号**: HCC特征",肝胆期低信号

# 分期系统
staging.bclc,分期.BCLC分期,String,"**0期**: 极早期,单发<2cm,PS 0,Child-Pugh A<br>**A期**: 早期,单发或≤3个<3cm,PS 0,Child-Pugh A-B→手术/消融<br>**B期**: 中期,多发,PS 0,Child-Pugh A-B→TACE<br>**C期**: 晚期,血管侵犯/肝外转移,PS 1-2,Child-Pugh A-B→索拉非尼/仑伐替尼<br>**D期**: 终末期,PS 3-4,Child-Pugh C→姑息治疗",A期
staging.cnlc,分期.CNLC分期,String,"**Ia期**: 单发≤5cm,无血管侵犯<br>**Ib期**: 单发>5cm,无血管侵犯<br>**IIa期**: 2-3个≤3cm<br>**IIb期**: 2-3个,任一>3cm<br>**IIIa期**: ≥4个<br>**IIIb期**: 血管侵犯/肝外转移",Ib期

staging.tnm,分期.TNM分期,String,"**T1**: 单发无血管侵犯<br>**T2**: 单发有血管侵犯或多发≤5cm<br>**T3**: 多发>5cm<br>**T4**: 侵犯门静脉/肝静脉主干或邻近器官<br>**N1**: 区域淋巴结转移<br>**M1**: 远处转移",T2N0M0,II期

# 治疗方案 - 根治性治疗
treatment.surgery.performed,治疗.手术切除.是否实施,Boolean,"**根治性切除**: 首选治疗<br>**适应证**: BCLC 0-A期,Child-Pugh A,肝功能储备好",true
treatment.surgery.type,治疗.手术.术式,String,"**肝段切除**: 保留更多肝组织<br>**半肝切除**: 右半肝/左半肝<br>**局部切除**: 楔形切除<br>**解剖性切除**: 推荐",右后叶切除术
