字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行超声检查的日期,2025-08-15
liverSize,肝脏大小,String,肝脏的尺寸（如：肋下几厘米，或具体测量值）,肋下未及
liverMorphology,肝脏形态,String,"肝脏的整体形态描述。<br>**建议值**: `正常`, `肿大`, `缩小`, `形态失常`",正常
liverEchogenicity,肝实质回声,String,"肝实质的整体回声描述。<br>**建议值**: `均匀`, `弥漫性增强`, `弥漫性减低`, `不均匀`",回声均匀
liverSurface,肝脏表面,String,"肝脏包膜的表面情况。<br>**建议值**: `光滑`, `粗糙`, `结节状`",光滑
intrahepaticBileDucts,肝内胆管,String,"肝内胆管是否扩张。<br>**建议值**: `未见扩张`, `扩张`",未见扩张
portalVeinDiameter,门静脉内径(mm),Number,门静脉的内径测量值,10
hepaticVeins,肝静脉,String,肝静脉的描述（如：通畅，扩张）,通畅
liverLesions.location,肝脏占位列表.位置,String,"肝脏占位列表，每个对象描述一个占位的详细信息。占位的具体位置。<br>**建议值**: `肝S1段`, `肝S2段`, `肝S3段`, `肝S4段`, `肝S5段`, `肝S6段`, `肝S7段`, `肝S8段`",肝S5段
liverLesions.size,肝脏占位列表.大小,String,肝脏占位列表，每个对象描述一个占位的详细信息。占位的尺寸（长*宽*高）,2.0cm*1.5cm
liverLesions.echogenicity,肝脏占位列表.回声,String,"肝脏占位列表，每个对象描述一个占位的详细信息。占位的回声特征。<br>**建议值**: `无回声`, `低回声`, `等回声`, `高回声`, `混合回声`",无回声
liverLesions.type,肝脏占位列表.类型,String,"肝脏占位列表，每个对象描述一个占位的详细信息。占位的性质类型。<br>**建议值**: `囊性`, `实性`, `混合性`",囊性
liverLesions.bloodFlow,肝脏占位列表.血流,String,"肝脏占位列表，每个对象描述一个占位的详细信息。彩色多普勒血流成像显示的血流信号。<br>**建议值**: `无血流信号`, `少量血流信号`, `丰富血流信号`",无血流信号
gallbladder,胆囊,String,"胆囊的描述。<br>**建议值**: `正常`, `胆囊壁增厚`, `胆囊结石`, `胆囊息肉`, `胆囊切除术后`",正常
bileDuct,胆总管,String,"胆总管是否扩张。<br>**建议值**: `未见扩张`, `扩张`",未见扩张
pancreas,胰腺,String,"胰腺的描述。<br>**建议值**: `正常`, `胰腺肿大`, `胰腺回声异常`, `胰腺占位`",正常
spleen,脾脏,String,"脾脏的描述。<br>**建议值**: `正常`, `脾大`",正常
ascites,腹水,String,"腹腔是否存在积液。<br>**建议值**: `无`, `少量`, `中量`, `大量`",无
diagnosisImpression,诊断/印象,String,医生对肝脏超声检查结果的综合诊断或印象。,肝脏弥漫性病变
recommendation,建议,String,医生根据检查结果提出的建议。,建议进一步检查
