Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,诊疗日期,病程记录
Basic_Info,age,年龄,integer,years,18-90,,,Y,患者年龄,发病年龄
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,男性略多
Basic_Info,occupation,职业,categorical,,"Sedentary,Manual_Labor,Driver,Heavy_Lifting,Other",,,N,职业类型,危险因素

Clinical_Presentation,chief_complaint,主诉,categorical,,"Low_Back_Pain,Leg_Pain,Numbness,Weakness,Mixed",,,Y,主要症状,临床表现
Clinical_Presentation,symptom_duration,症状持续时间,integer,months,0-240,,,Y,病程,急慢性
Clinical_Presentation,low_back_pain,腰痛,boolean,,,,,Y,腰部疼痛,局部症状
Clinical_Presentation,leg_pain,下肢痛,categorical,,"None,Unilateral,Bilateral",,,Y,腿痛,根性症状
Clinical_Presentation,pain_radiation,放射痛分布,categorical,,"None,Buttock,Thigh,Calf,Foot,Below_Knee",,,Y,放射路径,神经根定位
Clinical_Presentation,pain_severity,疼痛程度,integer,,0-10,,,Y,VAS评分,疼痛强度
Clinical_Presentation,numbness,麻木,boolean,,,,,N,感觉异常,神经受压
Clinical_Presentation,weakness,肌力减退,boolean,,,,,N,运动无力,神经损伤
Clinical_Presentation,bowel_bladder_dysfunction,大小便障碍,boolean,,,,,Y,二便异常,马尾综合征
Clinical_Presentation,cauda_equina_syndrome,马尾综合征,boolean,,,,,Y,紧急手术指征,神经外科急症

Herniation_Level,affected_level,受累节段,categorical,,"L3_L4,L4_L5,L5_S1,Multiple,Other",,,Y,椎间盘节段,最常见L4-L5/L5-S1
Herniation_Level,l3_l4,L3-L4节段,boolean,,,,,N,L3-L4受累,股神经
Herniation_Level,l4_l5,L4-L5节段,boolean,,,,,Y,L4-L5受累,最常见
Herniation_Level,l5_s1,L5-S1节段,boolean,,,,,Y,L5-S1受累,第二常见
Herniation_Level,multilevel,多节段,boolean,,,,,N,≥2节段,复杂病变

Imaging_MRI,mri_performed,MRI检查,boolean,,,,,Y,MRI完成,金标准
Imaging_MRI,herniation_type,突出类型,categorical,,"Bulging,Protrusion,Extrusion,Sequestration",,,Y,突出分型,严重程度
