Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,肺癌确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,18-100,,,Y,确诊时年龄,预后因素
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,某些类型与性别相关
Basic_Info,smoking_status,吸烟状态,categorical,,,"Never,Former,Current",,,Y,吸烟史,主要危险因素
Basic_Info,pack_years,吸烟包年数,decimal,包年,0-150,,,N,累计吸烟量,剂量效应关系
Basic_Info,smoking_quit_years,戒烟年限,integer,年,0-50,,,N,戒烟时长,风险下降评估
Basic_Info,environmental_exposure,环境暴露史,categorical,,,"Radon,Asbestos,Arsenic,Diesel_Exhaust,Coal_Smoke,None",,,N,职业/环境暴露,致癌因素
Basic_Info,family_history_lung_cancer,肺癌家族史,categorical,,,"Yes,No",,,N,一级亲属肺癌史,遗传易感性
Basic_Info,copd_history,COPD病史,categorical,,,"Yes,No",,,N,慢性阻塞性肺病,共病因素
Histopathology,histologic_type,组织学类型,categorical,,,"Adenocarcinoma,Squamous_Cell,Small_Cell,Large_Cell,Adenosquamous,Sarcomatoid,Carcinoid,Other",,,Y,病理类型,治疗策略基础
Histopathology,histologic_grade,组织学分级,categorical,,,"Well_Differentiated,Moderately_Differentiated,Poorly_Differentiated,Undifferentiated",,,N,分化程度,预后指标
Histopathology,predominant_pattern_adenoca,腺癌主要亚型,categorical,,,"Lepidic,Acinar,Papillary,Micropapillary,Solid",,,N,腺癌生长模式,预后分层
Histopathology,micropapillary_component,微乳头成分,categorical,,,"Present,Absent",,,N,微乳头模式存在,高侵袭性标志
Histopathology,solid_component,实性成分,categorical,,,"Present,Absent",,,N,实性模式存在,较差预后
Histopathology,vascular_invasion,血管侵犯,categorical,,,"Present,Absent,Unknown",,,N,血管内瘤栓,转移风险
Histopathology,lymphatic_invasion,淋巴管侵犯,categorical,,,"Present,Absent,Unknown",,,N,淋巴管内瘤栓,淋巴转移风险
Histopathology,perineural_invasion,神经侵犯,categorical,,,"Present,Absent,Unknown",,,N,神经周围侵犯,局部复发风险
Histopathology,pleural_invasion,胸膜侵犯,categorical,,,"PL0,PL1,PL2,PL3",,,N,脏层胸膜侵犯,分期要素
Histopathology,necrosis_present,坏死存在,categorical,,,"Yes,No",,,N,肿瘤坏死,高级别标志
Molecular_Biomarkers,egfr_mutation_status,EGFR突变状态,categorical,,,"Positive,Negative,Unknown",,,Y,表皮生长因子受体,靶向治疗指征
Molecular_Biomarkers,egfr_mutation_type,EGFR突变类型,categorical,,,"Exon19del,L858R,T790M,Exon20ins,G719X,L861Q,S768I,Other,Compound",,,N,具体突变类型,药物选择
Molecular_Biomarkers,egfr_exon19del,外显子19缺失,categorical,,,"Yes,No",,,N,19号外显子缺失,一代TKI敏感
Molecular_Biomarkers,egfr_l858r,L858R突变,categorical,,,"Yes,No",,,N,21号外显子点突变,一代TKI敏感
Molecular_Biomarkers,egfr_t790m,T790M突变,categorical,,,"Yes,No",,,N,耐药突变,三代TKI指征
Molecular_Biomarkers,egfr_exon20ins,外显子20插入,categorical,,,"Yes,No",,,N,20号外显子插入,耐药型突变
Molecular_Biomarkers,alk_rearrangement,ALK重排,categorical,,,"Positive,Negative,Unknown",,,Y,间变性淋巴瘤激酶,ALK抑制剂指征
Molecular_Biomarkers,alk_fusion_partner,ALK融合伴侣,categorical,,,"EML4,KIF5B,TFG,KLC1,Other",,,N,融合基因伴侣,EML4最常见
Molecular_Biomarkers,ros1_rearrangement,ROS1重排,categorical,,,"Positive,Negative,Unknown",,,N,ROS1融合,克唑替尼有效
Molecular_Biomarkers,braf_mutation,BRAF突变,categorical,,,"V600E,Non-V600E,Negative,Unknown",,,N,BRAF基因突变,靶向治疗靶点
Molecular_Biomarkers,kras_mutation,KRAS突变,categorical,,,"G12C,G12V,G12D,Other,Negative,Unknown",,,N,KRAS基因突变,G12C可靶向
Molecular_Biomarkers,kras_g12c,KRAS G12C,categorical,,,"Yes,No",,,N,G12C特定突变,Sotorasib适应证
Molecular_Biomarkers,met_amplification,MET扩增,categorical,,,"Positive,Negative,Unknown",,,N,MET基因扩增,耐药机制/靶点
Molecular_Biomarkers,met_exon14_skipping,MET外显子14跳跃,categorical,,,"Yes,No,Unknown",,,N,MET剪切变异,MET抑制剂敏感
Molecular_Biomarkers,her2_mutation,HER2突变,categorical,,,"Yes,No,Unknown",,,N,HER2基因突变,ADC药物靶点
Molecular_Biomarkers,ret_rearrangement,RET重排,categorical,,,"Positive,Negative,Unknown",,,N,RET融合,选择性RET抑制剂
Molecular_Biomarkers,ntrk_fusion,NTRK融合,categorical,,,"Positive,Negative,Unknown",,,N,神经营养因子受体,泛TRK抑制剂
Molecular_Biomarkers,pdl1_expression,PD-L1表达,categorical,,,"<1%,1-49%,≥50%,Unknown",88112-8,,Y,程序性死亡配体1,免疫治疗分层
Molecular_Biomarkers,pdl1_tps,PD-L1 TPS,decimal,%,0-100,,,N,肿瘤比例评分,免疫单药阈值≥50%
Molecular_Biomarkers,tmb_status,TMB状态,categorical,,,"High,Intermediate,Low,Unknown",94076-7,,N,肿瘤突变负荷,免疫治疗响应预测
Molecular_Biomarkers,tmb_value,TMB值,decimal,突变/Mb,0-100,,,N,突变密度定量,>10突变/Mb为高
Molecular_Biomarkers,msi_status,MSI状态,categorical,,,"MSI-H,MSS,Unknown",81695-9,,N,微卫星不稳定,罕见但可用免疫
Staging,clinical_t_stage,临床T分期,categorical,,,"T1a,T1b,T1c,T2a,T2b,T3,T4",,,Y,原发肿瘤大小/侵犯,TNM T分期
Staging,clinical_n_stage,临床N分期,categorical,,,"N0,N1,N2,N3",,,Y,淋巴结转移,TNM N分期
Staging,clinical_m_stage,临床M分期,categorical,,,"M0,M1a,M1b,M1c",,,Y,远处转移,TNM M分期
Staging,clinical_tnm_stage,临床TNM分期,categorical,,,"IA1,IA2,IA3,IB,IIA,IIB,IIIA,IIIB,IIIC,IVA,IVB",,,Y,综合TNM分期,治疗分组依据
Staging,pathologic_t_stage,病理T分期,categorical,,,"T1a,T1b,T1c,T2a,T2b,T3,T4,Unknown",,,N,手术后病理T,最终分期
Staging,pathologic_n_stage,病理N分期,categorical,,,"N0,N1,N2,N3,Unknown",,,N,手术后病理N,最终分期
Staging,pathologic_m_stage,病理M分期,categorical,,,"M0,M1a,M1b,M1c,Unknown",,,N,手术后病理M,最终分期
Staging,pathologic_tnm_stage,病理TNM分期,categorical,,,"IA1,IA2,IA3,IB,IIA,IIB,IIIA,IIIB,IIIC,IVA,IVB,Unknown",,,N,最终病理分期,真实分期
Staging,tumor_size,肿瘤最大径,decimal,cm,0.1-20,,,Y,肿瘤最大直径,T分期基础
Staging,lymph_nodes_positive,阳性淋巴结数,integer,个,0-50,,,N,转移淋巴结数,预后因素
Staging,lymph_nodes_examined,检查淋巴结总数,integer,个,0-100,,,N,采样淋巴结数,分期准确性
Staging,metastasis_sites,转移部位,categorical,,,"Brain,Bone,Liver,Lung,Adrenal,Pleura,Pericardium,Other,Multiple,None",,,N,远处转移位置,M1分期细化
Staging,brain_metastases,脑转移,categorical,,,"Yes,No",,,N,颅内转移,常见转移部位
Staging,bone_metastases,骨转移,categorical,,,"Yes,No",,,N,骨骼转移,疼痛/骨折风险
Staging,liver_metastases,肝转移,categorical,,,"Yes,No",,,N,肝脏转移,预后较差
Staging,malignant_pleural_effusion,恶性胸腔积液,categorical,,,"Yes,No",,,N,胸水细胞学阳性,M1a
Staging,malignant_pericardial_effusion,恶性心包积液,categorical,,,"Yes,No",,,N,心包积液阳性,M1a
Laboratory,cea_level,CEA水平,decimal,ng/mL,0-10000,2039-6,,N,癌胚抗原,肿瘤标志物
Laboratory,cea_elevated,CEA升高,categorical,,,"Yes,No",,,N,CEA>5 ng/mL,腺癌标志
Laboratory,cyfra21_1,CYFRA21-1,decimal,ng/mL,0-100,25426-1,,N,细胞角蛋白19片段,鳞癌标志物
Laboratory,nse,NSE,decimal,ng/mL,0-200,9664-7,,N,神经元特异性烯醇化酶,小细胞肺癌标志
Laboratory,scc_antigen,SCC抗原,decimal,ng/mL,0-10,34402-5,,N,鳞状细胞癌抗原,鳞癌标志
Laboratory,progastrin_releasing_peptide,ProGRP,decimal,pg/mL,0-500,,,N,胃泌素释放肽前体,小细胞肺癌特异
Performance_Status,ecog_ps,ECOG体能状态,categorical,,,"0,1,2,3,4",,,Y,东部肿瘤协作组评分,治疗耐受性
Performance_Status,karnofsky_score,Karnofsky评分,integer,分,0-100,,,N,卡氏功能状态,功能评估
Performance_Status,weight_loss_6months,6个月体重下降,decimal,%,0-50,,,N,半年体重丢失百分比,营养/预后
Performance_Status,appetite_loss,食欲减退,categorical,,,"None,Mild,Moderate,Severe",,,N,食欲下降程度,生活质量
Performance_Status,dyspnea_grade,呼吸困难分级,categorical,,,"Grade0,Grade1,Grade2,Grade3,Grade4",,,N,气促严重度,症状负荷
Performance_Status,chest_pain,胸痛,categorical,,,"None,Mild,Moderate,Severe",,,N,胸部疼痛,症状评估
Performance_Status,hemoptysis,咯血,categorical,,,"None,Streaks,Mild,Massive",,,N,咯血程度,气道侵犯
Performance_Status,cough,咳嗽,categorical,,,"None,Mild,Moderate,Severe",,,N,咳嗽严重度,呼吸道症状
Treatment_Surgery,surgery_performed,手术治疗,categorical,,,"Yes,No",,,N,是否接受手术,根治性治疗
Treatment_Surgery,surgery_type,手术类型,categorical,,,"Lobectomy,Bilobectomy,Pneumonectomy,Segmentectomy,Wedge_Resection,Sleeve_Resection",,,N,手术方式,切除范围
Treatment_Surgery,surgical_approach,手术入路,categorical,,,"VATS,Robotic,Open_Thoracotomy",,,N,手术途径,微创vs开放
Treatment_Surgery,lymph_node_dissection,淋巴结清扫,categorical,,,"Systematic,Sampling,None",,,N,淋巴结处理,分期准确性
Treatment_Surgery,resection_margin,切缘状态,categorical,,,"R0,R1,R2",,,N,切除完整性,R0为完全切除
Treatment_Surgery,margin_distance,最近切缘距离,decimal,cm,0-10,,,N,肿瘤到切缘距离,R0判定
Treatment_Radiotherapy,radiotherapy_given,放疗,categorical,,,"Yes,No",,,N,是否接受放疗,局部控制
Treatment_Radiotherapy,radiotherapy_intent,放疗目的,categorical,,,"Curative,Adjuvant,Palliative,Prophylactic_Cranial",,,N,治疗意图,根治vs姑息
Treatment_Radiotherapy,radiotherapy_technique,放疗技术,categorical,,,"SBRT,IMRT,3D-CRT,VMAT,Proton",,,N,放疗方式,SBRT用于早期
Treatment_Radiotherapy,radiotherapy_dose,放疗剂量,decimal,Gy,1-100,,,N,总照射剂量,处方剂量
Treatment_Radiotherapy,radiotherapy_fractions,放疗分次,integer,次,1-40,,,N,分割次数,分次方案
Treatment_Radiotherapy,concurrent_chemo,同步化疗,categorical,,,"Yes,No",,,N,放化疗同步,III期NSCLC标准
Treatment_Chemotherapy,chemotherapy_given,化疗,categorical,,,"Yes,No",,,N,是否化疗,系统治疗
Treatment_Chemotherapy,chemo_line,化疗线数,categorical,,,"First,Second,Third,Fourth_or_More",,,N,治疗线别,既往治疗线数
Treatment_Chemotherapy,chemo_regimen,化疗方案,categorical,,,"Platinum_Pemetrexed,Platinum_Paclitaxel,Platinum_Docetaxel,Platinum_Gemcitabine,Platinum_Etoposide,Other",,,N,具体化疗方案,铂类为基础
Treatment_Chemotherapy,platinum_agent,铂类药物,categorical,,,"Cisplatin,Carboplatin,Nedaplatin",,,N,铂类选择,双药方案骨架
