字段路径,中文名称,数据类型,说明,示例值
reportInfo.id,报告编号,String,病理报告唯一标识,LC-2025-001234
reportInfo.patientName,患者姓名,String,患者姓名,李某某
reportInfo.patientId,患者ID,String,患者唯一标识,P20250102001
reportInfo.age,年龄,Number,患者年龄(岁),62
reportInfo.gender,性别,String,"患者性别。<br>**建议值**: `男`, `女`<br>**临床意义**: 男性肺癌发病率高于女性约2:1,但女性不吸烟腺癌比例更高",男
reportInfo.reportDate,报告日期,Date,病理报告日期,2025-01-15
reportInfo.specimenType,标本类型,String,"标本类型。<br>**建议值**: `支气管镜活检`, `经皮肺穿刺活检`, `纵隔镜淋巴结活检`, `胸腔镜活检`, `肺叶切除`, `全肺切除`, `楔形切除`, `肺段切除`, `淋巴结清扫标本`, `胸水细胞学`, `胸腔积液细胞块`<br>**临床意义**: 标本类型影响诊断完整性和分期准确性",右肺上叶切除+系统性淋巴结清扫
reportInfo.hospitalName,送检医院,String,送检医院名称,上海交通大学附属胸科医院
reportInfo.pathologist,病理医师,String,签发病理医师姓名,王医生
clinical.smokingHistory,临床表现.吸烟史,String,"吸烟史。<br>**定义**: 吸烟指数=每天吸烟支数×吸烟年数<br>**建议值**: `从不吸烟`, `既往吸烟(已戒>15年)`, `既往吸烟(已戒<15年)`, `现在吸烟(<20包年)`, `现在吸烟(20-40包年)`, `现在吸烟(>40包年重度吸烟)`<br>**临床意义**: 吸烟是肺癌最主要危险因素,重度吸烟者(>40包年)肺癌风险增加20-30倍;吸烟相关肺癌多为鳞癌/小细胞癌,非吸烟者多为腺癌",现在吸烟(35包年)
clinical.symptoms,临床表现.症状,String,"主要临床症状。<br>**常见症状**: 咳嗽、咳痰、咯血、胸痛、气促、发热、声音嘶哑(喉返神经侵犯)、上腔静脉综合征、Horner综合征(交感神经侵犯)、体重下降<br>**建议值**: `无症状(体检发现)`, `咳嗽咳痰`, `咯血`, `胸痛`, `气促`, `声音嘶哑`, `上腔静脉综合征`, `远处转移症状`<br>**临床意义**: 早期肺癌多无症状,低剂量CT筛查发现;声音嘶哑提示喉返神经侵犯(纵隔淋巴结转移或肿瘤直接侵犯)",咳嗽2个月,痰中带血1周
clinical.performanceStatus,临床表现.体力状态,String,"ECOG体力状态评分。<br>**0分**: 活动能力完全正常<br>**1分**: 能自由走动,可从事轻体力活动<br>**2分**: 能自理,>50%时间可下床活动,但无法工作<br>**3分**: 仅能有限自理,>50%时间卧床或坐椅<br>**4分**: 完全丧失自理能力<br>**临床意义**: PS 0-1可耐受手术和化疗,PS 3-4仅适合姑息治疗",1分
tumorMarker.cea,肿瘤标志物.CEA,Number,"癌胚抗原(ng/mL)。<br>**参考范围**: <5<br>**阳性率**: 肺腺癌40-60%,鳞癌20-30%<br>**临床意义**: CEA>20提示可能晚期或转移,监测复发,但特异性低",28.5
tumorMarker.cyfra211,肿瘤标志物.CYFRA21-1,Number,"细胞角蛋白19片段(ng/mL)。<br>**参考范围**: <3.3<br>**阳性率**: 鳞癌60-70%(敏感性最高),腺癌30-40%<br>**临床意义**: CYFRA21-1是鳞癌最佳标志物,升高提示复发",8.2
tumorMarker.nse,肿瘤标志物.NSE,Number,"神经元特异性烯醇化酶(ng/mL)。<br>**参考范围**: <16.3<br>**阳性率**: 小细胞肺癌(SCLC)70-90%,NSCLC 20-30%<br>**临床意义**: NSE是SCLC最敏感标志物,>100高度提示SCLC,监测疗效和复发",65
tumorMarker.scc,肿瘤标志物.SCC,Number,"鳞状细胞癌抗原(ng/mL)。<br>**参考范围**: <1.5<br>**阳性率**: 鳞癌40-60%<br>**临床意义**: SCC特异性高(>95%)但敏感性低,结合CYFRA21-1提高鳞癌诊断率",3.8
tumorMarker.progastrinReleasing,肿瘤标志物.ProGRP,Number,"胃泌素释放肽前体(pg/mL)。<br>**参考范围**: <50<br>**阳性率**: SCLC 70-80%<br>**临床意义**: ProGRP是SCLC新兴标志物,敏感性和特异性优于NSE,尤其早期SCLC",120
imaging.ct.findings,影像学.CT.主要发现,String,"低剂量CT(LDCT)或增强CT主要发现。<br>**肺结节分类**:<br>- 实性结节<br>- 部分实性结节(混合磨玻璃结节,mGGN)<br>- 纯磨玻璃结节(pGGN)<br>**Lung-RADS分类**:<br>- Lung-RADS 1: 阴性<br>- Lung-RADS 2: 良性<br>- Lung-RADS 3: 可能良性<br>- Lung-RADS 4A: 可疑(4A: 6-12个月随访)<br>- Lung-RADS 4B: 很可疑(4B: 3个月随访或PET-CT)<br>- Lung-RADS 4X: 极可疑(需活检)<br>**示例**: 右肺上叶3.5cm分叶状肿块,毛刺征,胸膜牵拉,纵隔淋巴结肿大",右肺上叶3.5cm肿块,毛刺征,纵隔淋巴结肿大
imaging.ct.size,影像学.CT.肿瘤大小,String,CT测量的肿瘤最大径(cm),3.5×2.8×3.0 cm
imaging.ct.location,影像学.CT.肿瘤位置,String,"肿瘤所在肺叶和段。<br>**建议值**: `右上叶`, `右中叶`, `右下叶`, `左上叶`, `左下叶`, `多叶受累`<br>**段位**: 具体段位(如右上叶尖段S1/后段S2/前段S3)<br>**临床意义**: 位置影响手术方式选择(叶切除vs肺段切除)",右上叶后段(S2)
imaging.ct.characteristics,影像学.CT.影像特征,String,"CT影像特征。<br>**恶性特征**: 毛刺征、分叶征、胸膜凹陷征、血管集束征、空泡征、偏心厚壁空洞<br>**良性特征**: 钙化(爆米花样/层状/中心性)、边缘光滑、脂肪密度<br>**建议值**: `毛刺征`, `分叶征`, `胸膜凹陷征`, `血管集束征`, `空泡征`, `厚壁空洞`, `钙化`, `边缘光滑`<br>**临床意义**: 毛刺征+分叶征+胸膜凹陷征高度提示恶性(敏感性>80%)",毛刺征+分叶征+胸膜凹陷
imaging.petct.suv,影像学.PET-CT.SUVmax,Number,"18F-FDG PET-CT最大标准摄取值。<br>**参考范围**: <2.5良性可能,>2.5恶性可能<br>**临床意义**: SUVmax>10高度提示恶性,但炎症/结核也可高摄取;肺泡癌/类癌SUV可较低(<2.5)",8.5
imaging.petct.lymphNodes,影像学.PET-CT.淋巴结摄取,String,"纵隔/肺门淋巴结PET摄取。<br>**建议值**: `无明显摄取`, `轻度摄取(SUV<2.5)`, `中度摄取(SUV 2.5-5.0)`, `高度摄取(SUV>5.0)`<br>**淋巴结分站**: 按IASLC淋巴结图谱(1-14站)<br>**临床意义**: PET-CT对纵隔淋巴结分期敏感性80%,特异性90%,但炎症性淋巴结可假阳性",右侧4R站SUV 4.2,7站SUV 3.8
imaging.petct.metastasis,影像学.PET-CT.远处转移,String,"PET-CT发现的远处转移灶。<br>**常见转移部位**: 脑(20-40%)、骨(30-40%)、肝(15-20%)、肾上腺(10-15%)、对侧肺(10%)<br>**建议值**: `未见远处转移`, `脑转移`, `骨转移`, `肝转移`, `肾上腺转移`, `对侧肺转移`, `多发远处转移`<br>**临床意义**: PET-CT可发现CT未发现的隐匿转移灶,改变分期15-20%病例",未见远处转移
pathology.tumorLocation,病理.肿瘤位置,String,"病理标本肿瘤位置。<br>**建议值**: `中央型(起源于段支气管以上)`, `周围型(起源于段支气管以下)`, `弥漫型`<br>**临床意义**: 中央型多为鳞癌/小细胞癌,周围型多为腺癌",周围型
pathology.tumorSize,病理.肿瘤大小,Number,"病理测量的肿瘤最大径(cm)。<br>**T分期界值**:<br>- ≤1cm: T1a<br>- 1-2cm: T1b<br>- 2-3cm: T1c<br>- 3-4cm: T2a<br>- 4-5cm: T2b<br>- 5-7cm: T3<br>- >7cm: T4<br>**临床意义**: 每增加1cm,预后明显下降",3.2
pathology.grossDescription,病理.大体描述,String,"肿瘤大体描述。<br>**建议值**: `灰白色实性肿块`, `灰红色肿块`, `鱼肉状`, `坏死`, `出血`, `囊性变`, `黏液样`, `质硬`, `质脆`<br>**临床意义**: 大体特征辅助组织学分型判断",灰白色实性肿块,质硬,切面鱼肉状
pathology.who.type,病理.WHO分型,String,"WHO 2021肺肿瘤组织学分型(第5版)。<br>**主要类型**:<br>- **腺癌(Adenocarcinoma,55%)**: 最常见,周围型,女性/不吸烟者多见<br>- **鳞状细胞癌(Squamous cell carcinoma,30%)**: 中央型,吸烟相关<br>- **小细胞肺癌(Small cell lung cancer,SCLC,15%)**: 预后极差,神经内分泌起源<br>- **大细胞癌(Large cell carcinoma,<5%)**: 未分化癌<br>- **腺鳞癌(Adenosquamous carcinoma,1-2%)**: 腺癌+鳞癌成分各≥10%<br>- **类癌(Carcinoid tumor)**: 神经内分泌肿瘤,预后好<br>- **大细胞神经内分泌癌(LCNEC)**: 预后类似SCLC<br>**临床意义**: 组织学类型决定治疗策略和预后,腺癌可靶向治疗,SCLC对化疗敏感",浸润性腺癌
