Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,淋巴瘤确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,0-100,,,Y,确诊时年龄,双峰分布
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,某些亚型性别差异
Basic_Info,ethnicity,民族,categorical,,,"Han,Minority,Other",,,N,种族背景,ENKTL亚洲多见
Basic_Info,hiv_status,HIV状态,categorical,,,"Positive,Negative,Unknown",,,N,HIV感染,NHL危险因素
Basic_Info,ebv_status,EB病毒状态,categorical,,,"Positive,Negative,Unknown",,,N,EBV感染,BL/ENKTL相关
Basic_Info,hbv_status,HBV状态,categorical,,,"Positive,Negative,Unknown",,,N,乙肝病毒,NHL危险因素
Basic_Info,hcv_status,HCV状态,categorical,,,"Positive,Negative,Unknown",,,N,丙肝病毒,NHL危险因素
Basic_Info,immunodeficiency,免疫缺陷,categorical,,,"HIV,Transplant,Autoimmune,Congenital,None",,,N,免疫抑制状态,高危因素
Basic_Info,autoimmune_disease,自身免疫病,categorical,,,"Sjogren,RA,SLE,Celiac,Other,None",,,N,自身免疫疾病,NHL风险
Basic_Info,family_history_lymphoma,淋巴瘤家族史,categorical,,,"Yes,No",,,N,一级亲属淋巴瘤,遗传易感
Presentation,b_symptoms,B症状,categorical,,,"Yes,No",,,Y,系统性症状,预后因素
Presentation,fever,发热,categorical,,,"Yes,No",,,Y,>38°C,B症状之一
Presentation,night_sweats,盗汗,categorical,,,"Yes,No",,,Y,浸湿性盗汗,B症状之一
Presentation,weight_loss,体重下降,categorical,,,"Yes,No",,,Y,6个月>10%,B症状之一
Presentation,lymphadenopathy,淋巴结肿大,categorical,,,"Yes,No",,,Y,浅表淋巴结,最常见表现
Presentation,lymph_node_sites,淋巴结部位,categorical,,,"Cervical,Axillary,Inguinal,Mediastinal,Abdominal,Multiple,None",,,N,受累淋巴结区域,分期评估
Presentation,lymph_node_size_max,最大淋巴结直径,decimal,cm,0.5-30,,,N,最大淋巴结大小,肿瘤负荷
Presentation,extranodal_site,结外受累,categorical,,,"Yes,No",,,Y,淋巴结外病变,分期影响
Presentation,extranodal_sites,结外部位,categorical,,,"GI,Bone_Marrow,Liver,Spleen,Lung,CNS,Skin,Bone,Multiple,None",,,N,结外器官,特定器官受累
Presentation,splenomegaly,脾肿大,categorical,,,"Yes,No",,,N,脾脏增大,器官受累
Presentation,hepatomegaly,肝肿大,categorical,,,"Yes,No",,,N,肝脏增大,器官受累
Presentation,pruritus,瘙痒,categorical,,,"Yes,No",,,N,皮肤瘙痒,HL特征性症状
Presentation,alcohol_induced_pain,饮酒痛,categorical,,,"Yes,No",,,N,饮酒后淋巴结痛,HL特异性
Histopathology,major_category,主要类别,categorical,,,"Hodgkin_Lymphoma,Non-Hodgkin_Lymphoma",,,Y,HL vs NHL,基本分类
Histopathology,who_classification,WHO分类,categorical,,,"Classical_HL,Nodular_Lymphocyte_HL,DLBCL,Follicular,Marginal_Zone,Mantle_Cell,Burkitt,T_Cell,Other",,,Y,WHO 2016分型,标准病理分型
