Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,onset_date,起病日期,date,,,,,Y,症状开始时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,病原分布
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学

Syndrome,clinical_syndrome,临床综合征,categorical,,Meningitis,Encephalitis,Meningoencephalitis,,,Y,脑膜炎/脑炎/脑膜脑炎,诊断分类
Syndrome,meningitis,脑膜炎,boolean,,,,,Y,脑膜刺激征,炎症局限脑膜
Syndrome,encephalitis,脑炎,boolean,,,,,Y,意识改变/癫痫/局灶神经缺损,脑实质受累

Symptoms,headache,头痛,boolean,,,,,Y,头痛,脑膜刺激
Symptoms,fever,发热,boolean,,,,,Y,体温升高,感染
Symptoms,altered_mental_status,意识改变,boolean,,,,,Y,嗜睡/意识模糊/昏迷,脑炎/脑病
Symptoms,neck_stiffness,颈项强直,boolean,,,,,Y,颈部僵硬,脑膜炎
Symptoms,photophobia,畏光,boolean,,,,,Y,光敏感,脑膜刺激
Symptoms,nausea_vomiting,恶心呕吐,boolean,,,,,Y,消化道症状,颅高压
Symptoms,seizure,癫痫发作,boolean,,,,,Y,抽搐,脑炎
Symptoms,focal_neurological_deficit,局灶神经缺损,boolean,,,,,Y,偏瘫/失语,脑炎/局灶性病变
Symptoms,behavioral_change,行为改变,boolean,,,,,N,性格异常,边缘性脑炎
Symptoms,confusion,意识模糊,boolean,,,,,Y,定向力障碍,脑病

Onset_Pattern,onset_speed,起病速度,categorical,,Fulminant_LT_24h,Acute_1_7days,Subacute_GT_1week,,,Y,暴发性<24h/急性1-7天/亚急性>1周,病因线索

Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,当前体温,发热程度
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,循环状态
Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,Cushing三联征
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,呼吸频率,脑干受累

GCS,gcs_total,GCS总分,integer,,3-15,9269-2,,Y,意识状态,神经功能
GCS,gcs_eye,睁眼反应,integer,,1-4,9267-6,,Y,E评分,意识评估
GCS,gcs_verbal,语言反应,integer,,1-5,9270-0,,Y,V评分,认知功能
GCS,gcs_motor,运动反应,integer,,1-6,9268-4,,Y,M评分,运动功能

Meningeal_Signs,kernig_sign,Kernig征,boolean,,,,,Y,屈髋伸膝受限,脑膜刺激
Meningeal_Signs,brudzinski_sign,Brudzinski征,boolean,,,,,Y,屈颈双髋屈曲,脑膜刺激
Meningeal_Signs,jolt_accentuation,摇头加重,boolean,,,,,N,头部摇动头痛加重,脑膜炎敏感性差

Focal_Signs,hemiparesis,偏瘫,boolean,,,,,N,单侧肢体无力,局灶性病变
Focal_Signs,aphasia,失语,boolean,,,,,N,语言障碍,优势半球
Focal_Signs,cranial_nerve_palsy,颅神经麻痹,boolean,,,,,Y,颅神经受累,基底脑膜炎
Focal_Signs,ataxia,共济失调,boolean,,,,,N,协调障碍,小脑

Papilledema,papilledema,视乳头水肿,boolean,,,,,Y,眼底检查,颅高压/禁忌腰穿

Risk_Factors,immunocompromised,免疫抑制,boolean,,,,,Y,HIV/器官移植/激素/化疗,机会性病原
Risk_Factors,neurosurgery,神经外科手术,boolean,,,,,N,颅脑手术,院内感染
Risk_Factors,csf_shunt,脑脊液分流器,boolean,,,,,N,VP分流管,分流管相关
Risk_Factors,head_trauma,颅脑外伤,boolean,,,,,N,头部创伤,创伤后
Risk_Factors,otitis_sinusitis,中耳炎鼻窦炎,boolean,,,,,Y,邻近感染,直接蔓延
Risk_Factors,endocarditis,感染性心内膜炎,boolean,,,,,N,IE,血源性播散
Risk_Factors,pneumonia,肺炎,boolean,,,,,Y,肺炎链球菌,菌血症

Lumbar_Puncture,lp_performed,腰椎穿刺,boolean,,,,,Y,腰穿,诊断金标准
Lumbar_Puncture,lp_timing,腰穿时机,categorical,,Before_Antibiotics,After_Antibiotics,Not_Done,,,Y,抗生素前/抗生素后/未做,影响结果
Lumbar_Puncture,opening_pressure,脑脊液压力,decimal,mmH2O,0-500,LP29463-7,,Y,开放压,颅高压>200mmH2O

CSF_Analysis,csf_appearance,脑脊液外观,categorical,,Clear,Cloudy,Turbid,Purulent,Bloody,Xanthochromic,,,Y,清亮/微浊/混浊/脓性/血性/黄色,初步判断
CSF_Analysis,csf_wbc,脑脊液白细胞,decimal,×10⁶/L,0-10000,26465-5,,Y,CSF WBC,炎症指标
CSF_Analysis,csf_wbc_differential,白细胞分类,categorical,,Neutrophil_Predominant,Lymphocyte_Predominant,Mixed,,,Y,中性粒细胞/淋巴细胞为主/混合,病因线索
CSF_Analysis,csf_neutrophil_percent,中性粒细胞百分比,decimal,%,0-100,,,N,中性粒%,细菌性>80%
CSF_Analysis,csf_lymphocyte_percent,淋巴细胞百分比,decimal,%,0-100,,,N,淋巴细胞%,病毒/结核>50%
CSF_Analysis,csf_glucose,脑脊液葡萄糖,decimal,mmol/L,0-10,2342-4,,Y,CSF GLU,消耗
CSF_Analysis,serum_glucose,血糖,decimal,mmol/L,0-50,2345-7,,Y,血糖,CSF/血糖比
CSF_Analysis,csf_glucose_ratio,CSF/血糖比,decimal,,0-2,,,Y,CSF GLU/血GLU,<0.4提示细菌性/结核
CSF_Analysis,csf_protein,脑脊液蛋白,decimal,g/L,0-10,2880-3,,Y,CSF蛋白,血脑屏障破坏
CSF_Analysis,csf_lactate,脑脊液乳酸,decimal,mmol/L,0-10,LP17596-6,,N,CSF Lac,>4mmol/L提示细菌性

CSF_Pattern,bacterial_pattern,细菌性模式,boolean,,,,,Y,WBC↑↑(>1000)中性为主+GLU↓+蛋白↑↑,化脓性脑膜炎
