Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,screening_date,筛查日期,date,,,,,Y,体检/筛查时间,评估时点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,适龄筛查
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,性别特异性筛查
Risk_Assessment,family_history,家族史,string,,,,,Y,相关疾病家族史,遗传风险
Risk_Assessment,personal_history,个人病史,string,,,,,Y,既往病史,个体风险
Risk_Assessment,lifestyle_factors,生活方式因素,string,,,,,Y,吸烟/饮酒/运动/饮食,可改变危险因素
Risk_Assessment,risk_score,风险评分,decimal,,0-100,,,Y,疾病风险评分,高危人群识别
Physical_Examination,vital_signs,生命体征,string,,,,,Y,血压/心率/体温/呼吸,基本体征
Physical_Examination,anthropometrics,人体测量,string,,,,,Y,身高/体重/BMI/腰围,肥胖评估
Physical_Examination,physical_findings,体格检查异常,string,,,,,N,阳性体征,临床发现
Laboratory_Tests,blood_routine,血常规,boolean,,,,,Y,CBC,贫血/感染
Laboratory_Tests,metabolic_panel,生化全套,boolean,,,,,Y,肝肾功能/血糖/血脂,代谢评估
Laboratory_Tests,lipid_panel,血脂,boolean,,,,,Y,TC/TG/LDL/HDL,心血管风险
Laboratory_Tests,glucose_metabolism,糖代谢,boolean,,,,,Y,空腹血糖/HbA1c,糖尿病筛查
Laboratory_Tests,liver_function,肝功能,boolean,,,,,Y,ALT/AST/ALP/TB,肝脏健康
Laboratory_Tests,renal_function,肾功能,boolean,,,,,Y,Cr/eGFR/BUN,肾脏健康
Laboratory_Tests,tumor_markers,肿瘤标志物,boolean,,,,,N,AFP/CEA/CA199等,肿瘤筛查
Laboratory_Tests,urinalysis,尿常规,boolean,,,,,Y,尿检,泌尿系统
Imaging,chest_imaging,胸部影像,categorical,,None,Chest_Xray,Low_Dose_CT,,,Y,无/胸片/低剂量CT,肺部筛查
Imaging,abdominal_ultrasound,腹部超声,boolean,,,,,Y,肝胆胰脾肾,腹部器官
Imaging,ecg,心电图,boolean,,,,,Y,12导联ECG,心脏筛查
Imaging,bone_density,骨密度,categorical,,Not_Done,Normal,Osteopenia,Osteoporosis,,,N,未做/正常/骨量减少/骨质疏松,DEXA
Screening_Specific,screening_test,特异性筛查,string,,,,,Y,针对性筛查检查,专病筛查
Screening_Specific,screening_result,筛查结果,categorical,,Negative,Positive,Indeterminate,,,Y,阴性/阳性/不确定,筛查结局
Screening_Specific,follow_up_recommendation,随访建议,string,,,,,Y,后续管理建议,下一步措施
Risk_Stratification,risk_category,风险分层,categorical,,Low_Risk,Intermediate_Risk,High_Risk,,,Y,低危/中危/高危,分层管理
Risk_Stratification,screening_interval,筛查间隔,categorical,,Annual,Biennial,Every_3_Years,Every_5_Years,,,Y,年度/2年/3年/5年,个体化筛查频率
Abnormal_Findings,abnormal_results,异常发现,boolean,,,,,Y,任何异常结果,阳性发现
Abnormal_Findings,critical_values,危急值,boolean,,,,,Y,需立即处理的异常,紧急干预
Abnormal_Findings,referral_needed,转诊需求,boolean,,,,,Y,需专科转诊,进一步诊治
Counseling,health_education,健康教育,boolean,,,,,Y,健康宣教,预防指导
Counseling,lifestyle_modification,生活方式干预,string,,,,,Y,戒烟/减重/运动/饮食,行为改变
Counseling,vaccination_status,疫苗接种状态,string,,,,,N,成人疫苗,预防接种
Prevention_Interventions,chemoprevention,化学预防,boolean,,,,,N,阿司匹林/他汀,药物预防
Prevention_Interventions,screening_compliance,筛查依从性,categorical,,First_Time,Regular,Overdue,,,Y,首次/定期/延迟,筛查覆盖
Quality_Metrics,screening_quality,筛查质量,categorical,,Adequate,Inadequate,,,Y,充分/不充分,质量控制
Quality_Metrics,false_positive_rate,假阳性率,decimal,%,0-100,,,N,假阳性比例,筛查性能
Outcome,early_detection,早期发现,boolean,,,,,Y,早期诊断,筛查成功
Outcome,preventable_disease,可预防疾病,boolean,,,,,Y,通过筛查可预防,公共卫生价值
Report,provider,体检医师,string,,,,,Y,医师姓名,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
