字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行代谢综合征评估的日期,2025-08-15
diagnosticCriteria,诊断标准,String,"使用的诊断标准。<br>**建议值**: `IDF`, `NCEP ATP III`, `WHO`, `CDS`, `JIS`",IDF
centralObesity.present,中心性肥胖.是否存在,String,"是否存在中心性肥胖。<br>**建议值**: `否`, `是`",是
centralObesity.waistCircumference,中心性肥胖.腰围,Number,"腰围测量值。<br>单位: cm<br>**IDF标准**: 男性≥90，女性≥80<br>**CDS 2017(中国)**: 男性≥90，女性≥85",95
centralObesity.waistHipRatio,中心性肥胖.腰臀比,Number,"腰臀比。<br>**WHO标准**: 男性≥0.90，女性≥0.85",0.92
centralObesity.bodyMassIndex,中心性肥胖.体质指数,Number,"体质指数。<br>单位: kg/m²<br>**WHO标准**: ≥30",28.5
centralObesity.bodyFatPercentage,中心性肥胖.体脂百分比,Number,"体脂百分比。<br>单位: %",32.5
centralObesity.visceralFatArea,中心性肥胖.内脏脂肪面积,Number,"内脏脂肪面积（如果测量）。<br>单位: cm²",150
glucoseMetabolism.fastingGlucose,糖代谢异常.空腹血糖,Number,"空腹血糖。<br>单位: mmol/L<br>**异常标准**: ≥5.6或已诊断糖尿病",6.2
glucoseMetabolism.postprandialGlucose,糖代谢异常.餐后血糖,Number,"餐后2小时血糖。<br>单位: mmol/L",8.5
glucoseMetabolism.oralGlucoseToleranceTest,糖代谢异常.糖耐量试验,String,"OGTT结果。<br>**建议值**: `正常`, `空腹血糖受损`, `糖耐量异常`, `糖尿病`",糖耐量异常
glucoseMetabolism.hba1c,糖代谢异常.糖化血红蛋白,Number,"糖化血红蛋白。<br>单位: %<br>**异常标准**: ≥5.7%",6.1
glucoseMetabolism.diabetesType,糖代谢异常.糖尿病类型,String,"糖尿病类型（如果诊断）。<br>**建议值**: `无`, `1型`, `2型`, `其他特殊类型`",2型
glucoseMetabolism.diabetesDuration,糖代谢异常.糖尿病病程,Number,"糖尿病诊断年数（如果适用）。<br>单位: 年",3
bloodPressure.systolic,血压异常.收缩压,Number,"收缩压。<br>单位: mmHg<br>**异常标准**: ≥130或正在降压治疗",140
bloodPressure.diastolic,血压异常.舒张压,Number,"舒张压。<br>单位: mmHg<br>**异常标准**: ≥85或正在降压治疗",90
bloodPressure.hypertensionDiagnosis,血压异常.高血压诊断,String,"高血压诊断状态。<br>**建议值**: `无`, `新诊断`, `既往诊断`",既往诊断
bloodPressure.antihypertensiveMedication,血压异常.降压药物,String,"降压药物使用情况。<br>**建议值**: `未使用`, `单药`, `联合用药`",单药
