fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行多学科会诊的临床适应症,复杂糖尿病并发症多学科会诊
diagnosisImpression,诊断印象,String,基于会诊结果的诊断印象,多系统并发症需综合管理
recommendation,建议,String,基于会诊结果的综合建议,制定个性化多学科协作治疗方案

# 会诊基本信息
consultationDate,会诊日期,String,多学科会诊日期，格式YYYY-MM-DD,2024-12-01
consultationTime,会诊时间,String,会诊开始时间，格式HH:MM,14:30
consultationDuration,会诊持续时间,Number,会诊持续时间（分钟）,90
consultationType,会诊类型,String,会诊类型,预约会诊/紧急会诊/随访会诊/第二意见会诊
consultationMode,会诊模式,String,会诊进行模式,面对面/线上视频/混合模式/书面会诊
consultationUrgency,会诊紧急程度,String,会诊紧急程度,常规/紧急/极紧急
referralSource,转介来源,String,会诊转介来源,门诊医生/住院医生/患者自行/外院转介

# 患者基本信息
ageAtConsultation,会诊时年龄,Number,患者会诊时的年龄（岁）,65
gender,性别,String,患者性别,男/女
primaryDiagnosis,主要诊断,String,患者主要诊断,2型糖尿病
secondaryDiagnoses,次要诊断,String,相关次要诊断,高血压/血脂异常/冠心病/糖尿病肾病
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,15.5
complicationsPresent,并发症存在,String,现有糖尿病并发症,微血管并发症/大血管并发症/神经病变/足部病变

# 会诊团队组成
consultationCoordinator,会诊协调人,String,会诊协调人,内分泌主治医生
teamLeader,团队负责人,String,多学科团队负责人,内分泌科主任
endocrinologist,内分泌科医生,String,内分泌科医生参与,主任医师/副主任医师/主治医师/住院医师
cardiologist,心血管科医生,String,心血管科医生参与,参与/未参与
nephrologist,肾脏科医生,String,肾脏科医生参与,参与/未参与
neurologist,神经科医生,String,神经科医生参与,参与/未参与
ophthalmologist,眼科医生,String,眼科医生参与,参与/未参与
orthopedicSurgeon,骨科医生,String,骨科医生参与,参与/未参与
vascularSurgeon,血管外科医生,String,血管外科医生参与,参与/未参与

# 其他专业人员参与
diabetesEducator,糖尿病教育者,String,糖尿病教育者参与,参与/未参与
nutritionist,营养师,String,营养师参与,参与/未参与
pharmacist,临床药师,String,临床药师参与,参与/未参与
psychologist,心理学家,String,心理学家参与,参与/未参与
socialWorker,社会工作者,String,社会工作者参与,参与/未参与
physicalTherapist,物理治疗师,String,物理治疗师参与,参与/未参与
occupationalTherapist,作业治疗师,String,作业治疗师参与,参与/未参与
woundCareSpecialist,伤口护理专家,String,伤口护理专家参与,参与/未参与
podiatrist,足病医生,String,足病医生参与,参与/未参与

# 会诊原因和目标
primaryConsultationReason,主要会诊原因,String,主要会诊原因,病情复杂/治疗效果不佳/并发症管理/治疗方案调整
consultationObjectives,会诊目标,String,会诊具体目标,诊断明确/治疗方案制定/并发症防治/预后评估
clinicalQuestions,临床问题,String,需要解答的主要临床问题,血糖控制策略/并发症处理/药物调整/风险评估
decisionMakingGoals,决策目标,String,会诊决策制定目标,治疗方案/管理策略/随访计划/转介决定
expectedOutcomes,预期结局,String,会诊预期结局,方案优化/症状改善/并发症控制/生活质量提升
stakeholderExpectations,利益相关者期望,String,患者和家属期望,症状缓解/生活质量改善/病情稳定/避免并发症

# 病史回顾和分析
medicalHistoryReview,病史回顾,String,病史回顾完整性,完整回顾/部分回顾/简要回顾
currentSymptoms,当前症状,String,当前主要症状,多饮多尿/乏力/体重下降/感觉异常/视力模糊
