Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,15-70,,,Y,患者年龄,青中年发病
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,女性多见2-3:1
Basic_Info,race,种族,categorical,,"Caucasian,Asian,African,Hispanic,Other",,,N,种族,白种人高发

Onset,age_of_onset,发病年龄,integer,years,10-70,,,Y,起病年龄,20-40岁最常见
Onset,disease_duration,病程,integer,months,0-600,,,Y,病程月数,慢性病程
Onset,first_symptom,首发症状,categorical,,"Optic_Neuritis,Sensory,Motor,Brainstem,Cerebellar,Bladder,Cognitive",,,Y,首发表现,视神经炎最常见

Clinical_Course,ms_type,MS类型,categorical,,"RRMS,SPMS,PPMS,PRMS,CIS",,,Y,临床类型,复发缓解型最常见
Clinical_Course,rrms,复发缓解型,boolean,,,,,N,RRMS,85%初诊
Clinical_Course,spms,继发进展型,boolean,,,,,N,SPMS,RRMS转化
Clinical_Course,ppms,原发进展型,boolean,,,,,N,PPMS,15%初诊
Clinical_Course,cis,临床孤立综合征,boolean,,,,,N,CIS,首次发作

Relapse,recent_relapse,近期复发,boolean,,,,,Y,过去12月复发,疾病活动
Relapse,relapse_count_1year,1年复发次数,integer,,0-10,,,N,年复发率,疾病活动度
Relapse,relapse_count_2years,2年复发次数,integer,,0-20,,,N,2年复发数,治疗效果评估
Relapse,time_since_last_relapse,距上次复发时间,integer,months,0-600,,,N,复发间隔,缓解期长度
Relapse,relapse_fully_recovered,复发完全恢复,boolean,,,,,N,是否完全缓解,残留障碍

Current_Symptoms,optic_neuritis,视神经炎,boolean,,,,,N,视力下降/眼痛,视神经受累
Current_Symptoms,diplopia,复视,boolean,,,,,N,眼球运动障碍,脑干受累
Current_Symptoms,nystagmus,眼震,boolean,,,,,N,眼球震颤,前庭/小脑
Current_Symptoms,motor_weakness,运动无力,boolean,,,,,N,肢体无力,锥体束受累
Current_Symptoms,spasticity,痉挛,boolean,,,,,N,肌张力增高,上运动神经元
Current_Symptoms,ataxia,共济失调,boolean,,,,,N,步态不稳,小脑受累
Current_Symptoms,tremor,震颤,boolean,,,,,N,意向性震颤,小脑受累
Current_Symptoms,sensory_disturbance,感觉障碍,boolean,,,,,N,麻木/感觉异常,后索受累
Current_Symptoms,lhermitte_sign,Lhermitte征,boolean,,,,,N,颈部前屈触电感,脊髓受累
Current_Symptoms,bladder_dysfunction,膀胱功能障碍,boolean,,,,,N,尿急/尿频/尿失禁,自主神经受累
Current_Symptoms,bowel_dysfunction,肠道功能障碍,boolean,,,,,N,便秘,自主神经受累
Current_Symptoms,sexual_dysfunction,性功能障碍,boolean,,,,,N,性功能减退,自主神经受累
Current_Symptoms,fatigue,疲劳,boolean,,,,,N,极度疲劳,最常见症状之一
Current_Symptoms,cognitive_impairment,认知障碍,boolean,,,,,N,记忆力/执行功能下降,40-70%患者
