fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,肌肉骨骼代谢检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,MSM-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,糖尿病肌少症评估
chiefComplaint,主诉,String,患者主要肌骨症状主诉,四肢无力活动受限
presentIllness,现病史,String,当前肌骨症状详细病史,近半年肌力逐渐下降
pastHistory,既往史,String,既往肌骨系统疾病史,无骨折史
surgicalHistory,手术史,String,骨科手术史,无骨科手术史
familyHistory,家族史,String,家族骨质疏松史,母亲有骨质疏松
currentMedications,当前用药,String,目前使用的药物,二甲双胍钙片维生素D
exerciseHistory,运动史,String,运动锻炼历史,缺乏规律运动
traumaHistory,外伤史,String,肌骨外伤史,无明显外伤史
occupationalHistory,职业史,String,职业活动史,办公室工作久坐
vitalSigns,生命体征,String,血压心率体温,BP 130/80 HR 74 T 36.6°C
generalAppearance,一般外观,String,整体外观评估,体型偏瘦肌肉量不足
postureAssessment,姿态评估,String,站立行走姿态,姿态正常步态稳定
gaitAnalysis,步态分析,String,步态特征分析,步态正常无明显异常
spinalAlignment,脊柱排列,String,脊柱生理弯曲,脊柱生理弯曲正常
muscleInspection,肌肉视诊,String,肌肉外观检查,四肢肌肉量减少
muscleAtrophy,肌肉萎缩,String,肌肉萎缩评估,轻度肌肉萎缩
musclePalpation,肌肉触诊,String,肌肉触诊检查,肌肉张力正常无压痛
jointInspection,关节视诊,String,关节外观检查,各关节无明显畸形
jointPalpation,关节触诊,String,关节触诊检查,各关节无压痛肿胀
jointRangeOfMotion,关节活动度,String,关节活动范围,各关节活动度正常
muscleStrengthTesting,肌力测试,String,肌力检测方法,徒手肌力测试MMT
shoulderFlexionStrength,肩关节屈曲肌力,Number,肩关节屈曲肌力(级),4
shoulderExtensionStrength,肩关节伸展肌力,Number,肩关节伸展肌力(级),4
elbowFlexionStrength,肘关节屈曲肌力,Number,肘关节屈曲肌力(级),4
elbowExtensionStrength,肘关节伸展肌力,Number,肘关节伸展肌力(级),4
wristFlexionStrength,腕关节屈曲肌力,Number,腕关节屈曲肌力(级),5
wristExtensionStrength,腕关节伸展肌力,Number,腕关节伸展肌力(级),5
gripStrength,握力,Number,握力测定(kg),28
hipFlexionStrength,髋关节屈曲肌力,Number,髋关节屈曲肌力(级),4
hipExtensionStrength,髋关节伸展肌力,Number,髋关节伸展肌力(级),4
hipAbductionStrength,髋关节外展肌力,Number,髋关节外展肌力(级),4
hipAdductionStrength,髋关节内收肌力,Number,髋关节内收肌力(级),4
kneeFlexionStrength,膝关节屈曲肌力,Number,膝关节屈曲肌力(级),4
kneeExtensionStrength,膝关节伸展肌力,Number,膝关节伸展肌力(级),4
ankleFlexionStrength,踝关节背屈肌力,Number,踝关节背屈肌力(级),4
ankleExtensionStrength,踝关节跖屈肌力,Number,踝关节跖屈肌力(级),4
overallMuscleStrength,整体肌力,String,整体肌力评估,肌力轻度下降
functionalMuscleStrength,功能性肌力,String,功能性肌力评估,功能性肌力下降
isometricStrength,等长肌力,String,等长肌力测试,等长肌力下降
isokinetic_strength,等速肌力,String,等速肌力测试,等速肌力下降
muscleEndurance,肌耐力,String,肌耐力评估,肌耐力明显下降
muscularPower,肌肉爆发力,String,肌肉爆发力评估,爆发力下降
balanceAssessment,平衡能力,String,平衡能力评估,平衡能力正常
coordinationAssessment,协调能力,String,协调能力评估,协调能力正常
flexibilityAssessment,柔韧性评估,String,关节柔韧性,柔韧性正常
totalBodyWeight,总体重,Number,总体重(kg),65
leanBodyMass,瘦体重,Number,瘦体重(kg),48
fatMass,脂肪量,Number,体脂肪量(kg),17
bodyFatPercentage,体脂率,Number,体脂率(%),26.2
skeletalMuscleMass,骨骼肌量,Number,骨骼肌量(kg),28.5
appendicularSkeletalMuscle,四肢骨骼肌量,Number,四肢骨骼肌量(kg),20.8
skeletalMuscleIndex,骨骼肌指数,Number,骨骼肌指数(kg/m²),7.2
appendicularSkeletalMuscleIndex,四肢骨骼肌指数,Number,四肢骨骼肌指数(kg/m²),7.2
muscleMassPercentage,肌肉量百分比,Number,肌肉量占体重百分比(%),43.8
visceralFatArea,内脏脂肪面积,Number,内脏脂肪面积(cm²),85
subcutaneousFatArea,皮下脂肪面积,Number,皮下脂肪面积(cm²),180
intramusculaFat,肌内脂肪,String,肌内脂肪评估,肌内脂肪轻度增加
muscleQuality,肌肉质量,String,肌肉质量评估,肌肉质量下降
muscleDistribution,肌肉分布,String,肌肉分布评估,肌肉分布不均
sarcopenia,肌少症,String,肌少症诊断,轻度肌少症
sarcopeniaObesity,肌少性肥胖,String,肌少性肥胖评估,无肌少性肥胖
boneDensityDXA,骨密度DXA,Number,DXA骨密度T值,-1.8
boneDensityLumbarSpine,腰椎骨密度,Number,腰椎骨密度T值,-1.5
boneDensityHip,髋部骨密度,Number,髋部骨密度T值,-2.1
boneDensityRadius,桡骨骨密度,Number,桡骨骨密度T值,-1.2
boneDensityZScore,骨密度Z值,Number,年龄匹配骨密度Z值,-1.2
osteopenia,骨量减少,String,骨量减少诊断,骨量减少
osteoporosis,骨质疏松,String,骨质疏松诊断,髋部骨质疏松
osteoporoticFractureRisk,骨质疏松性骨折风险,String,10年骨折风险评估,中等风险
vertebralFractureAssessment,椎体骨折评估,String,椎体骨折评估,无椎体骨折
hipFractureRisk,髋部骨折风险,Number,10年髋部骨折风险(%),8.5
majorOsteoporoticFractureRisk,主要骨质疏松性骨折风险,Number,10年主要骨质疏松性骨折风险(%),15.2
FRAX_score,FRAX评分,String,FRAX骨折风险评估,中等风险
boneGeometry,骨几何学,String,骨几何学参数,骨几何学正常
boneMicroarchitecture,骨微结构,String,骨微结构评估,骨微结构轻度异常
trabecularBoneScore,骨小梁评分,Number,骨小梁评分TBS,1.25
corticalThickness,皮质骨厚度,Number,皮质骨厚度(mm),3.2
trabecularThickness,骨小梁厚度,Number,骨小梁厚度(μm),120
trabecularNumber,骨小梁数量,Number,骨小梁数量(1/mm),1.8
trabecularSeparation,骨小梁间距,Number,骨小梁间距(μm),450
connectivityDensity,连接密度,Number,骨小梁连接密度,3.5
boneFormationMarkers,骨形成标志物,String,骨形成标志物检测,骨形成标志物检测
osteocalcin,骨钙素,Number,血清骨钙素(ng/ml),18.5
boneSpecificAlkalinePhosphatase,骨特异性碱性磷酸酶,Number,骨特异性ALP(U/L),65
PINP,I型前胶原氨基端前肽,Number,PINP(ng/ml),45
boneResorptionMarkers,骨吸收标志物,String,骨吸收标志物检测,骨吸收标志物检测
CTX,I型胶原羧基端肽,Number,血清CTX(pg/ml),350
NTX,I型胶原氨基端肽,Number,尿NTX(nM BCE/mM Cr),28
TRAP5b,抗酒石酸酸性磷酸酶5b,Number,TRAP5b(U/L),3.8
pyridinium,吡啶酚,Number,尿吡啶酚(nmol/mmol Cr),18
deoxypyridinoline,脱氧吡啶酚,Number,尿脱氧吡啶酚(nmol/mmol Cr),8.5
boneRemodelingBalance,骨重建平衡,String,骨重建平衡评估,骨重建平衡轻度失调
boneFormationRate,骨形成率,String,骨形成率评估,骨形成率正常
boneResorptionRate,骨吸收率,String,骨吸收率评估,骨吸收率轻度增加
boneTurnover,骨转换,String,骨转换状态,高转换型骨代谢
calcium,血钙,Number,血清钙(mmol/L),2.35
phosphorus,血磷,Number,血清磷(mmol/L),1.18
magnesium,血镁,Number,血清镁(mmol/L),0.85
vitaminD25OH,25羟维生素D,Number,25(OH)D3(ng/ml),28
vitaminD125OH2,125双羟维生素D,Number,1,25(OH)2D3(pg/ml),32
