Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,新生儿追踪
Basic_Info,birth_date,出生日期,date,,,,,Y,出生时间,日龄计算
Basic_Info,gender,性别,categorical,,"Male,Female,Ambiguous",,,Y,性别,两性畸形筛查
Basic_Info,gestational_age,孕周,decimal,weeks,22-44,11884-4,,Y,GA,早产/足月

Screening_Timing,screening_age_hours,采血日龄,integer,hours,24-168,,,Y,采血时间,48-72小时最佳
Screening_Timing,first_screening,首次筛查,boolean,,,,,Y,第一次筛查,初筛
Screening_Timing,repeat_screening,复筛,boolean,,,,,N,第二次筛查,阳性复查

Sample_Info,sample_type,标本类型,categorical,,"Heel_Stick,Cord_Blood,Venous",,,Y,足跟血/脐血/静脉血,采集方式
Sample_Info,sample_quality,标本质量,categorical,,"Adequate,Inadequate,Hemolyzed,Contaminated",,,Y,合格/不合格/溶血/污染,结果可靠性
Sample_Info,feeding_status,喂养状态,categorical,,"Fed,Fasting,Unknown",,,N,已喂养/禁食/未知,PKU影响因素

CH_Screening,ch_screening,先天性甲状腺功能减退筛查,boolean,,,,,Y,CH筛查,智力障碍预防
CH_Screening,tsh,促甲状腺激素,decimal,μIU/mL,0-100,3016-3,,Y,TSH,原发性甲减
CH_Screening,tsh_cutoff,TSH切值,decimal,μIU/mL,5-20,,,N,筛查阈值,通常9-10 μIU/mL
CH_Screening,tsh_result,TSH结果,categorical,,"Normal,Borderline,Elevated",,,Y,正常/临界/升高,筛查判断
CH_Screening,t4,甲状腺素,decimal,μg/dL,0-30,3053-6,,N,T4,继发性甲减
CH_Screening,ch_suspected,可疑CH,boolean,,,,,Y,阳性结果,召回确诊

PKU_Screening,pku_screening,苯丙酮尿症筛查,boolean,,,,,Y,PKU筛查,智力障碍预防
PKU_Screening,phenylalanine,苯丙氨酸,decimal,mg/dL,0-20,13805-6,,Y,Phe,PKU标志
PKU_Screening,phe_cutoff,Phe切值,decimal,mg/dL,2-4,,,N,筛查阈值,通常2-4 mg/dL
PKU_Screening,tyrosine,酪氨酸,decimal,mg/dL,0-10,14632-3,,N,Tyr,鉴别诊断
PKU_Screening,phe_tyr_ratio,Phe/Tyr比值,decimal,,0-10,,,N,比值,>2可疑PKU
PKU_Screening,pku_suspected,可疑PKU,boolean,,,,,Y,阳性结果,膳食治疗

Expanded_Amino_Acids,maple_syrup_urine_disease,枫糖尿症,boolean,,,,,N,MSUD,支链氨基酸代谢
Expanded_Amino_Acids,leucine,亮氨酸,decimal,μmol/L,0-1000,13630-8,,N,Leu,MSUD升高
Expanded_Amino_Acids,homocystinuria,高胱氨酸尿症,boolean,,,,,N,HCY,蛋氨酸代谢
Expanded_Amino_Acids,methionine,蛋氨酸,decimal,μmol/L,0-200,14041-7,,N,Met,HCY升高
Expanded_Amino_Acids,citrullinemia,瓜氨酸血症,boolean,,,,,N,CIT,尿素循环
Expanded_Amino_Acids,citrulline,瓜氨酸,decimal,μmol/L,0-100,27746-7,,N,Cit,CIT升高
Expanded_Amino_Acids,argininosuccinic_aciduria,精氨琥珀酸尿症,boolean,,,,,N,ASA,尿素循环
Expanded_Amino_Acids,tyrosinemia,酪氨酸血症,boolean,,,,,N,TYR,肝肾损害

Organic_Acid_Disorders,methylmalonic_acidemia,甲基丙二酸血症,boolean,,,,,N,MMA,有机酸代谢
Organic_Acid_Disorders,c3_acylcarnitine,C3酰基肉碱,decimal,μmol/L,0-10,,,N,C3,MMA/丙酸血症标志
Organic_Acid_Disorders,propionic_acidemia,丙酸血症,boolean,,,,,N,PA,有机酸代谢
Organic_Acid_Disorders,isovaleric_acidemia,异戊酸血症,boolean,,,,,N,IVA,有机酸代谢
Organic_Acid_Disorders,c5_acylcarnitine,C5酰基肉碱,decimal,μmol/L,0-5,,,N,C5,IVA标志
Organic_Acid_Disorders,glutaric_aciduria_type1,戊二酸血症I型,boolean,,,,,N,GA-I,脑损伤

Fatty_Acid_Oxidation,mcad_deficiency,中链酰基辅酶A脱氢酶缺乏症,boolean,,,,,N,MCAD,最常见FAO缺陷
Fatty_Acid_Oxidation,c8_acylcarnitine,C8酰基肉碱,decimal,μmol/L,0-5,,,N,C8,MCAD标志
Fatty_Acid_Oxidation,vlcad_deficiency,极长链酰基辅酶A脱氢酶缺乏症,boolean,,,,,N,VLCAD,心肌病/低血糖
Fatty_Acid_Oxidation,c14_1_acylcarnitine,C14:1酰基肉碱,decimal,μmol/L,0-3,,,N,C14:1,VLCAD标志
Fatty_Acid_Oxidation,lchad_deficiency,长链3-羟酰基辅酶A脱氢酶缺乏症,boolean,,,,,N,LCHAD,Reye样综合征
Fatty_Acid_Oxidation,carnitine_uptake_defect,肉碱摄取缺陷,boolean,,,,,N,CUD,心肌病

CAH_Screening,cah_screening,先天性肾上腺皮质增生症筛查,boolean,,,,,Y,CAH筛查,失盐危象预防
CAH_Screening,17_ohp,17-羟孕酮,decimal,ng/mL,0-100,1668-3,,Y,17-OHP,21-羟化酶缺陷
CAH_Screening,17_ohp_cutoff,17-OHP切值,decimal,ng/mL,10-30,,,N,筛查阈值,早产儿更高
CAH_Screening,cah_suspected,可疑CAH,boolean,,,,,Y,阳性结果,紧急评估

G6PD_Screening,g6pd_screening,葡萄糖-6-磷酸脱氢酶缺乏症筛查,boolean,,,,,Y,G6PD筛查,蚕豆病
G6PD_Screening,g6pd_activity,G6PD活性,decimal,U/gHb,0-20,32546-4,,Y,酶活性,正常>6.0 U/gHb
G6PD_Screening,g6pd_result,G6PD结果,categorical,,"Normal,Deficient,Borderline",,,Y,正常/缺乏/临界,筛查判断
G6PD_Screening,g6pd_deficiency,G6PD缺乏,boolean,,,,,Y,阳性结果,避免氧化剂

Hemoglobinopathy,hemoglobinopathy_screening,血红蛋白病筛查,boolean,,,,,N,Hb异常筛查,地贫/镰状细胞
Hemoglobinopathy,hb_f,胎儿血红蛋白,decimal,%,0-100,4576-3,,N,HbF,正常新生儿主要成分
Hemoglobinopathy,hb_a,成人血红蛋白,decimal,%,0-100,4551-6,,N,HbA,正常成分
