Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,assessment_date,评估日期,date,,,,,Y,评估时间,诊断时点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,CKD危险因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,eGFR计算
Etiology,primary_kidney_disease,原发肾病,categorical,,Diabetic_Nephropathy,Hypertensive_Nephrosclerosis,Glomerulonephritis,Polycystic_Kidney,Other,,,Y,糖尿病肾病/高血压肾硬化/肾小球肾炎/多囊肾/其他,病因诊断
Risk_Factors,diabetes,糖尿病,boolean,,,,,Y,糖尿病史,CKD主要病因
Risk_Factors,hypertension,高血压,boolean,,,,,Y,高血压史,CKD危险因素
Vital_Signs,blood_pressure,血压,string,,,,,Y,收缩压/舒张压,肾脏保护
Renal_Function,serum_creatinine,血肌酐,decimal,μmol/L,0-2000,2160-0,,Y,Scr,肾功能指标
Renal_Function,egfr,肾小球滤过率,decimal,mL/min/1.73m²,0-200,98979-8,,Y,eGFR,CKD分期
Renal_Function,ckd_stage,CKD分期,categorical,,G1,G2,G3a,G3b,G4,G5,,,Y,G1≥90/G2:60-89/G3a:45-59/G3b:30-44/G4:15-29/G5<15,KDIGO分期
Proteinuria,urine_protein,尿蛋白,categorical,,A1,A2,A3,,,Y,A1<30mg/g/A2:30-300/A3>300,白蛋白尿分期
Proteinuria,upcr,尿蛋白肌酐比,decimal,mg/g,0-10000,9318-7,,Y,UPCR,蛋白尿定量
Proteinuria,24h_urine_protein,24小时尿蛋白,decimal,g/24h,0-30,2889-4,,N,24h尿蛋白,精确定量
Labs,albumin,白蛋白,decimal,g/L,0-100,1751-7,,Y,ALB,营养状态
Labs,hemoglobin,血红蛋白,decimal,g/L,0-200,718-7,,Y,Hb,肾性贫血
Labs,calcium,血钙,decimal,mmol/L,0-5,17861-6,,Y,Ca,CKD-MBD
Labs,phosphate,血磷,decimal,mmol/L,0-10,14879-1,,Y,P,CKD-MBD
Labs,pth,甲状旁腺激素,decimal,pg/mL,0-2000,2731-8,,Y,iPTH,继发甲旁亢
Imaging,renal_ultrasound,肾脏超声,string,,,,,Y,肾脏大小/回声,影像学评估
Treatment_CKD,acei_arb,ACEI/ARB,categorical,,None,ACEI,ARB,,,Y,无/ACEI/ARB,RAAS阻断
Treatment_CKD,sglt2_inhibitor,SGLT2抑制剂,categorical,,None,Empagliflozin,Dapagliflozin,Canagliflozin,,,N,无/恩格列净/达格列净/卡格列净,肾脏保护
Treatment_Complications,esa_therapy,促红细胞生成素,boolean,,,,,N,ESA治疗,贫血纠正
Treatment_Complications,phosphate_binder,磷结合剂,boolean,,,,,N,磷结合剂,高磷血症
Treatment_Dialysis,dialysis_modality,透析方式,categorical,,None,Hemodialysis,Peritoneal_Dialysis,,,N,无/血液透析/腹膜透析,肾脏替代治疗
Outcome,progression_to_esrd,进展至ESRD,boolean,,,,,N,终末期肾病,疾病结局
Report,nephrologist,肾内科医师,string,,,,,Y,主管医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
