Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,biopsy_date,活检日期,date,,,,,Y,组织取材时间,病理诊断时间
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,疾病分布
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Specimen,specimen_site,标本部位,string,,,,,Y,活检部位,解剖定位
Specimen,specimen_type,标本类型,categorical,,Needle_Biopsy,Excisional_Biopsy,Incisional_Biopsy,,,Y,针吸/切除/切取活检,取材方式
Specimen,specimen_adequacy,标本充分性,categorical,,Adequate,Inadequate,,,Y,充分/不充分,诊断质量
Gross_Examination,gross_description,大体描述,string,,,,,Y,肉眼所见,大体病理
Gross_Examination,specimen_size,标本大小,string,,,,,N,尺寸,组织量
Histology,histological_diagnosis,组织学诊断,string,,,,,Y,病理诊断,主要诊断
Histology,microscopic_description,镜下描述,string,,,,,Y,显微镜所见,组织病理
Histology,inflammation,炎症,categorical,,None,Acute,Chronic,Granulomatous,,,Y,无/急性/慢性/肉芽肿性,炎症类型
Histology,fibrosis,纤维化,categorical,,None,Mild,Moderate,Severe,,,Y,无/轻度/中度/重度,纤维化程度
Histology,necrosis,坏死,boolean,,,,,Y,组织坏死,细胞死亡
Special_Stains,pas_stain,PAS染色,categorical,,Not_Done,Negative,Positive,,,N,糖原/真菌,特殊染色
Special_Stains,trichrome_stain,三色染色,categorical,,Not_Done,Negative,Positive,,,N,纤维化评估,Masson染色
Special_Stains,congo_red,刚果红染色,categorical,,Not_Done,Negative,Positive,,,N,淀粉样变,偏光显微镜
Special_Stains,afb_stain,抗酸染色,categorical,,Not_Done,Negative,Positive,,,N,结核杆菌,AFB
Special_Stains,gms_stain,GMS染色,categorical,,Not_Done,Negative,Positive,,,N,真菌,六胺银
Immunohistochemistry,ihc_performed,免疫组化,boolean,,,,,Y,IHC检测,蛋白表达
Immunohistochemistry,ihc_markers,IHC标志物,string,,,,,N,具体标记,诊断依据
Molecular_Testing,molecular_tests,分子检测,boolean,,,,,N,基因/突变分析,分子病理
Molecular_Testing,test_results,检测结果,string,,,,,N,具体结果,分子诊断
Final_Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,病理诊断,最终诊断
Final_Diagnosis,secondary_diagnosis,次要诊断,string,,,,,N,伴随病变,附加诊断
Final_Diagnosis,diagnosis_category,诊断分类,categorical,,Inflammatory,Infectious,Metabolic,Degenerative,Normal,,,Y,炎症性/感染性/代谢性/退行性/正常,病变性质
Clinical_Correlation,clinical_history,临床病史,string,,,,,Y,临床资料,诊断背景
Clinical_Correlation,laboratory_data,实验室数据,string,,,,,N,检验结果,辅助诊断
Clinical_Correlation,imaging_findings,影像学表现,string,,,,,N,影像学资料,影像病理对照
Recommendations,additional_testing,建议追加检测,string,,,,,N,进一步检查,诊断完善
Recommendations,clinical_recommendation,临床建议,string,,,,,N,处理建议,临床指导
Quality_Assurance,pathologist_name,病理医师,string,,,,,Y,诊断医师,责任医师
Quality_Assurance,report_date,报告日期,date,,,,,Y,报告时间,文档记录
Quality_Assurance,reviewed_by,复核医师,string,,,,,N,审核医师,质量控制
