字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行神经电生理检查的日期,2025-08-15
testType,检查类型,String,"进行的神经电生理检查类型。<br>**建议值**: `NCV (神经传导速度)`, `EMG (肌电图)`",NCV (神经传导速度)
nerveName,神经名称,String,"受检神经的名称。<br>**建议值**: `腓总神经`, `胫神经`, `正中神经`, `尺神经`, `桡神经`, `腓肠神经`",正中神经
nerveType,神经类型,String,"神经的类型。<br>**建议值**: `运动神经`, `感觉神经`",感觉神经
side,侧别,String,"受检肢体或神经的侧别。<br>**建议值**: `左`, `右`",右
conductionVelocity,传导速度(m/s),Number,"神经传导速度的测量值。<br>**建议值**: `正常`, `减慢`, `消失`",45
amplitude,波幅(mV/uV),Number,"复合肌肉动作电位（CMAP）或感觉神经动作电位（SNAP）的波幅。<br>**建议值**: `正常`, `降低`, `消失`",5.2
latency,潜伏期(ms),Number,"动作电位潜伏期的测量值。<br>**建议值**: `正常`, `延长`",3.5
diagnosisImpression,诊断/印象,String,医生对神经电生理检查结果的综合诊断或印象。,右侧正中神经轻度损伤
recommendation,建议,String,医生根据检查结果提出的建议。,建议营养神经治疗
