字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行营养与能量代谢检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行营养与能量代谢检查的临床指征。<br>**建议值**: `营养不良`, `肥胖症`, `代谢综合征`, `糖尿病`, `能量代谢异常`, `微量营养素缺乏`",营养不良
energyMetabolism.basalMetabolicRate,能量代谢.基础代谢率,Number,"基础代谢率。<br>单位: kcal/day<br>**参考范围**: 因年龄性别而异",1458
energyMetabolism.restingEnergyExpenditure,能量代谢.静息能量消耗,Number,"静息能量消耗。<br>单位: kcal/day",1520
energyMetabolism.totalEnergyExpenditure,能量代谢.总能量消耗,Number,"24小时总能量消耗。<br>单位: kcal/day",2185
energyMetabolism.respiratoryQuotient,能量代谢.呼吸商,Number,"呼吸商（RQ）。<br>**参考范围**: 0.7-1.0",0.85
energyMetabolism.oxygenConsumption,能量代谢.氧耗量,Number,"氧耗量。<br>单位: mL/min",245
energyMetabolism.carbonDioxideProduction,能量代谢.二氧化碳产生量,Number,"二氧化碳产生量。<br>单位: mL/min",208
energyMetabolism.substrateUtilization.fatOxidation,能量代谢.底物利用.脂肪氧化,Number,"脂肪氧化率。<br>单位: %",45.5
energyMetabolism.substrateUtilization.carbohydrateOxidation,能量代谢.底物利用.碳水化合物氧化,Number,"碳水化合物氧化率。<br>单位: %",54.5
energyMetabolism.metabolicFlexibility,能量代谢.代谢灵活性,Number,"代谢灵活性指数",0.72
energyMetabolism.activityLevel,能量代谢.活动水平,String,"体力活动水平。<br>**建议值**: `久坐`, `轻度活动`, `中度活动`, `重度活动`",轻度活动
macronutrients.protein.totalIntake,大分子营养素.蛋白质.总摄入量,Number,"蛋白质总摄入量。<br>单位: g/day<br>**建议值**: 0.8-1.2g/kg体重",68.5
macronutrients.protein.qualityScore,大分子营养素.蛋白质.质量评分,Number,"蛋白质质量评分。<br>**范围**: 0-100",85
macronutrients.protein.essentialAminoAcids,大分子营养素.蛋白质.必需氨基酸,String,"必需氨基酸充足性。<br>**建议值**: `充足`, `不足`, `缺乏`",充足
macronutrients.protein.bcaaIntake,大分子营养素.蛋白质.支链氨基酸摄入,Number,"支链氨基酸摄入量。<br>单位: g/day",15.2
macronutrients.carbohydrate.totalIntake,大分子营养素.碳水化合物.总摄入量,Number,"碳水化合物总摄入量。<br>单位: g/day",258
macronutrients.carbohydrate.fiberIntake,大分子营养素.碳水化合物.膳食纤维,Number,"膳食纤维摄入量。<br>单位: g/day<br>**建议值**: 25-35g/day",18.5
macronutrients.carbohydrate.sugarIntake,大分子营养素.碳水化合物.糖类摄入,Number,"添加糖摄入量。<br>单位: g/day<br>**建议限制**: <50g/day",65.8
macronutrients.carbohydrate.glycemicIndex,大分子营养素.碳水化合物.血糖指数,Number,"平均血糖指数",68
macronutrients.carbohydrate.glycemicLoad,大分子营养素.碳水化合物.血糖负荷,Number,"每日血糖负荷",156
macronutrients.fat.totalIntake,大分子营养素.脂肪.总摄入量,Number,"脂肪总摄入量。<br>单位: g/day",75.8
macronutrients.fat.saturatedFat,大分子营养素.脂肪.饱和脂肪,Number,"饱和脂肪摄入量。<br>单位: g/day<br>**建议限制**: <总能量10%",28.5
macronutrients.fat.monounsaturatedFat,大分子营养素.脂肪.单不饱和脂肪,Number,"单不饱和脂肪摄入量。<br>单位: g/day",32.8
macronutrients.fat.polyunsaturatedFat,大分子营养素.脂肪.多不饱和脂肪,Number,"多不饱和脂肪摄入量。<br>单位: g/day",14.5
macronutrients.fat.omega3,大分子营养素.脂肪.Omega-3,Number,"Omega-3脂肪酸摄入量。<br>单位: g/day<br>**建议值**: 1-2g/day",0.8
macronutrients.fat.omega6,大分子营养素.脂肪.Omega-6,Number,"Omega-6脂肪酸摄入量。<br>单位: g/day",8.5
