Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,assessment_date,评估日期,date,,,,,Y,评估时间,时间记录
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,治疗因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Clinical_Context,primary_diagnosis,原发肿瘤,string,,,,,Y,肿瘤诊断,治疗背景
Clinical_Context,performance_status,体能状态,integer,,0-5,89247-1,,Y,ECOG评分,功能状态
Treatment,treatment_regimen,治疗方案,string,,,,,Y,具体治疗方案,治疗方法
Treatment,treatment_line,治疗线数,categorical,,First_Line,Second_Line,Third_Line_Plus,,,Y,一线/二线/三线及以上,治疗序列
Monitoring,biomarker_monitoring,生物标志物监测,string,,,,,N,相关检测指标,疗效预测
Monitoring,imaging_assessment,影像学评估,string,,,,,N,CT/MRI/PET等,疗效评估
Adverse_Events,toxicity_grade,毒性分级,categorical,,None,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,,,Y,无/1-5级,CTCAE标准
Adverse_Events,serious_adverse_event,严重不良事件,boolean,,,,,Y,SAE,安全性
Response,treatment_response,治疗反应,categorical,,Complete_Response,Partial_Response,Stable_Disease,Progressive_Disease,,,Y,完全缓解/部分缓解/疾病稳定/疾病进展,RECIST标准
Response,duration_of_response,反应持续时间,integer,months,0-200,,,N,DOR,疗效指标
Management,dose_modification,剂量调整,categorical,,None,Delay,Reduction,Discontinuation,,,Y,无/延迟/减量/停药,毒性管理
Management,supportive_care,支持治疗,string,,,,,N,对症支持措施,综合管理
Outcome,progression_free_survival,无进展生存期,integer,months,0-200,,,N,PFS,疗效指标
Outcome,overall_survival,总生存期,integer,months,0-200,,,N,OS,预后指标
Report,oncologist,肿瘤科医师,string,,,,,Y,主管医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
