Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,诊疗日期,病程记录
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,发病风险
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,膝OA女性多见
Basic_Info,bmi,体质指数,decimal,kg/m²,10-60,39156-5,,Y,BMI,关键危险因素

Affected_Joints,primary_joint,主要受累关节,categorical,,"Knee,Hip,Hand,Spine,Ankle,Shoulder,Elbow,Other",,,Y,OA关节,治疗重点
Affected_Joints,knee_oa,膝关节OA,boolean,,,,,N,膝关节骨关节炎,最常见部位
Affected_Joints,hip_oa,髋关节OA,boolean,,,,,N,髋关节骨关节炎,需髋置换
Affected_Joints,hand_oa,手关节OA,boolean,,,,,N,手骨关节炎,Heberden结节
Affected_Joints,spine_oa,脊柱OA,boolean,,,,,N,脊柱退行性变,腰椎多见
Affected_Joints,bilateral,双侧受累,boolean,,,,,N,是否双侧,对称性
Affected_Joints,polyarticular,多关节OA,boolean,,,,,N,≥3个关节,广泛性OA

Symptoms,symptom_duration,症状持续时间,integer,months,0-600,,,Y,病程,慢性进展
Symptoms,pain_severity,疼痛程度,integer,,0-10,,,Y,VAS评分,主要症状
Symptoms,pain_pattern,疼痛模式,categorical,,"Activity_Related,Morning_Stiffness,Night_Pain,Constant",,,Y,疼痛特点,机械性疼痛
Symptoms,morning_stiffness,晨僵,boolean,,,,,N,早晨僵硬,<30分钟
Symptoms,stiffness_duration,晨僵持续时间,integer,minutes,0-180,,,N,晨僵分钟数,与RA鉴别
Symptoms,joint_swelling,关节肿胀,categorical,,"None,Mild,Moderate,Severe",,,N,肿胀程度,炎症反应
Symptoms,crepitus,骨摩擦音,boolean,,,,,N,关节摩擦音,软骨磨损
Symptoms,joint_instability,关节不稳,boolean,,,,,N,关节松动感,韧带松弛
Symptoms,functional_limitation,功能受限,categorical,,"None,Mild,Moderate,Severe",,,Y,活动受限,生活质量

Physical_Exam,joint_tenderness,关节压痛,boolean,,,,,N,触诊压痛,炎症活动
Physical_Exam,joint_effusion,关节积液,boolean,,,,,N,关节积液,炎性OA
