字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
assessmentDate,评估日期,Date,骨质疏松评估日期,2025-01-15
assessmentType,评估类型,String,"评估类型。<br>**建议值**: `初诊评估`, `骨折风险评估`, `治疗前评估`, `疗效监测`, `绝经后评估`, `继发性骨质疏松筛查`",初诊评估

diagnosisInfo.diagnosisDate,诊断信息.诊断日期,Date,骨质疏松诊断日期,2024-08-20
diagnosisInfo.diagnosisCategory,诊断信息.诊断分类,String,"**基于BMD T值**(WHO标准):<br>**正常**: T值≥-1.0<br>**骨量减少**: -2.5<T值<-1.0<br>**骨质疏松**: T值≤-2.5<br>**严重骨质疏松**: T值≤-2.5+脆性骨折",骨质疏松
diagnosisInfo.type,诊断信息.类型,String,"**建议值**: `原发性(绝经后/老年性)`, `继发性(药物/疾病相关)`, `特发性(青少年/中青年)`",原发性
diagnosisInfo.secondaryCauses,诊断信息.继发性原因,String,"**示例**: `糖皮质激素使用`, `甲亢/甲旁亢`, `性腺功能减退`, `糖尿病`, `慢性肾病`, `吸收不良`, `类风湿关节炎`, `多发性骨髓瘤`, `长期制动`, `器官移植`, `无继发因素`",无继发因素

demographics.age,基本信息.年龄,Number,"年龄。<br>单位: 岁<br>**≥50岁**: 骨折风险增加",68
demographics.gender,基本信息.性别,String,"**建议值**: `女`, `男`<br>**女性**: 骨折风险更高",女
demographics.menopauseStatus,基本信息.绝经状态,String,"**建议值**: `绝经前`, `围绝经期`, `绝经后`, `早发绝经(<40岁)`, `手术绝经`, `男性`",绝经后
demographics.menopauseAge,基本信息.绝经年龄,Number,"绝经年龄。<br>单位: 岁<br>**<40岁**: 骨质疏松高危",50
demographics.yearsPostmenopause,基本信息.绝经年限,Number,"绝经后年限。<br>单位: 年<br>**前5-10年**: 骨量快速丢失期",18

anthropometry.height,人体测量.身高,Number,"当前身高。<br>单位: cm",158
anthropometry.weight,人体测量.体重,Number,"当前体重。<br>单位: kg",52
anthropometry.bmi,人体测量.BMI,Number,"体重指数。<br>单位: kg/m²<br>**<18.5**: 骨折风险增加<br>**<20**: 老年人高危",20.8
anthropometry.heightLoss,人体测量.身高缩短,Number,"与年轻时相比身高下降。<br>单位: cm<br>**>4cm**: 提示椎体骨折可能",6

riskFactors.previousFracture,危险因素.既往骨折史,String,"**建议值**: `无`, `有(低创伤骨折)`, `有(高创伤骨折)`<br>**最重要的骨折风险预测因子**",有(低创伤骨折)
riskFactors.previousFractureDetails,危险因素.既往骨折详情,String,"**示例**: `2022年桡骨远端骨折(跌倒)`, `2020年椎体压缩骨折`, `2018年髋部骨折`",2022年桡骨远端骨折
riskFactors.parentalHipFracture,危险因素.父母髋部骨折史,String,"**建议值**: `无`, `母亲有`, `父亲有`, `双方均有`",母亲有

riskFactors.smoking,危险因素.吸烟,String,"**建议值**: `从不吸烟`, `已戒烟(>1年)`, `现吸烟`",从不吸烟
riskFactors.alcohol,危险因素.饮酒,String,"**建议值**: `不饮酒`, `轻度(<1单位/天)`, `中度(1-2单位/天)`, `过量(≥3单位/天)`<br>**≥3单位/天**: 骨折风险增加",轻度

riskFactors.glucocorticoids,危险因素.糖皮质激素使用,String,"**建议值**: `从未使用`, `既往使用`, `当前使用(≥5mg/天泼尼松当量,≥3个月)`, `当前使用(<5mg/天或<3个月)`",当前使用(≥5mg/天,≥3个月)
riskFactors.glucocorticoidsDetails,危险因素.激素详情,String,"激素种类、剂量、疗程。<br>**示例**: `泼尼松10mg/天×2年(类风湿关节炎)`, `吸入激素(哮喘)`, `无`",泼尼松10mg/天×2年

riskFactors.rheumatoidArthritis,危险因素.类风湿关节炎,String,"**建议值**: `无`, `有`",无
riskFactors.secondaryOsteoporosis,危险因素.继发性骨质疏松相关疾病,String,"**示例**: `甲亢`, `甲状旁腺功能亢进`, `性腺功能减退`, `1型糖尿病`, `成人骨软化症`, `慢性肾病`, `慢性肝病`, `炎症性肠病`, `乳糜泻`, `多发性骨髓瘤`, `恶性肿瘤`, `无`",无

riskFactors.falls,危险因素.跌倒,String,"过去1年跌倒史。<br>**建议值**: `无`, `1次`, `≥2次(高危)`",1次
riskFactors.fallRiskFactors,危险因素.跌倒风险因素,String,"**示例**: `视力下降`, `平衡障碍`, `肌力减退`, `认知障碍`, `镇静药物`, `环境危险(地毯/光线暗)`, `体位性低血压`, `无`",视力下降;平衡障碍

riskFactors.physicalActivity,危险因素.体力活动,String,"**建议值**: `规律运动`, `轻度活动`, `久坐少动`",轻度活动
riskFactors.sunExposure,危险因素.日照,String,"**建议值**: `充足(≥15分钟/天)`, `不足`, `很少户外活动`",不足

riskFactors.calcium,危险因素.钙摄入,String,"膳食钙摄入评估。<br>**建议值**: `充足(>800mg/天)`, `不足(<800mg/天)`, `严重不足(<400mg/天)`",不足
riskFactors.vitaminD,危险因素.维生素D摄入,String,"**建议值**: `充足`, `不足`, `从不补充`",从不补充

symptoms.backPain,症状.腰背痛,String,"**建议值**: `无`, `轻度`, `中度`, `重度(影响日常活动)`",中度
symptoms.kyphosis,症状.驼背,String,"胸椎后凸畸形。<br>**建议值**: `无`, `轻度`, `明显(提示多发椎体骨折)`",明显
symptoms.mobility,症状.活动能力,String,"**建议值**: `正常`, `轻度受限`, `中度受限`, `需辅助器具`, `卧床`",轻度受限

dxa.date,DXA骨密度.检查日期,Date,双能X线骨密度检查日期,2025-01-15
dxa.lumbarSpine.bmd,DXA骨密度.腰椎(L1-L4).BMD,Number,"腰椎骨密度。<br>单位: g/cm²",0.685
dxa.lumbarSpine.tScore,DXA骨密度.腰椎(L1-L4).T值,Number,"T值(与年轻成人峰值骨量比较)。<br>**≥-1.0**: 正常<br>**-2.5~-1.0**: 骨量减少<br>**≤-2.5**: 骨质疏松",-3.2
dxa.lumbarSpine.zScore,DXA骨密度.腰椎(L1-L4).Z值,Number,"Z值(与同龄人比较)。<br>**≤-2.0**: 低于同龄人预期,需排查继发原因",-1.8

