fieldName,displayName,dataType,description,exampleValue
basic.reportId,基本信息.报告ID,String,"病理报告唯一标识符",OVA-2024-001234
basic.patientId,基本信息.患者ID,String,"患者唯一标识符",P123456789
basic.patientName,基本信息.患者姓名,String,"患者姓名",张三
basic.age,基本信息.年龄,Number,"患者年龄(岁)。<br>**流行病学**: 卵巢癌中位发病年龄63岁,上皮性卵巢癌多见于绝经后(55-65岁),生殖细胞肿瘤多见于年轻女性(15-30岁),性索间质肿瘤各年龄均可<br>**临床意义**: 年龄是重要的预后因素,≥65岁患者手术并发症率高、预后差;年轻发病(<40岁)提示生殖细胞肿瘤或BRCA突变相关遗传性卵巢癌可能",58
basic.gender,基本信息.性别,String,"患者性别。<br>**建议值**: `女`<br>**流行病学**: 卵巢癌是女性生殖系统三大恶性肿瘤之一(宫颈癌、子宫内膜癌、卵巢癌),死亡率居妇科肿瘤首位",女
basic.reportDate,基本信息.报告日期,Date,"病理报告出具日期",2024-03-15
basic.hospitalName,基本信息.医院名称,String,"出具报告的医疗机构名称",北京协和医院
basic.pathologistName,基本信息.病理医师,String,"报告病理医师姓名",李医生
specimen.type,标本信息.标本类型,String,"病理标本类型。<br>**建议值**:<br>- `卵巢肿块穿刺活检`: 术前诊断,但卵巢癌通常不推荐穿刺(肿瘤破裂播散风险)<br>- `腹水/腹腔积液细胞学`: 诊断转移性卵巢癌,寻找恶性细胞<br>- `单侧卵巢切除标本`: 早期卵巢癌或保留生育功能手术<br>- `双侧卵巢+输卵管切除标本`: 标准术式<br>- `全面分期手术标本`: 双侧附件+子宫+大网膜+盆腔/腹主动脉旁淋巴结+阑尾(黏液性)±腹膜活检<br>- `肿瘤细胞减灭术标本`: 晚期卵巢癌,切除所有可见肿瘤<br>- `腹膜活检`: 评估腹膜播散<br>**临床意义**: 卵巢癌70%确诊时已晚期(III-IV期)伴腹腔播散,需肿瘤细胞减灭术;穿刺活检可能导致肿瘤破裂和腹腔播散,禁忌用于可切除肿瘤",双侧附件+子宫+大网膜切除标本
specimen.laterality,标本信息.病变侧别,String,"病变位于左侧或右侧卵巢。<br>**建议值**: `单侧-左侧`, `单侧-右侧`, `双侧`<br>**流行病学**: 单侧发病占70-80%,双侧发病占20-30%;高级别浆液性癌(HGSC)双侧发病率更高(40-50%),因其起源于输卵管伞端,易累及双侧卵巢<br>**临床意义**: 双侧发病提示晚期或遗传性卵巢癌可能(BRCA突变者双侧发病率50%);早期单侧发病可考虑保留生育功能手术(仅切除患侧附件)",单侧-右侧
specimen.size,标本信息.肿瘤大小,String,"肿瘤最大径(cm)。<br>**测量**: 肿瘤长径×宽径×厚径,如`12×10×8cm`<br>**临床意义**: 肿瘤大小影响分期,直径≥10cm的囊性肿瘤破裂风险高;上皮性卵巢癌平均直径10-15cm,生殖细胞肿瘤可达20-30cm;肿瘤大小与预后相关,≥10cm 5年生存率略低",12×10×8cm
clinical.symptoms,临床表现.主要症状,String,"主要临床症状。<br>**早期症状**(I-II期,30%): 多无症状或轻微腹胀、盆腔不适,70%确诊时已晚期<br>**晚期症状**(III-IV期,70%):<br>- 腹胀、腹痛:腹腔积液(腹水)、腹腔播散<br>- 腹部包块:盆腔或腹部可触及肿块<br>- 腹水:50-60%晚期患者,提示腹腔播散<br>- 消化道症状:食欲减退、恶心、便秘、肠梗阻(大网膜播散)<br>- 呼吸困难:胸腔积液(胸水),20-30%晚期患者<br>- 下肢水肿:盆腔淋巴结转移压迫<br>**建议值**: `无症状(体检发现)`, `腹胀`, `腹痛`, `腹部包块`, `腹水`, `胸腔积液`, `肠梗阻`, `阴道异常出血`<br>**临床意义**: 卵巢癌早期症状隐匿,70%确诊时已III-IV期;腹水和胸水是晚期标志,提示腹腔或胸腔播散;肠梗阻是晚期常见并发症,预后极差",腹胀,腹水,腹部包块
clinical.imaging,临床表现.影像学特征,String,"超声/CT/MRI主要发现。<br>**超声**(首选筛查手段):<br>- 良性特征:单房囊性、壁薄光滑、无实性成分、无血流信号<br>- 恶性特征:多房囊实性、壁厚不规则、实性成分、丰富血流、腹水<br>**CT**:<br>- 评估肿瘤范围、腹膜播散、淋巴结转移、远处转移<br>- 恶性表现:囊实性肿块、分隔增厚、乳头状突起、腹膜种植、大网膜饼(omental cake)、腹水<br>**MRI**:<br>- 鉴别良恶性准确性最高(敏感性90%,特异性85%)<br>- DWI高信号提示恶性,ADC值降低<br>**示例**: `右侧卵巢囊实性肿块12cm,多房分隔,实性成分中度强化,大量腹水,大网膜增厚(omental cake),盆腔淋巴结肿大`<br>**临床意义**: 超声是首选筛查手段,CT/MRI用于术前分期和评估可切除性;大网膜饼(omental cake)是卵巢癌腹膜播散的特征性表现",右侧卵巢囊实性肿块12cm,大量腹水,大网膜饼
clinical.tumorMarkers.ca125,临床表现.肿瘤标志物.CA125,Number,"癌抗原125(U/ml)。<br>**正常值**: <35 U/ml<br>**阳性率**: 上皮性卵巢癌80-85%(高级别浆液性癌90%,黏液性癌50%,透明细胞癌60%)<br>**假阳性**: 子宫内膜异位症、盆腔炎、肝硬化腹水、月经期、妊娠早期<br>**建议值**: <35为阴性,35-100为轻度升高,100-500为中度升高,>500为显著升高<br>**临床意义**: CA125是卵巢癌最重要的标志物,>500 U/ml高度提示卵巢癌(特异性95%);CA125水平与肿瘤负荷相关,晚期患者中位值500-1000 U/ml;术后CA125下降提示疗效好,升高提示复发(敏感性80%);CA125正常不能除外卵巢癌,10-20%早期卵巢癌CA125正常<br>**监测**: 治疗前基线+化疗前每次+术后每3个月×2年,每6个月×3年",856
clinical.tumorMarkers.he4,临床表现.肿瘤标志物.HE4,Number,"人附睾蛋白4(pmol/L)。<br>**正常值**: 绝经前<70 pmol/L,绝经后<140 pmol/L<br>**阳性率**: 上皮性卵巢癌75-80%(高级别浆液性癌90%,子宫内膜样癌80%,黏液性癌40%,透明细胞癌50%)<br>**优势**: 特异性高于CA125(94% vs 78%),不受子宫内膜异位症影响<br>**临床意义**: HE4与CA125联合可提高诊断准确性,HE4对浆液性癌和子宫内膜样癌敏感性高,但对黏液性癌和透明细胞癌敏感性低;HE4升高提示预后差<br>**监测**: 与CA125联合监测",256
clinical.tumorMarkers.roma,临床表现.肿瘤标志物.ROMA指数,Number,"卵巢恶性肿瘤风险算法(%)。<br>**定义**: 基于CA125+HE4+绝经状态的风险预测模型<br>**计算公式**:<br>- 绝经前: ROMA(%)=exp(PI)/(1+exp(PI))×100,PI=-12.0+2.38×ln[HE4]+0.0626×ln[CA125]<br>- 绝经后: ROMA(%)=exp(PI)/(1+exp(PI))×100,PI=-8.09+1.04×ln[HE4]+0.732×ln[CA125]<br>**判断标准**:<br>- 绝经前: <11.4%低风险,≥11.4%高风险<br>- 绝经后: <29.9%低风险,≥29.9%高风险<br>**建议值**: 低风险(<阈值),高风险(≥阈值)<br>**临床意义**: ROMA指数综合CA125和HE4,诊断准确性(AUC 0.94-0.96)优于单独CA125(AUC 0.83)或HE4(AUC 0.76);ROMA高风险患者需转诊至妇科肿瘤专科中心",高风险(ROMA 75.6%,绝经后)
clinical.tumorMarkers.cea,临床表现.肿瘤标志物.CEA,Number,"癌胚抗原(ng/ml)。<br>**正常值**: <5 ng/ml<br>**阳性率**: 黏液性卵巢癌60-70%,浆液性癌15-20%<br>**临床意义**: CEA升高主要见于黏液性卵巢癌,CEA>5 ng/ml联合CA125>35 U/ml提示黏液性癌;CEA正常不能除外黏液性癌",12.5
clinical.tumorMarkers.ca199,临床表现.肿瘤标志物.CA19-9,Number,"糖链抗原19-9(U/ml)。<br>**正常值**: <37 U/ml<br>**阳性率**: 黏液性卵巢癌50-60%,透明细胞癌30-40%,子宫内膜样癌20-30%<br>**临床意义**: CA19-9升高主要见于黏液性癌和透明细胞癌;CA19-9联合CEA有助于识别黏液性癌;Lewis血型阴性者(5-10%)CA19-9不升高",125
clinical.ascites,临床表现.腹水,String,"腹腔积液情况。<br>**建议值**: `无腹水`, `少量腹水(<500ml)`, `中量腹水(500-1000ml)`, `大量腹水(>1000ml)`<br>**腹水细胞学**: 腹水中发现恶性细胞提示腹腔播散,诊断准确性80-90%,但阴性不能除外腹腔播散<br>**临床意义**: 腹水是卵巢癌晚期最常见症状(50-60%),提示腹腔播散;腹水细胞学阳性直接定为FIGO III期;大量腹水(>1000ml)提示肿瘤负荷大、预后差",大量腹水(约1500ml),细胞学阳性
