Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,assessment_date,评估日期,date,,,,,Y,评估时间,时点
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,性别差异
Clinical_Assessment,primary_concern,主要问题,string,,,,,Y,主要临床问题,管理焦点
Clinical_Assessment,severity,严重度,categorical,,Mild,Moderate,Severe,,,Y,轻度/中度/重度,严重程度
Risk_Factors,risk_factors,危险因素,string,,,,,Y,相关危险因素,风险评估
Comorbidities,comorbid_conditions,合并症,string,,,,,Y,伴随疾病,复杂性
Current_Medications,medication_list,当前用药,string,,,,,Y,药物清单,药物治疗
Current_Medications,polypharmacy,多重用药,boolean,,,,,Y,≥5种药物,药物相互作用风险
Assessment_Scores,clinical_score,临床评分,integer,,0-100,,,N,相关评分量表,量化评估
Labs,relevant_labs,相关检验,string,,,,,N,实验室检查,监测指标
Treatment_Plan,treatment_goals,治疗目标,string,,,,,Y,治疗目标,个体化目标
Treatment_Plan,interventions,干预措施,string,,,,,Y,治疗措施,管理策略
Treatment_Plan,medications,药物治疗,string,,,,,Y,处方药物,药物方案
Treatment_Plan,non_pharmacological,非药物治疗,string,,,,,Y,生活方式/物理治疗等,综合管理
Monitoring,monitoring_parameters,监测参数,string,,,,,Y,随访指标,疗效/安全性监测
Monitoring,follow_up_interval,随访间隔,categorical,,1_week,2_weeks,1_month,3_months,6_months,,,Y,随访频率,持续管理
Patient_Education,education_provided,患者教育,boolean,,,,,Y,健康教育,依从性
Patient_Education,self_management,自我管理,boolean,,,,,Y,自我监测/管理,赋能
Adherence,medication_adherence,用药依从性,categorical,,Good,Fair,Poor,,,Y,良好/一般/差,治疗成功关键
Outcome,goal_achievement,目标达成,boolean,,,,,Y,达到治疗目标,疗效
Outcome,adverse_events,不良事件,boolean,,,,,Y,不良反应/并发症,安全性
Report,provider,医疗提供者,string,,,,,Y,医师/护士/药师,责任人
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
