字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
encounterDate,就诊日期,Date,本次就诊日期,2025-01-15
encounterType,就诊类型,String,"**建议值**: `急诊`, `住院`, `ICU`, `门诊`",急诊

classification.type,分类.胰腺炎类型,String,"**急性胰腺炎(AP)**: 突发,可逆。<br>**慢性胰腺炎(CP)**: 进行性不可逆纤维化,外分泌/内分泌功能不全。<br>**建议值**: `急性胰腺炎`, `慢性胰腺炎`, `急性发作慢性胰腺炎`,急性胰腺炎
classification.severity,分类.严重程度,String,"**修订Atlanta分类**(2012):<br>**轻症AP**: 无器官衰竭,无局部/全身并发症<br>**中度重症AP**: 一过性器官衰竭(<48h)或局部/全身并发症<br>**重症AP**: 持续性器官衰竭(≥48h)<br>**建议值**: `轻症`, `中度重症`, `重症`",中度重症

etiology.cause,病因.主要病因,String,"**胆源性(40%)**: 胆石症,胆道结石嵌顿壶腹部。<br>**酒精性(30%)**: 长期大量饮酒。<br>**高脂血症(10%)**: TG>11.3 mmol/L(1000 mg/dL)。<br>**特发性(10%)**: 原因不明。<br>**其他(10%)**: ERCP术后,外伤,药物,自身免疫,感染,肿瘤。<br>**建议值**: `胆源性`, `酒精性`, `高脂血症性`, `ERCP术后`, `外伤性`, `药物性`, `自身免疫性`, `肿瘤性`, `特发性`",胆源性
etiology.gallstones,病因.胆石症,String,"**胆囊/胆道结石**: B超/CT/MRCP确认。<br>**建议值**: `无`, `胆囊结石`, `胆总管结石`, `壶腹部结石嵌顿`,胆总管结石
etiology.alcohol,病因.饮酒史,String,"**慢性大量饮酒**: >5年,>50-80 g乙醇/天。<br>**急性大量饮酒**: 暴饮。<br>**示例**: `不饮酒`, `少量饮酒`, `长期大量饮酒(白酒半斤/天×10年)`, `急性大量饮酒`,不饮酒
etiology.tg,病因.甘油三酯,Number,"血清甘油三酯。<br>单位: mmol/L<br>**>11.3**: 高脂血症性胰腺炎高危<br>**正常**: <1.7",3.5

