Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,onset_date,起病日期,date,,,,,Y,症状开始时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,流行病学
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学

Parasite_Type,parasitic_infection,寄生虫感染类型,categorical,,Malaria,Toxoplasmosis,Giardiasis,Amebiasis,Cryptosporidiosis,Strongyloidiasis,Schistosomiasis,Other,,,Y,疟疾/弓形虫病/贾第虫病/阿米巴病/隐孢子虫病/类圆线虫病/血吸虫病/其他,分类

Travel_History,travel_endemic_area,流行区旅行,boolean,,,,,Y,疫区旅行史,输入性疾病
Travel_History,travel_destination,旅行目的地,string,,,,,N,具体地区,地方性寄生虫
Travel_History,immigration_status,移民,boolean,,,,,N,来自流行区,慢性感染

Malaria,malaria,疟疾,boolean,,,,,Y,疟原虫感染,全球热带亚热带
Malaria,plasmodium_species,疟原虫种,categorical,,None,P_falciparum,P_vivax,P_ovale,P_malariae,P_knowlesi,,,N,恶性/间日/卵形/三日/诺氏,种属
Malaria,p_falciparum,恶性疟,boolean,,,,,N,恶性疟原虫,最危险
Malaria,malaria_severity,疟疾严重度,categorical,,None,Uncomplicated,Severe,,,Y,无/单纯性/重症,分层治疗
Malaria,severe_malaria_criteria,重症疟疾标准,boolean,,,,,N,脑型疟/严重贫血/肾衰竭/ARDS/低血糖/酸中毒/休克,器官功能障碍
Malaria,cerebral_malaria,脑型疟,boolean,,,,,N,意识障碍,病死率高
Malaria,parasitemia,寄生虫血症,decimal,%,0-100,,,N,外周血疟原虫比例,>5%重症

Toxoplasmosis,toxoplasmosis,弓形虫病,boolean,,,,,Y,刚地弓形虫,人畜共患
Toxoplasmosis,toxo_primary_infection,原发性弓形虫病,boolean,,,,,N,急性感染,免疫正常通常自限
Toxoplasmosis,toxo_reactivation,弓形虫再激活,boolean,,,,,Y,潜伏感染再激活,免疫缺陷
Toxoplasmosis,cerebral_toxoplasmosis,脑弓形虫病,boolean,,,,,Y,脑脓肿,AIDS定义性疾病
Toxoplasmosis,ocular_toxoplasmosis,眼弓形虫病,boolean,,,,,N,脉络膜视网膜炎,先天性/获得性
Toxoplasmosis,congenital_toxoplasmosis,先天性弓形虫病,boolean,,,,,N,母婴传播,致畸

Intestinal_Parasites,giardiasis,贾第虫病,boolean,,,,,Y,蓝氏贾第鞭毛虫,水源性腹泻
Intestinal_Parasites,amebiasis,阿米巴病,boolean,,,,,Y,溶组织内阿米巴,痢疾/肝脓肿
Intestinal_Parasites,amebic_colitis,阿米巴痢疾,boolean,,,,,N,侵袭性结肠炎,血性腹泻
Intestinal_Parasites,amebic_liver_abscess,阿米巴肝脓肿,boolean,,,,,N,肝脓肿,最常见肠外并发症
Intestinal_Parasites,cryptosporidiosis,隐孢子虫病,boolean,,,,,Y,隐孢子虫,AIDS腹泻
Intestinal_Parasites,cyclospora,环孢子虫病,boolean,,,,,N,环孢子虫,旅行者腹泻

Helminths,strongyloidiasis,类圆线虫病,boolean,,,,,Y,粪类圆线虫,慢性感染/超感染综合征
Helminths,hyperinfection_syndrome,超感染综合征,boolean,,,,,N,自体感染爆发,免疫抑制/致死性
Helminths,schistosomiasis,血吸虫病,boolean,,,,,Y,血吸虫,肝肠/泌尿生殖
Helminths,schistosoma_species,血吸虫种,categorical,,None,S_japonicum,S_mansoni,S_haematobium,,,N,日本/曼氏/埃及,地理分布
Helminths,ascariasis,蛔虫病,boolean,,,,,N,似蚓蛔线虫,肠道蠕虫
Helminths,hookworm,钩虫病,boolean,,,,,N,钩虫,贫血
Helminths,trichuriasis,鞭虫病,boolean,,,,,N,毛首鞭形线虫,肠道蠕虫
Helminths,enterobiasis,蛲虫病,boolean,,,,,N,蠕形住肠线虫,肛周瘙痒

Tissue_Parasites,echinococcosis,棘球蚴病,boolean,,,,,Y,包虫病,肝/肺包虫囊肿
Tissue_Parasites,cystic_echinococcosis,囊型包虫病,boolean,,,,,N,细粒棘球绦虫,肝囊肿
Tissue_Parasites,trichinellosis,旋毛虫病,boolean,,,,,N,旋毛虫,肌肉痛/嗜酸性粒细胞增多
Tissue_Parasites,cysticercosis,囊虫病,boolean,,,,,N,猪带绦虫囊尾蚴,神经囊虫病

Symptoms_Malaria,fever_malaria,发热,boolean,,,,,Y,周期性发热,疟疾三联征
Symptoms_Malaria,chills_rigors,寒战,boolean,,,,,Y,寒战,疟疾发作
Symptoms_Malaria,sweats,出汗,boolean,,,,,Y,大汗,退热期
Symptoms_Malaria,headache,头痛,boolean,,,,,Y,头痛,全身症状
Symptoms_Malaria,myalgia,肌肉痛,boolean,,,,,Y,肌痛,全身症状
Symptoms_Malaria,jaundice,黄疸,boolean,,,,,N,黄疸,溶血/肝功能不全
Symptoms_Malaria,splenomegaly,脾肿大,boolean,,,,,Y,脾大,慢性疟疾

Symptoms_GI,diarrhea,腹泻,boolean,,,,,Y,腹泻,肠道寄生虫
Symptoms_GI,bloody_diarrhea,血性腹泻,boolean,,,,,Y,脓血便,阿米巴/血吸虫
Symptoms_GI,steatorrhea,脂肪泻,boolean,,,,,N,油花样便,贾第虫
Symptoms_GI,abdominal_pain,腹痛,boolean,,,,,Y,腹部疼痛,肠道寄生虫
Symptoms_GI,nausea_vomiting,恶心呕吐,boolean,,,,,Y,消化道症状,急性期

Symptoms_CNS,seizures,癫痫发作,boolean,,,,,Y,抽搐,脑型疟/神经囊虫病/脑弓形虫病
Symptoms_CNS,altered_consciousness,意识改变,boolean,,,,,Y,意识障碍,脑型疟
Symptoms_CNS,focal_neurological_deficit,局灶神经缺损,boolean,,,,,Y,偏瘫/失语,脑脓肿

Labs_CBC,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,Y,Hb,贫血(疟疾/钩虫)
Labs_CBC,platelet,血小板,decimal,×10⁹/L,0-1000,777-3,,Y,PLT,血小板减少(疟疾)
