字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,PD20250326001
diagnosisDate,确诊日期,Date,帕金森病确诊日期,2025-03-26
age,年龄,Number,确诊时年龄(岁),65
gender,性别,String,患者性别,男

# 核心运动症状
motorSymptoms.tremor,运动症状.震颤,Boolean,"**静止性震颤**: 帕金森病最典型症状(70-80%)<br>**4-6Hz**: 频率<br>**非对称性**: 单侧起病",true
motorSymptoms.tremor.location,运动症状.震颤.部位,String,"**上肢**: 最常见<br>**下肢**: 较少<br>**下颌**: 晚期<br>**"搓丸样"**: 拇指与食指对向运动",右上肢为著
motorSymptoms.tremor.onset,运动症状.震颤.起病侧,String,"**单侧起病**: 典型<br>**逐渐扩展**: 对侧和下肢",右侧
motorSymptoms.tremor.rest,运动症状.震颤.静止性,Boolean,"**静止时明显**: 特征<br>**随意运动时减轻或消失**: 与特发性震颤鉴别",true

motorSymptoms.rigidity,运动症状.肌强直,Boolean,"**齿轮样强直**: 90%患者<br>**铅管样强直**: 无震颤时<br>**被动活动阻力增加**: 检查特征",true
motorSymptoms.rigidity.type,运动症状.肌强直.类型,String,"**齿轮样**: 伴震颤时<br>**铅管样**: 持续阻力",齿轮样强直
motorSymptoms.rigidity.distribution,运动症状.肌强直.分布,String,"**轴性**: 颈部、躯干<br>**肢体**: 上肢>下肢",颈部及四肢,右侧为重

motorSymptoms.bradykinesia,运动症状.运动迟缓,Boolean,"**运动迟缓**: 帕金森病核心症状,必须具备<br>**动作缓慢**: 启动困难<br>**幅度减小**: 动作变小",true
motorSymptoms.bradykinesia.manifestations,运动症状.运动迟缓.表现,String,"**面具脸**: 表情减少<br>**小写症**: 书写变小<br>**小步态**: 步幅减小<br>**起身困难**: 从椅子站起慢",面具脸,小写症,起身困难

motorSymptoms.posturalInstability,运动症状.姿势不稳,Boolean,"**姿势不稳**: 晚期症状(通常5年后)<br>**跌倒风险**: 增加<br>**拉拽试验阳性**: 后拉易跌倒",false
motorSymptoms.posturalInstability.falls,运动症状.姿势不稳.跌倒,Boolean,是否有跌倒史,false

motorSymptoms.gait,运动症状.步态异常,Boolean,"**慌张步态**: 前冲步态<br>**冻结步态**: 起步困难,过门槛时<br>**转身困难**: 需多步小转弯",true
motorSymptoms.gait.type,运动症状.步态.类型,String,"**小步态**: 步幅减小<br>**拖曳步态**: 足不离地<br>**冻结步态**: 双足粘地<br>**慌张步态**: 越走越快,前冲",小步态,偶有冻结

# 非运动症状
nonMotorSymptoms.rbd,非运动症状.RBD,Boolean,"**REM睡眠行为障碍**: 梦境演绎行为<br>**前驱症状**: 可先于运动症状数年<br>**预测价值**: 预测帕金森病发展",true
nonMotorSymptoms.rbd.onset,非运动症状.RBD.出现时间,String,RBD出现时间与运动症状关系,运动症状前5年出现

