Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,诊疗日期,病程记录
Basic_Info,age,年龄,integer,years,12-45,,,Y,患者年龄,生育年龄
Basic_Info,bmi,体质指数,decimal,kg/m²,15-60,39156-5,,Y,BMI,肥胖≥25

Rotterdam_Criteria,rotterdam_criteria,Rotterdam诊断,integer,,0-3,,,Y,满足3项中≥2项,诊断标准
Rotterdam_Criteria,oligo_anovulation,稀发排卵/无排卵,boolean,,,,,Y,月经稀发/闭经,排卵障碍
Rotterdam_Criteria,hyperandrogenism,高雄激素,boolean,,,,,Y,临床/生化,雄激素过多
Rotterdam_Criteria,pcom,多囊卵巢形态,boolean,,,,,Y,超声PCOM,卵巢形态学

Menstrual_History,menstrual_cycle_length,月经周期,categorical,,"Regular_21_35d,Oligomenorrhea_>35d,Amenorrhea,Polymenorrhea",,,Y,周期长度,排卵评估
Menstrual_History,cycles_per_year,年经次数,integer,,0-20,,,N,年月经次数,<8次稀发
Menstrual_History,menarche_age,初潮年龄,integer,years,8-18,,,N,初潮岁数,青春期发育

Clinical_Hyperandrogenism,hirsutism,多毛,boolean,,,,,Y,体毛过多,雄激素表现
Clinical_Hyperandrogenism,ferriman_gallwey_score,FG评分,integer,,0-36,,,N,多毛评分,≥8异常
Clinical_Hyperandrogenism,acne,痤疮,boolean,,,,,N,痤疮,雄激素
Clinical_Hyperandrogenism,androgenic_alopecia,雄激素性脱发,boolean,,,,,N,脱发,高雄
Clinical_Hyperandrogenism,acanthosis_nigricans,黑棘皮症,boolean,,,,,N,颈部/腋窝色素沉着,胰岛素抵抗

Biochemical_Hyperandrogenism,total_testosterone,总睾酮,decimal,ng/dL,0-300,2986-8,,Y,TT,>70升高
Biochemical_Hyperandrogenism,free_testosterone,游离睾酮,decimal,pg/mL,0-10,2991-8,,N,Free T,生物活性
Biochemical_Hyperandrogenism,androstenedione,雄烯二酮,decimal,ng/mL,0-10,,,N,A4,肾上腺来源
Biochemical_Hyperandrogenism,dheas,硫酸脱氢表雄酮,decimal,μg/dL,0-800,2192-2,,N,DHEA-S,肾上腺雄激素
