fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,儿童发育代谢检查日期,2024-12-01
patientID,患者ID,String,患儿唯一标识符,PED-001
patientName,患儿姓名,String,患儿全名,张小明
birthDate,出生日期,String,患儿出生日期,2018-05-15
chronologicalAge,实际年龄,String,按出生日期计算的年龄,6岁3个月
correctedAge,矫正年龄,String,早产儿矫正后年龄,6岁1个月
gestationalAge,胎龄,String,出生时胎龄,38周+3天
birthWeight,出生体重,Number,出生时体重(g),3200
currentWeight,当前体重,Number,检查时体重(kg),22.5
currentHeight,当前身高,Number,检查时身高(cm),115.2
currentBMI,当前BMI,Number,当前体重指数,17.0
weightPercentile,体重百分位,Number,同年龄性别体重百分位,60
heightPercentile,身高百分位,Number,同年龄性别身高百分位,55
BMIPercentile,BMI百分位,Number,同年龄性别BMI百分位,65
headCircumference,头围,Number,头围测量值(cm),52.5
headCircumferencePercentile,头围百分位,Number,同年龄性别头围百分位,70
chestCircumference,胸围,Number,胸围测量值(cm),58.0
armSpan,臂展,Number,双臂展开长度(cm),116.0
sittingHeight,坐高,Number,坐高测量值(cm),62.0
upperLowerSegmentRatio,上下段比例,Number,上下身体比例,0.95
weightGainVelocity,体重增长速度,Number,近6个月体重增长(kg/月),0.3
heightGrowthVelocity,身高增长速度,Number,近12个月身高增长(cm/年),6.5
pubertalStage,青春期发育阶段,String,Tanner分期,Tanner II期
breastDevelopment,乳房发育,String,女童乳房发育分期,Tanner II期
genitalDevelopment,生殖器发育,String,男童生殖器发育分期,Tanner II期
pubicHairDevelopment,阴毛发育,String,阴毛发育分期,Tanner I期
testisVolume,睾丸体积,Number,男童睾丸体积(ml),6
menarche,初潮,String,女童初潮情况,未初潮
voiceChange,变声,String,男童变声情况,未变声
skeletalMaturation,骨龄,String,骨骼发育年龄,5岁8个月
boneDensity,骨密度,Number,骨密度Z值,-0.5
muscleStrength,肌力,String,整体肌力评估,正常
motorDevelopment,运动发育,String,运动发育评估,符合年龄
cognitiveDevelopment,认知发育,String,认知发育评估,符合年龄
languageDevelopment,语言发育,String,语言发育评估,符合年龄
socialDevelopment,社交发育,String,社交发育评估,符合年龄
sleepPattern,睡眠模式,String,睡眠时间和质量,夜间10小时良好
appetitePattern,食欲模式,String,食欲和进食行为,良好
feedingDifficulty,喂养困难,Boolean,是否存在喂养困难,false
fastingGlucose,空腹血糖,Number,空腹血糖水平(mmol/L),4.8
postprandialGlucose,餐后血糖,Number,餐后2小时血糖(mmol/L),6.2
HbA1c,糖化血红蛋白,Number,糖化血红蛋白(%),5.2
glucoseTolerance,糖耐量,String,口服糖耐量试验结果,正常
insulinLevel,胰岛素水平,Number,空腹胰岛素(mU/L),8.5
HOMAIndex,HOMA指数,Number,胰岛素抵抗指数,1.8
cPeptide,C肽,Number,C肽水平(ng/ml),1.5
ketones,酮体,String,尿酮体检测,阴性
totalCholesterol,总胆固醇,Number,总胆固醇水平(mmol/L),4.2
triglycerides,甘油三酯,Number,甘油三酯水平(mmol/L),1.1
HDLCholesterol,高密度脂蛋白,Number,HDL胆固醇(mmol/L),1.4
LDLCholesterol,低密度脂蛋白,Number,LDL胆固醇(mmol/L),2.5
growthHormone,生长激素,Number,生长激素水平(ng/ml),3.2
IGF1,胰岛素样生长因子1,Number,IGF-1水平(ng/ml),180
IGFBP3,胰岛素样生长因子结合蛋白3,Number,IGFBP-3水平(mg/L),3.8
thyroidTSH,促甲状腺激素,Number,TSH水平(mU/L),2.1
thyroidT4,甲状腺素,Number,T4水平(pmol/L),110
thyroidT3,三碘甲状腺原氨酸,Number,T3水平(pmol/L),5.2
freeT4,游离T4,Number,游离T4水平(pmol/L),15.8
freeT3,游离T3,Number,游离T3水平(pmol/L),4.9
cortisol,皮质醇,Number,皮质醇水平(nmol/L),350
ACTH,促肾上腺皮质激素,Number,ACTH水平(pg/ml),25
vitaminD,维生素D,Number,25-羟维生素D3(ng/ml),32
calcium,血钙,Number,血清钙水平(mmol/L),2.4
phosphorus,血磷,Number,血清磷水平(mmol/L),1.5
alkalinePhosphatase,碱性磷酸酶,Number,碱性磷酸酶(U/L),280
parathyroidHormone,甲状旁腺激素,Number,PTH水平(pg/ml),45
osteocalcin,骨钙素,Number,骨钙素水平(ng/ml),25
hemoglobin,血红蛋白,Number,血红蛋白水平(g/L),125
hematocrit,红细胞压积,Number,红细胞压积(%),38
ironLevel,血清铁,Number,血清铁水平(μmol/L),15
ferritin,铁蛋白,Number,血清铁蛋白(ng/ml),35
transferrin,转铁蛋白,Number,转铁蛋白水平(g/L),2.8
vitaminB12,维生素B12,Number,维生素B12水平(pg/ml),450
folate,叶酸,Number,血清叶酸水平(ng/ml),8.5
zinc,锌,Number,血清锌水平(μmol/L),12.5
protein,总蛋白,Number,血清总蛋白(g/L),72
albumin,白蛋白,Number,血清白蛋白(g/L),45
prealbumin,前白蛋白,Number,血清前白蛋白(mg/L),220
creatinine,肌酐,Number,血清肌酐(μmol/L),45
BUN,尿素氮,Number,血尿素氮(mmol/L),4.2
ALT,丙氨酸转氨酶,Number,ALT水平(U/L),25
AST,天冬氨酸转氨酶,Number,AST水平(U/L),28
geneticTesting,基因检测,String,遗传代谢病基因筛查,未发现异常
chromosomeAnalysis,染色体分析,String,染色体核型分析,46XY正常男性核型
metabolicScreening,代谢筛查,String,串联质谱代谢筛查,正常
aminoAcidProfile,氨基酸谱,String,血氨基酸分析,正常
organicAcidProfile,有机酸谱,String,尿有机酸分析,正常
fattyAcidProfile,脂肪酸谱,String,血脂肪酸分析,正常
lysosomalEnzymes,溶酶体酶,String,溶酶体酶活性检测,正常
mitochondrialFunction,线粒体功能,String,线粒体功能评估,正常
familyHistoryDiabetes,家族糖尿病史,Boolean,家族糖尿病病史,false
familyHistoryObesity,家族肥胖史,Boolean,家族肥胖病史,false
familyHistoryGrowthDisorder,家族生长发育异常史,Boolean,家族生长发育异常史,false
familyHistoryMetabolicDisease,家族代谢病史,Boolean,家族遗传代谢病史,false
maternalGestationalDiabetes,母亲妊娠糖尿病,Boolean,母亲孕期糖尿病史,false
birthComplications,出生并发症,String,出生时并发症情况,无
neonatalHypoglycemia,新生儿低血糖,Boolean,新生儿期低血糖史,false
neonatalJaundice,新生儿黄疸,Boolean,新生儿黄疸史,true
feedingHistory,喂养史,String,婴幼儿期喂养方式,母乳喂养6个月
milestoneDelays,发育里程碑延迟,String,运动语言发育里程碑,符合年龄
previousHospitalizations,既往住院史,String,既往住院治疗情况,无
currentMedications,当前用药,String,目前使用的药物,无
allergies,过敏史,String,药物食物过敏史,无已知过敏
vaccineHistory,疫苗接种史,String,疫苗接种完成情况,按计划完成
physicalActivity,体力活动,String,日常体力活动水平,中等
screenTime,屏幕时间,String,每日屏幕使用时间,2小时
dietaryPattern,饮食模式,String,日常饮食习惯,均衡饮食
sugarIntake,糖分摄入,String,每日糖分摄入评估,适量
vegetableIntake,蔬菜摄入,String,每日蔬菜摄入量,充足
fruitIntake,水果摄入,String,每日水果摄入量,适量
proteinIntake,蛋白质摄入,String,每日蛋白质摄入评估,充足
calciumIntake,钙摄入,String,每日钙摄入评估,充足
parentalConcerns,家长担忧,String,家长主要担忧问题,身高增长缓慢
schoolPerformance,学业表现,String,学校学习表现评估,良好
behavioralIssues,行为问题,String,行为情绪问题评估,无明显异常
sleepDisorders,睡眠障碍,String,睡眠相关问题,无
eatingDisorders,进食障碍,String,进食行为异常,无
bodyImageConcerns,体型担忧,String,对体型外貌的担忧,无
peerRelationships,同伴关系,String,与同龄人关系,良好
stressFactors,压力因素,String,生活学习压力评估,轻度
copingStrategies,应对策略,String,压力应对方式,适当
socialSupport,社会支持,String,家庭社会支持情况,良好
environmentalFactors,环境因素,String,生活环境影响因素,良好
accessToHealthcare,医疗可及性,String,医疗服务获取情况,良好
economicFactors,经济因素,String,家庭经济状况影响,无明显影响
culturalFactors,文化因素,String,文化背景对发育的影响,积极
riskAssessment,风险评估,String,发育代谢风险综合评估,低风险
protectiveFactors,保护因素,String,有利于发育的保护因素,家庭支持良好
earlyIntervention,早期干预,String,是否需要早期干预,无需要
specializedCare,专科转诊,String,是否需要专科医生诊治,无需要
followUpPlan,随访计划,String,后续随访计划安排,6个月后复查
parentEducation,家长教育,String,家长健康教育内容,营养运动指导
schoolCoordination,学校协调,String,与学校的协调配合,良好
communityResources,社区资源,String,可利用的社区资源,充分
emergencyPlan,应急预案,String,紧急情况处理计划,已制定
progressMonitoring,进展监测,String,发育进展监测方法,生长曲线追踪
outcomeGoals,预期目标,String,短期和长期发育目标,正常生长发育
qualityOfLife,生活质量,String,整体生活质量评估,良好
familySatisfaction,家庭满意度,String,家庭对治疗的满意度,满意
careCoordination,护理协调,String,多学科护理协调情况,良好
resourceUtilization,资源利用,String,医疗资源利用效率,合理
costEffectiveness,成本效益,String,治疗成本效益分析,良好
safetyProfile,安全性,String,治疗干预安全性评估,安全
adherenceAssessment,依从性评估,String,治疗计划依从性,良好
barriersToTreatment,治疗障碍,String,治疗过程中的障碍,无明显障碍
facilitatingFactors,促进因素,String,有利于治疗的因素,家庭配合良好
culturalSensitivity,文化敏感性,String,文化背景考虑,充分考虑
patientSatisfaction,患儿满意度,String,患儿对治疗的满意度,满意
diagnosisImpression,诊断印象,String,初步诊断和评估结论,生长发育正常
recommendation,建议,String,治疗和管理建议,继续观察合理营养适度运动
