Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,生长监测
Basic_Info,chronological_age_months,实足年龄,integer,months,0-216,,,Y,月龄,0-18岁
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,生长曲线选择
Basic_Info,gestational_age_at_birth,出生孕周,decimal,weeks,22-44,11884-4,,Y,GA,早产/足月/过期
Basic_Info,premature,早产,boolean,,,,,Y,<37周,校正年龄

Birth_History,birth_weight,出生体重,decimal,kg,0.5-6,8339-4,,Y,BW,SGA/AGA/LGA
Birth_History,birth_length,出生身长,decimal,cm,25-60,89269-5,,Y,BL,体格评估
Birth_History,birth_head_circumference,出生头围,decimal,cm,20-40,8741-1,,Y,BHC,神经发育
Birth_History,birth_weight_classification,出生体重分类,categorical,,"SGA,AGA,LGA",,,N,小于/适于/大于胎龄,宫内生长
Birth_History,apgar_1min,Apgar 1分钟,integer,,0-10,9272-6,,N,1分钟评分,新生儿窒息
Birth_History,apgar_5min,Apgar 5分钟,integer,,0-10,9274-2,,N,5分钟评分,预后评估

Anthropometry,current_weight,当前体重,decimal,kg,2-150,29463-7,,Y,体重,生长监测
Anthropometry,current_length_height,当前身长/身高,decimal,cm,40-200,8302-2,,Y,身长(0-2岁)/身高(≥2岁),线性生长
Anthropometry,current_head_circumference,当前头围,decimal,cm,30-65,9843-4,,Y,HC,<3岁脑发育
Anthropometry,mid_upper_arm_circumference,上臂围,decimal,cm,5-40,56072-2,,N,MUAC,营养评估
Anthropometry,triceps_skinfold,肱三头肌皮褶厚度,decimal,mm,3-40,8280-0,,N,TSF,体脂评估

Growth_Metrics,weight_for_age_percentile,年龄别体重百分位,decimal,,0-100,,,Y,体重百分位,WHO/CDC生长曲线
Growth_Metrics,length_height_for_age_percentile,年龄别身长/身高百分位,decimal,,0-100,,,Y,身高百分位,线性生长评估
Growth_Metrics,weight_for_length_height_percentile,身长/身高别体重百分位,decimal,,0-100,,,N,体重身高百分位,营养状态
Growth_Metrics,head_circumference_for_age_percentile,年龄别头围百分位,decimal,,0-100,,,N,头围百分位,<3岁
Growth_Metrics,bmi,体质指数,decimal,kg/m²,10-40,39156-5,,Y,BMI,≥2岁
Growth_Metrics,bmi_for_age_percentile,年龄别BMI百分位,decimal,,0-100,,,Y,BMI百分位,肥胖/消瘦

Growth_Velocity,weight_gain_velocity,体重增长速度,decimal,g/day,-100-100,,,N,日增重,婴儿期重要
Growth_Velocity,linear_growth_velocity,身高增长速度,decimal,cm/year,0-30,,,N,年身高增速,生长速度
Growth_Velocity,growth_pattern,生长模式,categorical,,"Normal,Accelerated,Decelerated,Plateau",,,Y,正常/加速/减速/平台,生长趋势

Nutritional_Status,nutritional_status,营养状态,categorical,,"Normal,Underweight,Overweight,Obese,Severely_Malnourished",,,Y,正常/体重不足/超重/肥胖/重度营养不良,营养诊断
Nutritional_Status,wasting,消瘦,boolean,,,,,N,WHZ<-2SD,急性营养不良
Nutritional_Status,stunting,生长迟缓,boolean,,,,,N,HAZ<-2SD,慢性营养不良
Nutritional_Status,underweight,体重不足,boolean,,,,,N,WAZ<-2SD,总体营养不良

Feeding_History,feeding_type,喂养方式,categorical,,"Exclusive_Breastfeeding,Mixed_Feeding,Formula_Feeding,Complementary_Feeding,Family_Foods",,,Y,纯母乳/混合/配方奶/辅食/家庭饮食,营养来源
Feeding_History,breastfeeding_duration,母乳喂养时长,integer,months,0-60,,,N,母乳月数,WHO推荐至2岁
Feeding_History,complementary_feeding_start,辅食添加时间,integer,months,0-24,,,N,辅食起始月龄,推荐6月
Feeding_History,feeding_difficulty,喂养困难,boolean,,,,,N,拒食/呕吐/厌食,喂养问题
Feeding_History,dietary_diversity,膳食多样性,categorical,,"Poor,Fair,Good",,,N,差/一般/好,营养充足性

Developmental_Milestones,gross_motor,大运动,categorical,,"On_Track,Delayed,Advanced",,,Y,符合/延迟/超前,粗大运动发育
Developmental_Milestones,fine_motor,精细运动,categorical,,"On_Track,Delayed,Advanced",,,Y,符合/延迟/超前,精细运动发育
Developmental_Milestones,language,语言,categorical,,"On_Track,Delayed,Advanced",,,Y,符合/延迟/超前,语言发育
Developmental_Milestones,social_emotional,社交情感,categorical,,"On_Track,Delayed,Advanced",,,Y,符合/延迟/超前,社会情感发育
Developmental_Milestones,cognitive,认知,categorical,,"On_Track,Delayed,Advanced",,,Y,符合/延迟/超前,认知发育

Specific_Milestones,head_control,抬头,categorical,,"Not_Achieved,Achieved,NA",,,N,未达到/已达到,2-4月
Specific_Milestones,sitting,独坐,categorical,,"Not_Achieved,Achieved,NA",,,N,未达到/已达到,6-8月
Specific_Milestones,crawling,爬行,categorical,,"Not_Achieved,Achieved,NA",,,N,未达到/已达到,7-10月
