字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行周围血管病变检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行周围血管病变检查的临床指征。<br>**建议值**: `间歇性跛行`, `下肢疼痛`, `糖尿病足筛查`, `动脉粥样硬化评估`, `血管重建术前评估`",间歇性跛行
padSeverity.rutherfordClassification,PAD严重程度.Rutherford分级,Number,"Rutherford分级。<br>**分级**: 0(无症状), 1(轻度跛行), 2(中度跛行), 3(重度跛行), 4(静息痛), 5(小面积组织缺失), 6(大面积组织缺失)",2
padSeverity.fontaineClassification,PAD严重程度.Fontaine分级,String,"Fontaine分级。<br>**建议值**: `I期`, `IIa期`, `IIb期`, `III期`, `IV期`",IIa期
padSeverity.wifiClassification.wound,PAD严重程度.WIfI分级.创面,Number,"创面分级(W)。<br>**分级**: 0(无), 1(浅表), 2(深层), 3(骨关节)",0
padSeverity.wifiClassification.ischemia,PAD严重程度.WIfI分级.缺血,Number,"缺血分级(I)。<br>**分级**: 0(无), 1(轻度), 2(中度), 3(重度)",2
padSeverity.wifiClassification.footInfection,PAD严重程度.WIfI分级.足部感染,Number,"足部感染分级(fI)。<br>**分级**: 0(无), 1(轻度), 2(中度), 3(重度)",0
symptoms.claudication.present,症状.间歇性跛行.是否存在,String,"间歇性跛行。<br>**建议值**: `无`, `有`",有
symptoms.claudication.walkingDistance,症状.间歇性跛行.行走距离,Number,"引起跛行的行走距离。<br>单位: 米",200
symptoms.claudication.recoveryTime,症状.间歇性跛行.恢复时间,Number,"休息后症状恢复时间。<br>单位: 分钟",3
symptoms.claudication.location,症状.间歇性跛行.部位,String,"跛行部位",左小腿
symptoms.claudication.progression,症状.间歇性跛行.进展,String,"症状进展。<br>**建议值**: `稳定`, `进展`, `改善`",进展
symptoms.restPain.present,症状.静息痛.是否存在,String,"静息痛。<br>**建议值**: `无`, `有`",无
symptoms.restPain.severity,症状.静息痛.严重程度,Number,"静息痛严重程度（VAS评分）。<br>**范围**: 0-10",0
symptoms.restPain.timing,症状.静息痛.发生时间,String,"静息痛发生时间（如存在）",无
symptoms.restPain.location,症状.静息痛.部位,String,"静息痛部位（如存在）",无
symptoms.restPain.relievingFactors,症状.静息痛.缓解因素,String,"静息痛缓解因素（如存在）",无
symptoms.coldness.present,症状.肢体发凉.是否存在,String,"肢体发凉。<br>**建议值**: `无`, `有`",有
symptoms.coldness.location,症状.肢体发凉.部位,String,"发凉部位",双足
symptoms.coldness.severity,症状.肢体发凉.严重程度,String,"发凉严重程度。<br>**建议值**: `轻度`, `中度`, `重度`",中度
symptoms.numbness.present,症状.肢体麻木.是否存在,String,"肢体麻木。<br>**建议值**: `无`, `有`",有
