Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,中毒时间窗
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,儿童意外/成人自杀
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征

Exposure,substance,中毒物质,string,,,,,Y,毒物名称,病因诊断
Exposure,substance_class,物质类别,categorical,,Pharmaceutical,Household_Product,Pesticide,Recreational_Drug,Industrial_Chemical,Plant,Mushroom,Carbon_Monoxide,Unknown,,,Y,药物/家用产品/农药/娱乐性药物/工业化学品/植物/蘑菇/一氧化碳/不明,分类
Exposure,route,暴露途径,categorical,,Ingestion,Inhalation,Dermal,Injection,Ocular,,,Y,摄入/吸入/皮肤/注射/眼部,毒物吸收
Exposure,amount_ingested,摄入量,string,,,,,Y,剂量,毒性评估
Exposure,time_since_exposure,暴露后时间,integer,hours,0-168,,,Y,暴露至就诊小时数,解毒时间窗

Intent,exposure_intent,暴露意图,categorical,,Accidental,Intentional_Self_Harm,Intentional_Misuse,Adverse_Reaction,Occupational,Environmental,,,Y,意外/故意自伤/故意滥用/不良反应/职业/环境,自杀风险
Intent,suicide_attempt,自杀企图,boolean,,,,,Y,自杀意图,精神科评估

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,SBP,休克/高血压
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,DBP,血流动力学
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,HR,心动过速/过缓
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,RR,呼吸抑制/过度通气
Vital_Signs,temperature,体温,decimal,°C,30-42,8310-5,,Y,体温,高热/低体温
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,低氧血症

GCS,gcs_total,GCS总分,integer,,3-15,9269-2,,Y,意识状态,CNS抑制
GCS,gcs_eye,睁眼反应,integer,,1-4,9267-6,,Y,E评分,意识评估
GCS,gcs_verbal,语言反应,integer,,1-5,9270-0,,Y,V评分,语言功能
GCS,gcs_motor,运动反应,integer,,1-6,9268-4,,Y,M评分,运动评估

Toxidrome,toxidrome_identified,中毒综合征,categorical,,None,Anticholinergic,Cholinergic,Sympathomimetic,Opioid,Sedative_Hypnotic,Serotonin_Syndrome,,,Y,无/抗胆碱/胆碱能/拟交感/阿片类/镇静催眠/5-HT综合征,毒理学

Anticholinergic,anticholinergic_signs,抗胆碱征,boolean,,,,,N,dry/hot/blind/mad/red,阿托品样
Anticholinergic,mydriasis,瞳孔散大,boolean,,,,,N,散瞳,副交感阻断
Anticholinergic,dry_skin,皮肤干燥,boolean,,,,,N,无汗,汗腺抑制
Anticholinergic,flushing,潮红,boolean,,,,,N,面部潮红,血管扩张
Anticholinergic,urinary_retention,尿潴留,boolean,,,,,N,膀胱麻痹,逼尿肌
Anticholinergic,ileus,肠梗阻,boolean,,,,,N,肠鸣音消失,肠麻痹
Anticholinergic,delirium_anticholinergic,谵妄,boolean,,,,,N,意识模糊+幻觉,中枢抗胆碱

Cholinergic,cholinergic_signs,胆碱能征,boolean,,,,,N,SLUDGE/DUMBELS,有机磷/氨基甲酸酯
Cholinergic,miosis,瞳孔缩小,boolean,,,,,N,针尖瞳,烟碱/毒蕈碱
Cholinergic,salivation,流涎,boolean,,,,,N,唾液分泌,毒蕈碱
Cholinergic,lacrimation,流泪,boolean,,,,,N,泪液分泌,毒蕈碱
Cholinergic,bronchorrhea,支气管分泌物,boolean,,,,,N,气道分泌物,毒蕈碱
