Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,孕妇追踪
Basic_Info,gravida,妊娠次数,integer,,0-20,11996-6,,Y,怀孕总次数,产科史
Basic_Info,para,分娩次数,integer,,0-20,11977-6,,Y,≥20周分娩次数,产科史
Basic_Info,lmp,末次月经,date,,,,,Y,LMP,孕龄计算
Basic_Info,edd,预产期,date,,,,,Y,EDD,分娩预期时间
Basic_Info,gestational_age,孕龄,decimal,weeks,0-45,49052-4,,Y,妊娠周数,孕期阶段
Basic_Info,age,年龄,integer,years,10-60,,,Y,孕妇年龄,高危因素

Medical_History,chronic_hypertension,慢性高血压,boolean,,,,,Y,孕前高血压,高危妊娠
Medical_History,pregestational_diabetes,孕前糖尿病,boolean,,,,,Y,1型/2型糖尿病,高危
Medical_History,thyroid_disease,甲状腺疾病,boolean,,,,,Y,甲亢/甲减,妊娠管理
Medical_History,renal_disease,肾脏疾病,boolean,,,,,Y,CKD,高危
Medical_History,cardiac_disease,心脏病,boolean,,,,,Y,心脏疾病,高危
Medical_History,autoimmune_disease,自身免疫病,boolean,,,,,Y,SLE/APS,高危
Medical_History,thrombophilia,血栓形成倾向,boolean,,,,,N,凝血异常,VTE风险

Obstetric_History,previous_cesarean,既往剖宫产,boolean,,,,,Y,剖宫产史,TOLAC评估
Obstetric_History,number_of_cesareans,剖宫产次数,integer,,0-10,,,N,剖宫产次数,子宫破裂风险
Obstetric_History,previous_preterm_birth,既往早产,boolean,,,,,Y,<37周分娩史,复发风险17%
Obstetric_History,previous_preeclampsia,既往子痫前期,boolean,,,,,Y,PE病史,复发风险15-25%
Obstetric_History,previous_gdm,既往妊娠期糖尿病,boolean,,,,,Y,GDM病史,复发风险30-50%
Obstetric_History,recurrent_pregnancy_loss,复发性流产,boolean,,,,,Y,≥2次自然流产,APS/染色体
Obstetric_History,previous_stillbirth,既往死胎,boolean,,,,,Y,死产史,高危

Prenatal_Visits,first_visit_trimester,首次产检孕期,categorical,,First,Second,Third,,,Y,孕早期/孕中期/孕晚期,产检及时性
Prenatal_Visits,total_visits,产检次数,integer,,0-50,,,Y,产检总次数,产前保健充分性
Prenatal_Visits,adequate_prenatal_care,充分产前保健,boolean,,,,,Y,Kessner指数,产检质量

Vital_Signs,weight_prepregnancy,孕前体重,decimal,kg,30-200,29463-7,,Y,孕前体重,BMI基线
Vital_Signs,bmi_prepregnancy,孕前BMI,decimal,,10-60,89270-3,,Y,孕前BMI,体重增长目标
Vital_Signs,current_weight,当前体重,decimal,kg,30-200,29463-7,,Y,当前体重,体重增长监测
