Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,就诊时间,记录时点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,全生命周期
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Social_History,occupation,职业,string,,,,,N,职业,社会因素
Social_History,living_situation,居住情况,categorical,,Alone,With_Family,Assisted_Living,Nursing_Home,,,N,独居/与家人/辅助生活/养老院,社会支持
Social_History,health_literacy,健康素养,categorical,,Low,Moderate,High,,,N,低/中/高,健康教育
Risk_Assessment,risk_factors,危险因素,string,,,,,Y,吸烟/饮酒/肥胖/家族史,可改变因素
Risk_Assessment,preventive_care_status,预防保健状态,string,,,,,Y,疫苗接种/筛查/健康教育,预防医学
Chief_Complaint,presenting_problem,主诉,string,,,,,Y,患者主诉,就诊原因
Chief_Complaint,symptom_duration,症状持续时间,string,,,,,Y,症状时长,病史采集
Vital_Signs,vital_signs,生命体征,string,,,,,Y,BP/HR/RR/T/SpO2,基本评估
Vital_Signs,anthropometrics,人体测量,string,,,,,Y,身高/体重/BMI/腰围,肥胖评估
Physical_Exam,physical_examination,体格检查,string,,,,,Y,系统查体,临床评估
Labs,screening_labs,筛查性化验,string,,,,,N,血常规/生化/血脂/血糖,健康筛查
Chronic_Conditions,chronic_diseases,慢性病,string,,,,,Y,高血压/糖尿病/冠心病等,多病共存
Chronic_Conditions,number_of_conditions,疾病数量,integer,,0-20,,,Y,慢性病数目,多病共存复杂度
Medications,current_medications,当前用药,string,,,,,Y,药物名称/剂量/频次,药物管理
Medications,polypharmacy,多重用药,boolean,,,,,Y,≥5种药物,药物相互作用风险
Medications,medication_adherence,用药依从性,categorical,,Good,Fair,Poor,,,Y,良好/一般/差,治疗效果
Functional_Status,adl_assessment,日常生活能力,categorical,,Independent,Partially_Dependent,Dependent,,,Y,独立/部分依赖/完全依赖,功能评估
Functional_Status,mobility,活动能力,categorical,,Ambulatory,Requires_Assistance,Wheelchair,Bedridden,,,N,自主行走/需辅助/轮椅/卧床,功能状态
Mental_Health,depression_screening,抑郁筛查,categorical,,Not_Done,Negative,Positive,,,N,未做/阴性/阳性,PHQ-2/PHQ-9
Mental_Health,cognitive_screening,认知筛查,categorical,,Not_Done,Normal,Impaired,,,N,未做/正常/受损,MMSE/MoCA
Family_Dynamics,family_structure,家庭结构,string,,,,,N,家庭成员构成,社会支持
Family_Dynamics,caregiver_burden,照护者负担,categorical,,None,Mild,Moderate,Severe,,,N,无/轻度/中度/重度,家庭支持评估
Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,疾病诊断,临床诊断
Diagnosis,differential_diagnosis,鉴别诊断,string,,,,,N,鉴别诊断列表,诊断思路
Treatment_Plan,management_plan,管理计划,string,,,,,Y,治疗/转诊/随访计划,综合管理
Treatment_Plan,referral,转诊,categorical,,None,Specialist,Emergency,Hospital,,,Y,无/专科/急诊/住院,分级诊疗
Prevention,health_promotion,健康促进,string,,,,,Y,戒烟/运动/饮食/疫苗,预防干预
Prevention,screening_recommendations,筛查建议,string,,,,,N,癌症筛查/骨密度/眼底,预防性筛查
Follow_Up,follow_up_plan,随访计划,string,,,,,Y,随访时间/内容,连续性照护
Follow_Up,care_coordination,照护协调,string,,,,,N,多学科协作,整合照护
Quality_Metrics,patient_satisfaction,患者满意度,categorical,,Very_Dissatisfied,Dissatisfied,Neutral,Satisfied,Very_Satisfied,,,N,非常不满意/不满意/中立/满意/非常满意,服务质量
Report,primary_care_physician,全科医师,string,,,,,Y,主管医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
