Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at diagnosis","Peak incidence 20-50 years, varies by gender",,Low,,,Women present younger than men
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender","Women more common (10:1 for microprolactinomas)",,Low,,,"Male/Female"
Basic_Info,Patient_Info,menopausal_status,绝经状态,Categorical,,"Premenopausal/Postmenopausal/N/A",,,"Menopausal status (females)","Affects presentation and treatment urgency",,Medium,,,Important for treatment decisions

Clinical_Features,Female_Symptoms,menstrual_irregularity,月经不规律,Boolean,,Yes/No,No,Yes,"Menstrual cycle irregularities","Oligomenorrhea or amenorrhea",Hyperprolactinemia,High,Most common female symptom,,"80-90% of premenopausal women"
Clinical_Features,Female_Symptoms,amenorrhea,闭经,Boolean,,Yes/No,No,Yes,"Absence of menstruation","Primary or secondary amenorrhea",,High,Warrants evaluation,,"Secondary amenorrhea most common"
Clinical_Features,Female_Symptoms,oligomenorrhea,月经稀发,Boolean,,Yes/No,No,Yes,"Infrequent periods","Cycle >35 days",,Medium,,,"Less severe than amenorrhea"
Clinical_Features,Female_Symptoms,galactorrhea,泌乳,Boolean,,Yes/No,No,Yes,"Inappropriate lactation","Milk production in non-pregnant/nursing woman",,High,Classic symptom,,"30-80% of women"
Clinical_Features,Female_Symptoms,infertility,不孕,Boolean,,Yes/No,No,Yes,"Inability to conceive","Due to anovulation",Anovulation,High,Major presenting complaint,,"Reversible with treatment"
Clinical_Features,Female_Symptoms,decreased_libido_female,性欲减退,Boolean,,Yes/No,No,Yes,"Decreased libido (female)",,,,Medium,Common but underreported,,

Clinical_Features,Male_Symptoms,erectile_dysfunction,勃起功能障碍,Boolean,,Yes/No,No,Yes,"Erectile dysfunction","Impotence",Hypogonadism,High,Common male presentation,,"Often attributed to other causes initially"
Clinical_Features,Male_Symptoms,decreased_libido_male,性欲减退,Boolean,,Yes/No,No,Yes,"Decreased libido (male)","Loss of sexual interest",,High,Common in males,,"May be first symptom"
Clinical_Features,Male_Symptoms,gynecomastia,男性乳房发育,Boolean,,Yes/No,No,Yes,"Breast enlargement in males","Gynecomastia",,Medium,Less common,,"10-20% of males"
Clinical_Features,Male_Symptoms,galactorrhea_male,泌乳(男性),Boolean,,Yes/No,No,Yes,"Galactorrhea in males","Rare in men",,Low,Uncommon,,"<5% of males"
Clinical_Features,Male_Symptoms,infertility_male,不育,Boolean,,Yes/No,No,Yes,"Male infertility","Low sperm count, motility",,High,Affects fertility,,

Clinical_Features,Mass_Effect,headache,头痛,Boolean,,Yes/No,No,Yes,"Headache present","From mass effect of macroadenoma",Pituitary_Macroadenoma,Medium,Common in macroadenomas,,"More common in males (larger tumors)"
Clinical_Features,Mass_Effect,visual_disturbance,视力障碍,Boolean,,Yes/No,No,Yes,"Visual symptoms","Visual field defects, vision loss",Chiasm_Compression,Critical,Requires urgent treatment,,"Bitemporal hemianopsia classic"
Clinical_Features,Mass_Effect,visual_field_defect,视野缺损,Boolean,,Yes/No,No,Yes,"Visual field defect documented","Formal perimetry showing defect",,Critical,Ophthalmology evaluation,,"Chiasm compression"
Clinical_Features,Other_Symptoms,fatigue,乏力,Boolean,,Yes/No,No,Yes,"Fatigue/tiredness","Non-specific symptom",,Medium,Common complaint,,"May be from hypogonadism"
Clinical_Features,Other_Symptoms,weight_gain,体重增加,Boolean,,Yes/No,No,Yes,"Weight gain","Often reported",,Low,Multifactorial,,"Hypogonadism, decreased activity"

Hormonal_Diagnosis,Prolactin,serum_prolactin,血清泌乳素,Float,ng/mL,0-1000,<20 (M) <25 (F),>25,"Serum prolactin level","Diagnostic hallmark",Hyperprolactinemia,Critical,Diagnostic test,2842-3,"Key diagnostic parameter"
Hormonal_Diagnosis,Prolactin,prolactin_category,泌乳素分类,Categorical,,"Normal/Mildly_elevated/Moderately_elevated/Markedly_elevated",,Any_elevated,"PRL level category","Mild <50; Moderate 50-200; Marked >200 ng/mL",,High,Helps differential diagnosis,,"Level correlates with etiology"
Hormonal_Diagnosis,Prolactin,prl_elevation_degree,泌乳素升高程度,Categorical,,"Normal/25-50/50-100/100-200/>200",<25,≥25,"Degree of PRL elevation (ng/mL)","<50: physiologic/drug; 50-100: possible tumor; >100: likely tumor; >200: macro",Prolactinoma,Critical,>200 highly specific for macro,,"PRL >200 virtually diagnostic"
Hormonal_Diagnosis,Prolactin,macroprolactin_check,大分子泌乳素检测,Boolean,,Yes/No,No,,"Macroprolactin checked","Rule out macroprolactinemia (false positive)",,Medium,If PRL 25-100 without clear cause,,"Biologically inactive"
Hormonal_Diagnosis,Prolactin,macroprolactinemia,大分子泌乳素血症,Boolean,,Yes/No,No,,"Macroprolactinemia present","High molecular weight PRL, not clinically significant",,Low,No treatment needed,,"Explains asymptomatic elevation"
Hormonal_Diagnosis,Prolactin,hook_effect_excluded,钩状效应排除,Boolean,,Yes/No,No,,"Hook effect excluded","Dilution test for very large tumors",,High,If large tumor with modest PRL elevation,,"Can falsely lower PRL"
Hormonal_Diagnosis,Prolactin,repeat_prolactin,复查泌乳素,Float,ng/mL,0-1000,,,"Repeat PRL to confirm","Confirm sustained elevation",,High,Always repeat,,"Single value insufficient"

Hormonal_Diagnosis,Gonadal_Axis,lh,黄体生成素,Float,mIU/mL,0-50,"1-9 (M), 2-15 (F)",<1,"LH level","Low/normal in hyperprolactinemia",Hypogonadotropic_Hypogonadism,Medium,Suppressed by high PRL,,
Hormonal_Diagnosis,Gonadal_Axis,fsh,卵泡刺激素,Float,mIU/mL,0-50,"1-12 (M), 3-20 (F)",<1,"FSH level","Low/normal in hyperprolactinemia",,Medium,Suppressed by high PRL,,
Hormonal_Diagnosis,Gonadal_Axis,testosterone,睾酮,Float,ng/dL,50-1200,300-1000 (M),<300,"Testosterone (males)","Often low due to PRL suppression of LH",Hypogonadism,High,Check in all males,2986-8,"May need replacement if persistent"
