字段路径,中文名称,数据类型,说明,示例值
reportInfo.id,报告编号,String,病理报告唯一标识,PCa-2025-001234
reportInfo.patientName,患者姓名,String,患者姓名,张某某
reportInfo.patientId,患者ID,String,患者唯一标识,P20250102001
reportInfo.age,年龄,Number,患者年龄(岁),65
reportInfo.reportDate,报告日期,Date,病理报告日期,2025-01-15
reportInfo.specimenType,标本类型,String,"标本类型。<br>**建议值**: `穿刺活检(Needle biopsy)`, `经尿道前列腺电切术(TURP)`, `根治性前列腺切除术(Radical prostatectomy)`, `盆腔淋巴结清扫术`<br>**临床意义**: 不同标本类型的诊断标准和预后评估方法不同",穿刺活检
reportInfo.hospitalName,送检医院,String,送检医院名称,北京协和医院
reportInfo.pathologyDepartment,病理科,String,出具报告的病理科,病理科
reportInfo.pathologist,病理医师,String,签发病理医师姓名,李医生
clinical.chiefComplaint,临床表现.主诉,String,"患者主诉症状。<br>**常见症状**: 无症状(PSA筛查发现)、排尿困难、尿频尿急、血尿、骨痛(骨转移)、会阴不适<br>**临床意义**: 多数早期前列腺癌无症状,通过PSA筛查发现",体检发现PSA升高
clinical.familyHistory,临床表现.家族史,String,"前列腺癌家族史。<br>**建议值**: `无家族史`, `一级亲属1人患前列腺癌`, `一级亲属≥2人患前列腺癌`, `BRCA1/2突变家族史`<br>**临床意义**: 家族史是前列腺癌最强危险因素,一级亲属患病使风险增加2-3倍",一级亲属1人患前列腺癌
tumorMarker.psa.total,肿瘤标志物.PSA.总PSA,Number,"总前列腺特异性抗原(ng/mL)。<br>**参考范围**: <4 ng/mL正常,4-10灰区,>10高度可疑<br>**年龄调整参考值**:<br>- 40-49岁: <2.5<br>- 50-59岁: <3.5<br>- 60-69岁: <4.5<br>- 70-79岁: <6.5<br>**临床意义**: 前列腺癌最重要的血清标志物,但缺乏特异性(BPH也升高)",8.6
tumorMarker.psa.free,肿瘤标志物.PSA.游离PSA,Number,"游离PSA(ng/mL)。<br>**临床意义**: 与总PSA联合计算f/t PSA比值,提高诊断特异性",1.2
tumorMarker.psa.freeRatio,肿瘤标志物.PSA.游离比值,Number,"游离PSA/总PSA比值(%)。<br>**判断标准**:<br>- >25%: 良性可能性大<br>- 18-25%: 灰区<br>- <18%: 恶性可能性大,建议活检<br>- <10%: 高度可疑恶性<br>**临床意义**: PSA 4-10 ng/mL灰区时,f/t PSA<18%提示需活检",13.9
tumorMarker.psa.density,肿瘤标志物.PSA.PSA密度,Number,"PSA密度 = 总PSA / 前列腺体积(ng/mL/mL)。<br>**判断标准**:<br>- <0.15: 良性可能性大<br>- 0.15-0.20: 灰区<br>- >0.20: 恶性可能性大<br>**临床意义**: PSAD>0.15时前列腺癌风险显著增加,比单独PSA更准确",0.23
tumorMarker.psa.velocity,肿瘤标志物.PSA.PSA速率,Number,"PSA速率(ng/mL/年),至少间隔6个月测2次以上。<br>**判断标准**: >0.75 ng/mL/年提示恶性可能<br>**临床意义**: PSA快速升高提示侵袭性前列腺癌",1.2
tumorMarker.psa.doublingTime,肿瘤标志物.PSA.PSA倍增时间,Number,"PSA倍增时间(月)。<br>**临床意义**: PSADT<3个月提示高度侵袭性,PSADT>15个月预后较好,用于生化复发后评估",18
dre.findings,直肠指检.DRE发现,String,"直肠指检(Digital Rectal Examination)发现。<br>**建议值**: `正常-前列腺光滑对称`, `BPH-前列腺均匀增大质韧`, `可疑结节-单侧硬结`, `明显异常-双侧硬结/固定`, `局部凹陷/不规则`<br>**临床意义**: DRE发现结节阳性预测值25-40%",可疑结节-左叶硬结
