fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,精神心理代谢评估日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,PMA-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,评估适应症和临床背景,糖尿病伴抑郁症状评估
referralSource,转诊来源,String,转诊科室或医生,内分泌科
chiefComplaint,主诉,String,患者主要心理症状主诉,情绪低落失眠食欲下降
presentIllness,现病史,String,当前心理症状详细病史,近3个月情绪持续低落
mentalHealthHistory,精神病史,String,既往精神心理疾病史,无精神病史
substanceUseHistory,物质使用史,String,酒精药物滥用史,偶尔饮酒无药物滥用
familyMentalHealthHistory,家族精神病史,String,家族精神心理疾病史,母亲有抑郁症
medicalHistory,躯体疾病史,String,相关躯体疾病史,2型糖尿病5年高血压2年
currentMedications,当前用药,String,目前使用的药物,二甲双胍氯沙坦
psychotropicMedications,精神科用药,String,精神科药物使用情况,未使用精神科药物
appearanceAndBehavior,外观行为,String,外观行为观察,衣着整洁行为合作
mood,情绪,String,情绪状态评估,情绪低落
affect,情感,String,情感表达评估,情感平淡
speech,言语,String,言语特点,语速缓慢音调低沉
thoughtProcess,思维过程,String,思维过程评估,思维迟缓
thoughtContent,思维内容,String,思维内容评估,无明显妄想
perceptualDisturbances,感知觉异常,String,感知觉异常评估,无幻觉
cognition,认知功能,String,认知功能评估,轻度注意力不集中
insight,自知力,String,自知力评估,自知力部分存在
judgment,判断力,String,判断力评估,判断力基本正常
suicidalIdeation,自杀观念,String,自杀观念评估,无明确自杀观念
homicidalIdeation,伤人观念,String,伤人观念评估,无伤人观念
riskAssessment,风险评估,String,自伤伤人风险评估,低风险
depressionScale,抑郁量表,String,抑郁评估量表选择,PHQ-9量表
PHQ9_score,PHQ-9评分,Number,PHQ-9量表总分,12
PHQ9_severity,PHQ-9严重程度,String,基于PHQ-9的抑郁严重程度,中度抑郁
HAM_D_score,汉密尔顿抑郁量表评分,Number,HAM-D量表总分,16
HAM_D_severity,HAM-D严重程度,String,基于HAM-D的抑郁严重程度,轻中度抑郁
BDI_score,贝克抑郁量表评分,Number,BDI量表总分,18
anxietyScale,焦虑量表,String,焦虑评估量表选择,GAD-7量表
GAD7_score,GAD-7评分,Number,GAD-7量表总分,8
GAD7_severity,GAD-7严重程度,String,基于GAD-7的焦虑严重程度,轻度焦虑
HAM_A_score,汉密尔顿焦虑量表评分,Number,HAM-A量表总分,12
SAS_score,自评焦虑量表评分,Number,SAS量表总分,45
stressScale,应激量表,String,应激评估量表选择,知觉压力量表
PSS_score,知觉压力量表评分,Number,PSS量表总分,22
stressLevel,应激水平,String,应激水平评估,中等应激
copingStrategies,应对策略,String,应对策略评估,消极应对为主
socialSupport,社会支持,String,社会支持评估,社会支持不足
lifeEvents,生活事件,String,近期重大生活事件,失业经济压力
qualityOfLifeScale,生活质量量表,String,生活质量评估量表,SF-36量表
SF36_physicalHealth,SF-36躯体健康,Number,SF-36躯体健康得分,68
SF36_mentalHealth,SF-36心理健康,Number,SF-36心理健康得分,42
overallQualityOfLife,总体生活质量,String,总体生活质量评估,生活质量中等偏下
diabetesDistressScale,糖尿病困扰量表,String,糖尿病相关心理困扰评估,糖尿病困扰量表DDS
DDS_score,糖尿病困扰量表评分,Number,DDS量表总分,3.2
diabetesDistressLevel,糖尿病困扰水平,String,糖尿病心理困扰水平,中等困扰
bloodGlucoseWorry,血糖担忧,String,对血糖控制的担忧,经常担心血糖波动
complicationAnxiety,并发症焦虑,String,对糖尿病并发症的焦虑,担心长期并发症
treatmentBurden,治疗负担,String,糖尿病治疗心理负担,感到治疗负担较重
selfCareConfidence,自我管理信心,String,糖尿病自我管理信心,信心不足
medicationAdherence,用药依从性,String,药物治疗依从性评估,依从性中等
dietaryAdherence,饮食依从性,String,饮食控制依从性,依从性较差
exerciseAdherence,运动依从性,String,运动锻炼依从性,依从性差
glucoseMonitoringAdherence,血糖监测依从性,String,血糖监测依从性,依从性中等
appointmentAdherence,随访依从性,String,医疗随访依从性,依从性良好
eatingBehavior,进食行为,String,进食行为评估,情绪性进食
appetiteChanges,食欲变化,String,食欲变化情况,食欲下降
weightChanges,体重变化,String,体重变化情况,体重轻度下降
bingeeating,暴食行为,String,暴食行为评估,无明显暴食
restrictiveEating,限制性进食,String,限制性进食行为,过度限制饮食
bodyImage,体型认知,String,体型认知评估,对体型不满意
foodRelatedAnxiety,食物相关焦虑,String,食物相关焦虑评估,对食物选择焦虑
sleepQuality,睡眠质量,String,睡眠质量评估,睡眠质量差
sleepDuration,睡眠时长,Number,每晚睡眠时间(小时),5.5
sleepLatency,入睡潜伏期,Number,入睡时间(分钟),45
nightAwakenings,夜间觉醒,Number,夜间觉醒次数,3
earlyMorningAwakening,早醒,String,早醒情况,经常早醒
sleepEfficiency,睡眠效率,Number,睡眠效率(%),75
daytimeSleepiness,日间嗜睡,String,日间嗜睡情况,轻度嗜睡
sleepDisorders,睡眠障碍,String,睡眠障碍评估,失眠症状
cognitiveFunction,认知功能,String,认知功能整体评估,轻度认知功能下降
attention,注意力,String,注意力评估,注意力不集中
concentration,专注力,String,专注力评估,专注力下降
memory,记忆力,String,记忆力评估,记忆力轻度下降
executiveFunction,执行功能,String,执行功能评估,执行功能稍差
processingSpeed,处理速度,String,信息处理速度,处理速度减慢
cognitiveFlexibility,认知灵活性,String,认知灵活性评估,认知灵活性下降
workingMemory,工作记忆,String,工作记忆评估,工作记忆稍差
verbalMemory,言语记忆,String,言语记忆评估,言语记忆正常
visualMemory,视觉记忆,String,视觉记忆评估,视觉记忆正常
MMSE_score,简易精神状态量表,Number,MMSE量表评分,26
MoCA_score,蒙特利尔认知评估,Number,MoCA量表评分,23
cognitiveImpairmentLevel,认知损害程度,String,认知损害程度评估,轻度认知损害
diabetesCognition,糖尿病认知影响,String,糖尿病对认知的影响,糖尿病相关轻度认知下降
personalityTraits,人格特征,String,人格特征评估,内向型人格
copingStyle,应对方式,String,应对方式类型,回避型应对
defenseMe chanisms,防御机制,String,主要防御机制,否认合理化
socialFunctioning,社会功能,String,社会功能评估,社会功能轻度受损
occupationalFunctioning,职业功能,String,职业功能评估,工作效率下降
interpersonalRelationships,人际关系,String,人际关系评估,人际关系一般
familyRelationships,家庭关系,String,家庭关系评估,家庭支持不足
maritialRelationship,婚姻关系,String,婚姻关系评估,婚姻关系紧张
parentalStress,养育压力,String,养育子女压力,中等养育压力
caregiverBurden,照护负担,String,照护他人负担,无明显照护负担
financialStress,经济压力,String,经济压力评估,经济压力较大
workStress,工作压力,String,工作压力评估,工作压力大
educationalAttainment,教育程度,String,教育背景,大学本科
healthLiteracy,健康素养,String,健康素养评估,健康素养中等
diabetesKnowledge,糖尿病知识,String,糖尿病相关知识水平,知识水平一般
treatmentMotivation,治疗动机,String,治疗动机评估,治疗动机中等
changeReadiness,改变准备度,String,行为改变准备度,准备阶段
selfEfficacy,自我效能感,String,自我效能感评估,自我效能感偏低
internalLocusOfControl,内控性,String,健康控制点评估,外控倾向
optimism,乐观程度,String,乐观程度评估,悲观倾向
hopefulness,希望感,String,希望感评估,希望感不足
resilience,复原力,String,心理复原力评估,复原力一般
emotionalRegulation,情绪调节,String,情绪调节能力,情绪调节能力差
stressTolerance,应激耐受,String,应激耐受能力,应激耐受能力差
problemSolvingSkills,问题解决技能,String,问题解决技能评估,问题解决技能一般
communicationSkills,沟通技能,String,沟通技能评估,沟通技能一般
assertiveness,自信表达,String,自信表达能力,缺乏自信表达
conflictResolution,冲突解决,String,冲突解决能力,冲突解决能力差
timeManagement,时间管理,String,时间管理能力,时间管理能力一般
goalSetting,目标设定,String,目标设定能力,目标设定能力差
decisionMaking,决策能力,String,决策能力评估,决策能力一般
adaptability,适应性,String,适应性评估,适应性较差
culturalFactors,文化因素,String,文化背景对心理的影响,传统文化影响
religiousBeliefs,宗教信仰,String,宗教信仰对心理的影响,无特殊宗教信仰
