Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,assessment_date,评估日期,date,,,,,Y,评估时间,诊断时点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,危险因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Risk_Factors,smoking_history,吸烟史,categorical,,Never,Former,Current,,,Y,从不/戒烟/现吸,主要危险因素
Risk_Factors,pack_years,吸烟包年,decimal,,0-200,,,N,吸烟量,暴露量化
Symptoms,dyspnea,呼吸困难,categorical,,None,mMRC_0,mMRC_1,mMRC_2,mMRC_3,mMRC_4,,,Y,无/mMRC 0-4级,症状评估
Symptoms,cough,咳嗽,categorical,,None,Occasional,Frequent,Persistent,,,Y,无/偶发/频繁/持续,临床表现
Symptoms,sputum,咳痰,categorical,,None,Mucoid,Purulent,,,N,无/黏液性/脓性,感染提示
Vital_Signs,oxygen_saturation,血氧饱和度,integer,%,0-100,2708-6,,Y,SpO2,氧合状态
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,RR,呼吸状态
PFT,fev1,FEV1,decimal,L,0-10,20150-9,,Y,第1秒用力呼气量,气流受限
PFT,fvc,FVC,decimal,L,0-10,19870-5,,Y,用力肺活量,肺容量
PFT,fev1_fvc_ratio,FEV1/FVC比值,decimal,%,0-100,19926-5,,Y,FEV1/FVC%,阻塞性通气功能障碍
PFT,fev1_predicted,FEV1占预计值%,decimal,%,0-200,20152-5,,Y,FEV1%pred,严重度分级
Imaging,chest_xray,胸片,string,,,,,Y,影像学表现,基本评估
Imaging,chest_ct,胸部CT,string,,,,,N,HRCT表现,详细评估
Labs,abg,动脉血气,string,,,,,N,pH/PaCO2/PaO2/HCO3,酸碱平衡
Labs,inflammatory_markers,炎症指标,string,,,,,N,CRP/WBC,急性加重
Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,疾病诊断,临床诊断
Diagnosis,severity,疾病严重度,categorical,,Mild,Moderate,Severe,Very_Severe,,,Y,轻度/中度/重度/极重度,GOLD分级
Treatment_Pharmacologic,bronchodilator,支气管扩张剂,categorical,,None,SABA,LABA,LAMA,LABA_LAMA,,,Y,无/短效β2/长效β2/长效抗胆碱/双支扩,吸入治疗
Treatment_Pharmacologic,ics,吸入糖皮质激素,categorical,,None,ICS,ICS_LABA,ICS_LABA_LAMA,,,N,无/ICS/ICS+LABA/三联,抗炎治疗
Treatment_Oxygen,oxygen_therapy,氧疗,categorical,,None,PRN,Continuous,LTOT,,,N,无/按需/持续/长期氧疗,低氧血症治疗
Treatment_Rehab,pulmonary_rehabilitation,肺康复,boolean,,,,,N,肺康复计划,功能改善
Exacerbation,acute_exacerbation,急性加重,categorical,,None,Mild,Moderate,Severe,,,Y,无/轻度/中度/重度,AECOPD
Exacerbation,exacerbation_frequency,年度加重次数,integer,,0-20,,,N,过去1年加重次数,预后因素
Outcome,disease_progression,疾病进展,categorical,,Stable,Improved,Worsened,,,Y,稳定/好转/恶化,疾病转归
Report,pulmonologist,呼吸科医师,string,,,,,Y,主管医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
