Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,诊断时间窗
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年高危
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,孕产妇高危
Basic_Info,body_weight,体重,decimal,kg,0-300,29463-7,,Y,当前体重,药物剂量

Presentation,dyspnea,呼吸困难,boolean,,,,,Y,气促,最常见症状73%
Presentation,chest_pain,胸痛,boolean,,,,,Y,胸膜性胸痛,梗死
Presentation,syncope,晕厥,boolean,,,,,Y,晕厥,大面积PE
Presentation,hemoptysis,咯血,boolean,,,,,N,咯血,肺梗死
Presentation,cough,咳嗽,boolean,,,,,N,咳嗽,伴随症状
Presentation,leg_pain_swelling,下肢疼痛肿胀,boolean,,,,,Y,DVT症状,血栓来源

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,<90提示大面积PE
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,舒张压,血流动力学
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,窦性心动过速常见
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,呼吸频率,气促
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,低氧血症
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,低热

Hemodynamic_Instability,shock,休克,boolean,,,,,Y,SBP<90或下降≥40 mmHg,高危PE
Hemodynamic_Instability,cardiac_arrest,心脏骤停,boolean,,,,,N,心停,极危重
Hemodynamic_Instability,persistent_hypotension,持续低血压,boolean,,,,,Y,需要升压药,血流动力学不稳定

Risk_Factors,recent_surgery,近期手术,boolean,,,,,Y,<4周手术,高危因素
Risk_Factors,trauma,创伤,boolean,,,,,N,近期创伤,制动
Risk_Factors,immobilization,制动,boolean,,,,,Y,长期卧床/>3天,静脉淤滞
Risk_Factors,long_travel,长途旅行,boolean,,,,,N,>4-6小时,经济舱综合征
Risk_Factors,prior_vte,既往VTE,boolean,,,,,Y,既往DVT/PE,复发高危
Risk_Factors,active_cancer,活动性肿瘤,boolean,,,,,Y,恶性肿瘤,高凝状态
Risk_Factors,pregnancy_postpartum,妊娠产褥期,boolean,,,,,Y,妊娠/产后,高凝
Risk_Factors,oral_contraceptives,口服避孕药,boolean,,,,,N,雌激素,凝血因子增加
Risk_Factors,hrt,激素替代治疗,boolean,,,,,N,HRT,静脉血栓风险
Risk_Factors,thrombophilia,易栓症,boolean,,,,,N,遗传性/获得性,复发性VTE
Risk_Factors,heart_failure,心力衰竭,boolean,,,,,N,CHF,静脉淤滞
Risk_Factors,obesity,肥胖,boolean,,,,,N,BMI≥30,危险因素
Risk_Factors,smoking,吸烟,boolean,,,,,N,吸烟史,内皮损伤

Wells_Score,wells_dvt_signs,DVT体征,boolean,,,,,Y,下肢肿胀/压痛,3分
Wells_Score,wells_alternative_less_likely,PE比其他诊断可能性大,boolean,,,,,Y,临床判断,3分
Wells_Score,wells_hr_gt_100,心率>100,boolean,,,,,Y,窦速,1.5分
Wells_Score,wells_immobilization_surgery,制动/手术,boolean,,,,,Y,近期制动/>4周手术,1.5分
Wells_Score,wells_prior_vte,既往DVT/PE,boolean,,,,,Y,VTE史,1.5分
Wells_Score,wells_hemoptysis,咯血,boolean,,,,,Y,咯血,1分
Wells_Score,wells_malignancy,恶性肿瘤,boolean,,,,,Y,活动性肿瘤/治疗中/<6月,1分
Wells_Score,wells_total_score,Wells总分,decimal,,0-12.5,,,Y,Wells评分,风险分层
Wells_Score,wells_probability,Wells概率,categorical,,Low,Moderate,High,,,Y,低<2/中2-6/高>6,临床概率

Geneva_Score,geneva_age_gt_65,年龄>65岁,boolean,,,,,N,老年,1分
Geneva_Score,geneva_prior_vte,既往DVT/PE,boolean,,,,,N,VTE史,3分
Geneva_Score,geneva_surgery_fracture,手术/骨折,boolean,,,,,N,近期<1月,2分
Geneva_Score,geneva_active_malignancy,活动性恶性肿瘤,boolean,,,,,N,肿瘤,2分
Geneva_Score,geneva_unilateral_leg_pain,单侧下肢痛,boolean,,,,,N,DVT,3分
Geneva_Score,geneva_hemoptysis,咯血,boolean,,,,,N,咯血,2分
Geneva_Score,geneva_hr_75_94,心率75-94,boolean,,,,,N,HR,3分
Geneva_Score,geneva_hr_ge_95,心率≥95,boolean,,,,,N,窦速,5分
Geneva_Score,geneva_dvt_signs,DVT体征,boolean,,,,,N,下肢肿胀压痛,4分
Geneva_Score,geneva_total_score,Geneva总分,integer,,0-26,,,N,修订Geneva评分,风险分层
Geneva_Score,geneva_probability,Geneva概率,categorical,,Low,Intermediate,High,,,N,低0-3/中4-10/高≥11,临床概率

D_Dimer,d_dimer,D-二聚体,decimal,mg/L,0-50,48065-7,,Y,D-Dimer,高敏感性排除PE
D_Dimer,d_dimer_cutoff,D-Dimer阈值,decimal,mg/L,,,,,Y,标准0.5/年龄调整(岁×10 μg/L),阴性排除
