字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
admissionDate,入院日期,Date,PE发生/确诊日期,2025-01-15
admissionTime,入院时间,String,发病/就诊时间,16:30
encounterType,就诊类型,String,"**建议值**: `急诊`, `门诊`, `住院期间发生`, `ICU`",急诊

clinicalPresentation.onset,临床表现.起病方式,String,"**建议值**: `突然起病(<1小时)`, `急性起病(数小时)`, `亚急性(数天)`, `慢性(数周-数月,慢性血栓栓塞性肺动脉高压)`",突然起病
clinicalPresentation.dyspnea,临床表现.呼吸困难,String,"**最常见症状(80%)**。<br>**建议值**: `无`, `轻度(活动时)`, `中度(轻微活动时)`, `重度(休息时)`,重度
clinicalPresentation.chestPain,临床表现.胸痛,String,"胸膜性胸痛(深呼吸/咳嗽加重)或心绞痛样胸痛。<br>**建议值**: `无`, `胸膜性胸痛`, `胸骨后压榨感`, `非特异性胸痛`",胸膜性胸痛
clinicalPresentation.cough,临床表现.咳嗽,String,"**建议值**: `无`, `干咳`, `咳痰`, `咯血(肺梗死)`",干咳
clinicalPresentation.hemoptysis,临床表现.咯血,String,"**建议值**: `无`, `痰中带血`, `少量咯血`, `大咯血(罕见)`<br>**咯血**: 提示肺梗死",痰中带血
clinicalPresentation.syncope,临床表现.晕厥,String,"**建议值**: `无`, `晕厥(提示血流动力学不稳定,大面积PE)`, `头晕/黑矇`",无
clinicalPresentation.palpitations,临床表现.心悸,String,"**建议值**: `无`, `有`,有
clinicalPresentation.anxiety,临床表现.焦虑,String,"濒死感。<br>**建议值**: `无`, `有`,有

clinicalPresentation.legSwelling,临床表现.下肢肿胀,String,"DVT体征。<br>**建议值**: `无`, `单侧下肢肿胀`, `双侧下肢肿胀`",单侧下肢肿胀
clinicalPresentation.legPain,临床表现.下肢疼痛,String,"DVT体征。<br>**建议值**: `无`, `小腿疼痛/压痛`, `大腿疼痛`",小腿疼痛

physicalExam.hemodynamicStatus,体格检查.血流动力学状态,String,"**建议值**: `稳定`, `不稳定(休克/持续低血压)`<br>**低血压**: 收缩压<90mmHg或下降≥40mmHg持续>15分钟",稳定
physicalExam.bloodPressure,体格检查.血压,String,"血压。<br>单位: mmHg",110/70
physicalExam.heartRate,体格检查.心率,Number,"心率。<br>单位: 次/分<br>**窦性心动过速**: 常见(>100)",115
physicalExam.respiratoryRate,体格检查.呼吸频率,Number,"呼吸频率。<br>单位: 次/分<br>**>20**: 呼吸急促",26
physicalExam.temperature,体格检查.体温,Number,"体温。<br>单位: ℃<br>**低热**: 常见",37.8
physicalExam.spo2,体格检查.SpO2,Number,"脉搏血氧饱和度(室内空气)。<br>单位: %<br>**<95%**: 低氧血症",92

