fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,肺功能代谢检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,PFM-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,糖尿病相关肺功能评估
chiefComplaint,主诉,String,患者主要呼吸症状主诉,活动后气短
presentIllness,现病史,String,当前呼吸症状详细病史,近半年活动耐力下降
pastHistory,既往史,String,既往呼吸系统疾病史,无哮喘慢阻肺史
smokingHistory,吸烟史,String,吸烟情况详细描述,吸烟20年每日1包已戒烟3年
occupationalExposure,职业暴露,String,职业呼吸系统有害物暴露,无明显职业暴露
allergyHistory,过敏史,String,呼吸系统过敏史,无明显过敏史
familyHistory,家族史,String,家族呼吸系统疾病史,父亲有慢阻肺
currentMedications,当前用药,String,目前使用的药物,二甲双胍ACEI类降压药
respiratorySymptoms,呼吸症状,String,呼吸系统症状评估,轻度活动性气短
cough,咳嗽,String,咳嗽症状,偶有干咳
sputum,咳痰,String,咳痰情况,无明显咳痰
dyspnea,呼吸困难,String,呼吸困难程度,活动后轻度气短
chestPain,胸痛,String,胸痛症状,无胸痛
wheeze,喘鸣,String,喘鸣症状,无喘鸣
hemoptysis,咯血,String,咯血症状,无咯血
nightSweats,盗汗,String,夜间盗汗,无盗汗
weightLoss,体重减轻,String,体重减轻情况,无明显体重减轻
vitalSigns,生命体征,String,血压心率体温呼吸频率,BP 135/85 HR 78 RR 18 T 36.7°C
generalAppearance,一般外观,String,整体外观评估,一般状况良好
chestInspection,胸部视诊,String,胸部外观检查,胸廓对称呼吸运动正常
chestPalpation,胸部触诊,String,胸部触诊检查,语颤对称无异常
chestPercussion,胸部叩诊,String,胸部叩诊检查,双肺叩诊清音
chestAuscultation,胸部听诊,String,胸部听诊检查,双肺呼吸音清晰无啰音
heartSounds,心音,String,心脏听诊,心率齐心音正常
peripheralEdema,周围水肿,String,周围水肿检查,无周围水肿
clubbing,杵状指,String,杵状指检查,无杵状指
cyanosis,发绀,String,发绀检查,无发绀
lungCapacity,肺活量,Number,肺活量VC(L),3.8
forcedVitalCapacity,用力肺活量,Number,用力肺活量FVC(L),3.5
forcedExpiratoryVolume1,一秒用力呼气量,Number,FEV1(L),2.8
FEV1_FVC_ratio,FEV1/FVC比值,Number,FEV1/FVC比值,0.80
forcedExpiratoryFlow25_75,25-75%用力呼气流量,Number,FEF25-75%(L/s),2.8
peakExpiratoryFlow,呼气峰流速,Number,PEF(L/s),6.5
maximalVoluntaryVentilation,最大自主通气量,Number,MVV(L/min),120
totalLungCapacity,肺总量,Number,TLC(L),5.8
functionalResidualCapacity,功能残气量,Number,FRC(L),2.5
residualVolume,残气量,Number,RV(L),1.2
inspiratoryCapacity,深吸气量,Number,IC(L),3.2
expiratoryReserveVolume,补呼气量,Number,ERV(L),1.1
inspiratoryReserveVolume,补吸气量,Number,IRV(L),2.8
tidalVolume,潮气量,Number,TV(L),0.5
specificAirwaysConductance,比气道传导率,Number,sGaw(kPa⁻¹·s⁻¹),1.2
airwaysResistance,气道阻力,Number,Raw(kPa·L⁻¹·s),0.25
lungCompliance,肺顺应性,Number,肺顺应性(L/kPa),1.8
spirometryInterpretation,肺量计解释,String,肺量计结果解释,肺功能轻度下降
obstructivePattern,阻塞性改变,String,阻塞性通气功能障碍,无明显阻塞性改变
restrictivePattern,限制性改变,String,限制性通气功能障碍,轻度限制性改变
mixedPattern,混合性改变,String,混合性通气功能障碍,无混合性改变
bronchodilatorResponse,支气管舒张剂反应,String,支气管舒张剂反应试验,反应阴性
reversibilityTest,可逆性试验,Number,FEV1改善百分比(%),5
methacholineChallenge,甲胆碱激发试验,String,气道高反应性试验,未进行
exerciseChallenge,运动激发试验,String,运动诱发支气管痉挛,未进行
impulseOscillometry,脉冲振荡法,String,IOS气道阻力检测,未进行
fractionalExhaledNitricOxide,呼出一氧化氮,Number,FeNO(ppb),18
carbonMonoxideDiffusion,一氧化碳弥散,Number,DLCO(mmol/min/kPa),8.5
DLCO_VA_ratio,DLCO/VA比值,Number,DLCO/VA比值,1.8
diffusionCapacityInterpretation,弥散功能解释,String,肺弥散功能评估,弥散功能轻度下降
gasExchangeEfficiency,气体交换效率,String,气体交换效率评估,气体交换效率轻度下降
alveolarVentilation,肺泡通气,String,肺泡通气功能,肺泡通气功能正常
ventilationPerfusionMatching,通气血流匹配,String,通气血流匹配评估,通气血流匹配基本正常
arterialBloodGasAnalysis,动脉血气分析,String,动脉血气分析,ABG分析
pH,血液pH值,Number,动脉血pH值,7.38
PaCO2,动脉二氧化碳分压,Number,PaCO2(mmHg),42
PaO2,动脉氧分压,Number,PaO2(mmHg),88
HCO3,碳酸氢根,Number,HCO3⁻(mmol/L),24
baseExcess,碱剩余,Number,BE(mmol/L),1.2
oxygenSaturation,血氧饱和度,Number,SaO2(%),96
alveolarArterialGradient,肺泡动脉氧分压差,Number,A-a梯度(mmHg),18
oxygenationIndex,氧合指数,Number,氧合指数,420
respiratoryQuotient,呼吸商,Number,呼吸商RQ,0.85
acidBaseBalance,酸碱平衡,String,酸碱平衡状态,酸碱平衡正常
gasExchangeAbnormality,气体交换异常,String,气体交换异常类型,轻度氧合功能下降
hypoxemia,低氧血症,String,低氧血症评估,无明显低氧血症
hypercapnia,高碳酸血症,String,高碳酸血症评估,无高碳酸血症
respiratoryAcidosis,呼吸性酸中毒,String,呼吸性酸中毒,无呼吸性酸中毒
respiratoryAlkalosis,呼吸性碱中毒,String,呼吸性碱中毒,无呼吸性碱中毒
sixMinuteWalkTest,六分钟步行试验,String,6MWT功能评估,6MWT评估
walkingDistance,步行距离,Number,6分钟步行距离(m),480
walkingOxygenDesaturation,步行氧饱和度下降,Number,步行时SpO2最低值(%),92
walkingHeartRateResponse,步行心率反应,Number,步行峰值心率(次/分),125
walkingSymptoms,步行症状,String,步行中症状,轻度气短
walkingRecovery,步行后恢复,String,步行后恢复情况,恢复正常
functionalCapacity,功能能力,String,整体功能能力评估,功能能力轻度下降
exerciseLimitation,运动受限,String,运动受限因素,轻度运动受限
cardiopulmonaryExerciseTest,心肺运动试验,String,CPET功能评估,心肺功能评估
peakOxygenUptake,峰值摄氧量,Number,峰值VO2(ml/kg/min),22.5
anaerobicThreshold,无氧阈值,Number,AT时VO2(ml/kg/min),16.8
ventilationBreathingReserve,通气储备,Number,通气储备(%),35
heartRateReserve,心率储备,Number,心率储备(%),28
oxygenPulse,氧脉搏,Number,O2脉搏(ml/beat),12.5
ventilationCO2Slope,通气二氧化碳斜率,Number,VE/VCO2斜率,28
exerciseOxygenDesaturation,运动氧饱和度下降,Number,运动时SpO2最低值(%),90
exerciseLimitingFactor,运动限制因素,String,运动受限主要因素,心肺功能限制
cardiopulmonaryInteraction,心肺相互作用,String,心肺相互作用评估,心肺相互作用正常
rightHeartFunction,右心功能,String,右心功能评估,右心功能正常
pulmonaryHypertension,肺动脉高压,String,肺动脉高压评估,无肺动脉高压
pulmonaryVascularDisease,肺血管疾病,String,肺血管疾病评估,无明显肺血管疾病
sleepDisorderedBreathing,睡眠呼吸障碍,String,睡眠呼吸障碍评估,睡眠呼吸障碍评估
sleepApneaScreening,睡眠呼吸暂停筛查,String,OSA筛查,OSA筛查
apneaHypopneaIndex,呼吸暂停低通气指数,Number,AHI(次/小时),8.5
oxygenDesaturationIndex,氧减饱和度指数,Number,ODI(次/小时),5.2
sleepEfficiency,睡眠效率,Number,睡眠效率(%),82
rapidEyeMovementSleep,快动眼睡眠,Number,REM睡眠比例(%),18
nonRapidEyeMovementSleep,非快动眼睡眠,Number,NREM睡眠比例(%),82
arousalIndex,觉醒指数,Number,觉醒指数(次/小时),12
snoring,打鼾,String,打鼾症状,轻度打鼾
daytimeSleepiness,日间嗜睡,String,日间嗜睡评估,无明显日间嗜睡
sleepQuality,睡眠质量,String,睡眠质量评估,睡眠质量一般
insomnia,失眠,String,失眠症状,轻度失眠
restlessnessLegSyndrome,不宁腿综合征,String,不宁腿综合征,无不宁腿综合征
periodicLimbMovement,周期性肢体运动,String,周期性肢体运动,无明显周期性肢体运动
inflammatoryMarkers,炎症标志物,String,呼吸系统炎症标志物,炎症标志物检测
CReactiveProtein,C反应蛋白,Number,血清CRP(mg/L),3.8
erythrocyteSedimentationRate,血沉,Number,ESR(mm/h),18
procalcitonin,降钙素原,Number,PCT(ng/ml),0.08
interleukin6,白介素6,Number,IL-6(pg/ml),4.5
