Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,baseline_date,基线检查日期,date,,,,,Y,首次发现结节时间,随访起点
Basic_Info,current_exam_date,本次检查日期,date,,,,,Y,当前CT时间,随访时间点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,风险评估
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,肺癌风险

Risk_Factors,smoking_status,吸烟状态,categorical,,,"Current,Former,Never",,,Y,吸烟史,最重要危险因素
Risk_Factors,pack_years,吸烟包年,decimal,,0-200,,,N,包年数,≥20高危
Risk_Factors,family_history_lung_ca,肺癌家族史,categorical,,,"Yes,No",,,N,一级亲属肺癌,遗传风险
Risk_Factors,copd,COPD,categorical,,,"Yes,No",,,N,慢阻肺,共病
Risk_Factors,pulmonary_fibrosis,肺纤维化,categorical,,,"Yes,No",,,N,肺纤维化,肺癌风险
Risk_Factors,occupational_exposure,职业暴露,categorical,,,"Asbestos,Radon,Silica,None,Other",,,N,职业致癌物,环境因素

Nodule_Detection,nodule_id,结节编号,string,,,,,N,结节唯一标识,追踪同一结节
Nodule_Detection,detection_method,发现方式,categorical,,,"Screening,Incidental,Symptomatic",,,N,检测途径,筛查vs偶发
Nodule_Detection,total_nodules,结节总数,integer,,0-100,,,N,肺结节数量,多发结节

Baseline_Characteristics,baseline_size,基线大小,decimal,mm,0-100,,,Y,首次测量直径,基线
Baseline_Characteristics,baseline_volume,基线体积,decimal,mm³,0-50000,,,N,首次体积,精准测量
Baseline_Characteristics,baseline_morphology,基线形态,categorical,,,"Solid,Part_Solid,Pure_GGO",,,Y,结节类型,风险分层
Baseline_Characteristics,baseline_location,结节部位,categorical,,,"RUL,RML,RLL,LUL,LLL",,,Y,解剖位置,手术定位
Baseline_Characteristics,baseline_lung_rads,基线Lung-RADS,categorical,,,"1,2,3,4A,4B,4X",,,N,基线分类,筛查评分

Current_Characteristics,current_size,当前大小,decimal,mm,0-100,,,Y,本次测量直径,随访大小
Current_Characteristics,current_volume,当前体积,decimal,mm³,0-50000,,,N,本次体积,体积评估
Current_Characteristics,current_morphology,当前形态,categorical,,,"Solid,Part_Solid,Pure_GGO",,,N,当前类型,形态变化
Current_Characteristics,current_density,当前密度,categorical,,,"Solid,Part_Solid_Solid_Dominant,Part_Solid_GGO_Dominant,Pure_GGO",,,N,密度分类,恶性风险
Current_Characteristics,solid_component,实性成分,decimal,mm,0-100,,,N,实性部分大小,PSN关键指标
Current_Characteristics,current_lung_rads,当前Lung-RADS,categorical,,,"1,2,3,4A,4B,4X",,,N,本次分类,风险再评估

Nodule_Features,shape,形状,categorical,,,"Round,Oval,Irregular,Lobulated",,,N,结节形状,规则vs不规则
Nodule_Features,margin,边缘,categorical,,,"Smooth,Lobulated,Spiculated,Irregular,Poorly_Defined",,,N,边界特征,恶性特征
Nodule_Features,spiculation,毛刺征,categorical,,,"Yes,No",,,N,毛刺,恶性提示
Nodule_Features,pleural_tag,胸膜牵拉,categorical,,,"Yes,No",,,N,胸膜凹陷,恶性征象
Nodule_Features,air_bronchogram,空气支气管征,categorical,,,"Yes,No",,,N,空气支气管,腺癌特征
Nodule_Features,vacuole_sign,空泡征,categorical,,,"Yes,No",,,N,泡征,腺癌
Nodule_Features,vascular_convergence,血管集束,categorical,,,"Yes,No",,,N,血管集束征,恶性
Nodule_Features,calcification,钙化,categorical,,,"None,Central,Diffuse,Laminated,Popcorn,Eccentric",,,N,钙化模式,良性钙化vs恶性
Nodule_Features,fat_density,脂肪密度,categorical,,,"Yes,No",,,N,脂肪密度,错构瘤

Growth_Assessment,size_change,大小改变,categorical,,,"Increased,Decreased,Stable",,,Y,结节变化,生长评估
Growth_Assessment,size_change_mm,大小变化量,decimal,mm,-50-50,,,N,直径改变量,绝对增长
Growth_Assessment,size_change_percentage,大小变化百分比,decimal,%,-100-500,,,N,相对增长率,%变化
Growth_Assessment,volume_change,体积改变,categorical,,,"Increased,Decreased,Stable",,,N,体积变化,3D评估
Growth_Assessment,volume_change_percentage,体积变化百分比,decimal,%,-100-1000,,,N,体积增长率,VDT计算
Growth_Assessment,vdt,体积倍增时间,integer,days,0-3650,,,N,VDT,<400天恶性
Growth_Assessment,growth_rate,生长速率,categorical,,,"Rapid,Intermediate,Slow,Stable,Regressing",,,N,生长速度分类,风险分层
Growth_Assessment,new_nodules,新发结节,categorical,,,"Yes,No",,,N,出现新结节,进展

Solid_Nodule_Eval,solid_nodule,实性结节,categorical,,,"Yes,No",,,N,是否实性结节,分类
Solid_Nodule_Eval,solid_size_category,实性结节大小分类,categorical,,,"Below_6mm,6_to_8mm,8_to_15mm,15_to_30mm,Above_30mm,NA",,,N,实性结节分层,Fleischner指南
Solid_Nodule_Eval,solid_high_risk_features,实性结节高危特征,categorical,,,"Yes,No,NA",,,N,高危特征,毛刺/上叶/大小

Subsolid_Nodule_Eval,subsolid_nodule,亚实性结节,categorical,,,"Yes,No",,,N,是否亚实性,GGO/PSN
Subsolid_Nodule_Eval,subsolid_type,亚实性类型,categorical,,,"Pure_GGO,Part_Solid,NA",,,N,GGO vs PSN,恶性风险不同
Subsolid_Nodule_Eval,ggo_size_category,GGO大小分类,categorical,,,"Below_6mm,6_to_30mm,Above_30mm,NA",,,N,磨玻璃分层,Fleischner
Subsolid_Nodule_Eval,psn_solid_component_category,PSN实性成分分类,categorical,,,"Below_6mm,6mm_or_Greater,NA",,,N,PSN实性部分,≥6mm高危
Subsolid_Nodule_Eval,developing_solid_component,出现实性成分,categorical,,,"Yes,No,NA",,,N,GGO实变,进展征象

PET_CT,pet_ct_performed,PET-CT检查,categorical,,,"Yes,No",,,N,是否PET-CT,进一步评估
PET_CT,suv_max,SUV最大值,decimal,,0-50,,,N,SUVmax,>2.5恶性倾向
PET_CT,pet_avidity,FDG摄取,categorical,,,"High,Moderate,Low,None,NA",,,N,代谢活性,恶性提示
PET_CT,pet_interpretation,PET结果,categorical,,,"Benign,Indeterminate,Malignant,NA",,,N,PET判读,诊断

Biopsy,biopsy_performed,活检,categorical,,,"Yes,No,Planned",,,N,是否活检,病理诊断
Biopsy,biopsy_method,活检方法,categorical,,,"CT_Guided,Bronchoscopy,EBUS,Surgical,NA",,,N,活检途径,取材方式
Biopsy,biopsy_date,活检日期,date,,,,,N,活检时间,诊断时间点
Biopsy,pathology_result,病理结果,categorical,,,"Benign,Atypical,Adenocarcinoma,Squamous,Small_Cell,Other_Malignant,Inadequate,Pending,NA",,,N,组织学诊断,金标准
Biopsy,molecular_testing,分子检测,categorical,,,"EGFR,ALK,ROS1,PD_L1,Comprehensive,None,NA",,,N,基因检测,靶向治疗

Fleischner_Guidelines,fleischner_category,Fleischner分类,categorical,,,"Very_Low_Risk,Low_Risk,Intermediate_Risk,High_Risk",,,N,Fleischner风险,随访指南
Fleischner_Guidelines,fleischner_recommendation,Fleischner建议,categorical,,,"No_Follow_Up,Optional_12_Months,6_to_12_Months,3_to_6_Months,3_Months,PET_or_Biopsy",,,N,随访建议,标准化管理

Risk_Models,brock_model_score,Brock模型评分,decimal,%,0-100,,,N,Brock肺癌概率,预测模型
Risk_Models,mayo_clinic_score,Mayo Clinic评分,decimal,%,0-100,,,N,Mayo恶性概率,经典模型
Risk_Models,lung_rads_risk,Lung-RADS风险,categorical,,,"Very_Low,Low,Intermediate,High",,,N,Lung-RADS风险等级,筛查分层
Risk_Models,malignancy_probability,恶性概率,categorical,,,"Very_Low_Below_5,Low_5_to_15,Intermediate_15_to_65,High_Above_65",,,N,恶性可能性分层,综合评估

Clinical_Context,symptoms,症状,categorical,,,"Asymptomatic,Cough,Hemoptysis,Chest_Pain,Dyspnea,Weight_Loss,Other",,,N,临床症状,症状性vs无症状
Clinical_Context,prior_malignancy,既往恶性肿瘤,categorical,,,"Yes,No",,,N,其他肿瘤史,转移风险
Clinical_Context,cancer_type,肿瘤类型,categorical,,,"Lung,Breast,Colon,Renal,Melanoma,Other,NA",,,N,既往癌种,转移特点
Clinical_Context,immunosuppression,免疫抑制,categorical,,,"Yes,No",,,N,免疫抑制状态,感染性结节

Management_Decision,management_plan,管理决策,categorical,,,"Surveillance,Short_Interval_CT,PET_CT,Biopsy,Surgical_Resection,Ablation,Observation",,,Y,处理方案,临床决策
Management_Decision,surveillance_interval,监测间隔,categorical,,,"3_Months,6_Months,12_Months,24_Months,No_Further_Follow_Up,NA",,,N,随访时间,个体化间隔
Management_Decision,intervention_indication,干预指征,categorical,,,"Growth,High_Risk_Features,Patient_Preference,Multidisciplinary_Decision,NA",,,N,干预原因,治疗指征

Surgical_Management,surgery_performed,手术治疗,categorical,,,"Yes,No,Planned",,,N,是否手术,根治性治疗
Surgical_Management,surgery_type,手术方式,categorical,,,"Wedge_Resection,Segmentectomy,Lobectomy,Pneumonectomy,VATS,Robotic,NA",,,N,手术类型,微创vs开放
Surgical_Management,surgery_date,手术日期,date,,,,,N,手术时间,治疗时间点
Surgical_Management,final_pathology,最终病理,categorical,,,"Benign,AIS,MIA,Invasive_Adenocarcinoma,Squamous,Small_Cell,Carcinoid,Other,NA",,,N,术后病理,最终诊断
Surgical_Management,pathologic_stage,病理分期,categorical,,,"IA1,IA2,IA3,IB,IIA,IIB,IIIA,IIIB,IIIC,IV,NA",,,N,pTNM分期,预后

Non_Surgical_Treatment,ablation,消融治疗,categorical,,,"Yes,No",,,N,射频/冷冻消融,局部治疗
Non_Surgical_Treatment,sbrt,立体定向放疗,categorical,,,"Yes,No",,,N,SBRT,不能手术
Non_Surgical_Treatment,systemic_therapy,全身治疗,categorical,,,"Chemotherapy,Targeted_Therapy,Immunotherapy,None",,,N,药物治疗,晚期肺癌

Multidisciplinary,mdt_discussion,多学科讨论,categorical,,,"Yes,No",,,N,MDT会诊,复杂病例
Multidisciplinary,mdt_recommendation,MDT建议,string,,,,,N,多学科意见,团队决策
Multidisciplinary,radiologist_confidence,放射科信心度,categorical,,,"High,Moderate,Low",,,N,诊断把握度,影像判读

Patient_Factors,patient_preference,患者意愿,categorical,,,"Surveillance,Intervention,Undecided",,,N,患者选择,知情同意
Patient_Factors,comorbidities,合并症,categorical,,,"None,Mild,Moderate,Severe",,,N,共病负担,手术风险
Patient_Factors,performance_status,体能状态,categorical,,,"ECOG_0,ECOG_1,ECOG_2,ECOG_3,ECOG_4",,,N,ECOG评分,治疗耐受

Outcome,final_diagnosis,最终诊断,categorical,,,"Benign,Premalignant,Malignant,Unknown",,,N,确诊结果,诊断结论
Outcome,benign_etiology,良性病因,categorical,,,"Granuloma,Hamartoma,Infection,Inflammation,Other,NA",,,N,良性类型,具体病因
Outcome,malignant_histology,恶性组织学,categorical,,,"Adenocarcinoma,Squamous,Small_Cell,Large_Cell,Carcinoid,Metastasis,Other,NA",,,N,恶性病理,肿瘤类型
Outcome,time_to_diagnosis,诊断时间,integer,months,0-120,,,N,从发现到确诊月数,诊断延迟
Outcome,lost_to_follow_up,失访,categorical,,,"Yes,No",,,N,是否失访,依从性

Quality_Metrics,appropriate_follow_up,随访恰当性,categorical,,,"Yes,No",,,N,符合指南,质控
Quality_Metrics,guideline_adherence,指南依从,categorical,,,"Fleischner,Lung_RADS,NCCN,Institutional,Non_Adherent",,,N,遵循指南,标准化
Quality_Metrics,documentation_completeness,记录完整性,categorical,,,"Complete,Incomplete",,,N,文档完整,质量指标
