字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行生殖内分泌代谢检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行生殖内分泌代谢检查的临床指征。<br>**建议值**: `月经失调`, `不孕症`, `多囊卵巢综合征`, `男性性腺功能减退`, `代谢综合征合并生殖问题`",多囊卵巢综合征
patientSex,患者性别,String,"患者性别。<br>**建议值**: `男`, `女`",女
patientAge,患者年龄,Number,"患者年龄。<br>单位: 岁",28
reproductiveHistory.menarche,生殖史.初潮,Number,"初潮年龄。<br>单位: 岁<br>**正常范围**: 10-16岁",13
reproductiveHistory.menstrualCycleLength,生殖史.月经周期长度,Number,"月经周期长度。<br>单位: 天<br>**正常**: 21-35天",45
reproductiveHistory.menstrualDuration,生殖史.月经持续时间,Number,"月经持续天数。<br>单位: 天<br>**正常**: 3-7天",6
reproductiveHistory.menstrualVolume,生殖史.月经量,String,"月经量。<br>**建议值**: `过少`, `正常`, `过多`",过少
reproductiveHistory.menstrualPattern,生殖史.月经规律性,String,"月经规律性。<br>**建议值**: `规律`, `不规律`, `闭经`",不规律
reproductiveHistory.lastMenstrualPeriod,生殖史.末次月经,String,"末次月经日期",2025-07-20
reproductiveHistory.amenorrheaType,生殖史.闭经类型,String,"闭经类型（如适用）。<br>**建议值**: `原发性`, `继发性`",继发性
reproductiveHistory.amenorrheaDuration,生殖史.闭经时长,Number,"闭经持续时间。<br>单位: 月",3
reproductiveHistory.gravida,生殖史.妊娠次数,Number,"妊娠次数",1
reproductiveHistory.para,生殖史.分娩次数,Number,"分娩次数",0
reproductiveHistory.abortions,生殖史.流产次数,Number,"流产次数",1
reproductiveHistory.infertilityDuration,生殖史.不孕时长,Number,"不孕症病程。<br>单位: 年",2
reproductiveHistory.contraceptiveHistory,生殖史.避孕史,String,"避孕方法使用史",既往口服避孕药2年
maleReproductiveHistory.erectileDysfunction,男性生殖史.勃起功能障碍,String,"勃起功能障碍（男性）。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",不适用
maleReproductiveHistory.libido,男性生殖史.性欲,String,"性欲变化（男性）。<br>**建议值**: `正常`, `减退`, `消失`",不适用
maleReproductiveHistory.ejaculatoryDysfunction,男性生殖史.射精功能障碍,String,"射精功能障碍（男性）。<br>**建议值**: `无`, `早泄`, `延迟射精`, `不射精`",不适用
maleReproductiveHistory.gynecomastia,男性生殖史.男性乳房发育,String,"男性乳房发育（男性）。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",不适用
physicalExamination.bmi,体格检查.体质指数,Number,"体质指数。<br>单位: kg/m²",28.5
physicalExamination.waistCircumference,体格检查.腰围,Number,"腰围。<br>单位: cm<br>**女性风险**: ≥80cm",95
physicalExamination.waistHipRatio,体格检查.腰臀比,Number,"腰臀比。<br>**女性风险**: ≥0.85",0.88
physicalExamination.bloodPressure.systolic,体格检查.血压.收缩压,Number,"收缩压。<br>单位: mmHg",138
physicalExamination.bloodPressure.diastolic,体格检查.血压.舒张压,Number,"舒张压。<br>单位: mmHg",88
physicalExamination.hirsutism.ferrmanGallwayScore,体格检查.多毛症.Ferriman-Gallway评分,Number,"F-G评分。<br>**异常**: ≥8分",12
physicalExamination.hirsutism.distribution,体格检查.多毛症.分布,String,"多毛分布部位",面部、胸部、腹部
physicalExamination.acne.severity,体格检查.痤疮.严重程度,String,"痤疮严重程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
physicalExamination.acne.distribution,体格检查.痤疮.分布,String,"痤疮分布",面部、背部
physicalExamination.alopecia.pattern,体格检查.脱发.模式,String,"脱发模式。<br>**建议值**: `无`, `雄激素性`, `其他`",雄激素性
physicalExamination.alopecia.severity,体格检查.脱发.严重程度,String,"脱发严重程度。<br>**建议值**: `轻度`, `中度`, `重度`",轻度
physicalExamination.acanthosisNigricans,体格检查.黑棘皮病,String,"黑棘皮病。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
physicalExamination.breastDevelopment,体格检查.乳房发育,String,"乳房发育情况（女性）",Tanner IV期
physicalExamination.galactorrhea,体格检查.溢乳,String,"溢乳（女性）。<br>**建议值**: `无`, `有`",无
physicalExamination.thyroidEnlargement,体格检查.甲状腺肿大,String,"甲状腺肿大。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
physicalExamination.maleGenitalia.penisSize,体格检查.男性生殖器.阴茎大小,String,"阴茎大小（男性）。<br>**建议值**: `正常`, `偏小`, `微阴茎`",不适用
physicalExamination.maleGenitalia.testesSize.left,体格检查.男性生殖器.睾丸大小.左侧,Number,"左侧睾丸体积（男性）。<br>单位: mL<br>**正常**: >15mL",不适用
physicalExamination.maleGenitalia.testesSize.right,体格检查.男性生殖器.睾丸大小.右侧,Number,"右侧睾丸体积（男性）。<br>单位: mL<br>**正常**: >15mL",不适用
physicalExamination.maleGenitalia.cryptorchidism,体格检查.男性生殖器.隐睾,String,"隐睾史（男性）。<br>**建议值**: `无`, `单侧`, `双侧`",不适用
physicalExamination.femaleGenitalia.clitoromegaly,体格检查.女性生殖器.阴蒂肥大,String,"阴蒂肥大（女性）。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
physicalExamination.femaleGenitalia.virilization,体格检查.女性生殖器.男性化,String,"外生殖器男性化（女性）。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
hormonalAssessment.reproductive.fsh,激素评估.生殖激素.卵泡刺激素,Number,"FSH。<br>单位: IU/L<br>**卵泡期**: 3.5-12.5，**排卵期**: 4.7-21.5，**黄体期**: 1.7-7.7，**绝经后**: 25.8-134.8",8.5
hormonalAssessment.reproductive.lh,激素评估.生殖激素.黄体生成素,Number,"LH。<br>单位: IU/L<br>**卵泡期**: 2.4-12.6，**排卵期**: 14.0-95.6，**黄体期**: 1.0-11.4",15.8
hormonalAssessment.reproductive.lhFshRatio,激素评估.生殖激素.LH FSH比值,Number,"LH/FSH比值。<br>**PCOS提示**: >2",1.86
