Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,12-80,,,Y,患者年龄,青年起病
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,男性稍多/起病早

Onset,age_of_onset,发病年龄,integer,years,10-70,,,Y,起病年龄,多15-35岁
Onset,disease_duration,病程,integer,months,0-600,,,Y,病程月数,慢性病程
Onset,onset_pattern,起病方式,categorical,,"Acute,Insidious",,,Y,急性/隐匿,预后相关
Onset,prodromal_duration,前驱期时长,integer,months,0-120,,,N,前驱症状月数,早期干预窗口

Diagnosis,schizophrenia_subtype,精分亚型,categorical,,"Paranoid,Disorganized,Catatonic,Undifferentiated,Residual",,,N,偏执型/瓦解型/紧张型/未分化型/残留型,DSM-IV分型(已弃用)
Diagnosis,first_episode,首次发作,boolean,,,,,Y,首发精神病,FEP
Diagnosis,diagnostic_certainty,诊断确定性,categorical,,"Definite,Probable,Provisional",,,Y,确定/很可能/临时,诊断信心

Positive_Symptoms,delusions,妄想,boolean,,,,,Y,固定错误信念,阳性症状核心
Positive_Symptoms,delusion_type,妄想类型,categorical,,"NA,Persecutory,Referential,Grandiose,Somatic,Religious,Bizarre",,,N,被害/关系/夸大/躯体/宗教/怪诞,妄想分类
Positive_Symptoms,hallucinations,幻觉,boolean,,,,,Y,知觉体验异常,阳性症状核心
Positive_Symptoms,auditory_hallucinations,幻听,boolean,,,,,N,听幻觉,最常见幻觉
Positive_Symptoms,commentary_voices,评论性幻听,boolean,,,,,N,评论行为的声音,Schneider一级症状
Positive_Symptoms,command_hallucinations,命令性幻听,boolean,,,,,N,命令性声音,暴力风险
Positive_Symptoms,visual_hallucinations,幻视,boolean,,,,,N,视幻觉,较少见
Positive_Symptoms,thought_broadcasting,思维播散,boolean,,,,,N,想法被他人知道,思维障碍
Positive_Symptoms,thought_insertion,思维插入,boolean,,,,,N,他人思想强加,思维障碍
Positive_Symptoms,thought_withdrawal,思维被夺,boolean,,,,,N,思想被抽走,思维障碍
Positive_Symptoms,disorganized_speech,言语紊乱,boolean,,,,,Y,思维形式障碍,阳性症状
Positive_Symptoms,disorganized_behavior,行为紊乱,boolean,,,,,Y,怪异行为,阳性症状
Positive_Symptoms,catatonia,紧张症,boolean,,,,,N,运动异常,紧张型

Negative_Symptoms,negative_symptoms,阴性症状,boolean,,,,,Y,阴性症状存在,功能预后差
Negative_Symptoms,affective_flattening,情感平淡,boolean,,,,,N,表情贫乏,阴性症状
Negative_Symptoms,alogia,言语贫乏,boolean,,,,,N,言语量减少,阴性症状
Negative_Symptoms,avolition,意志缺乏,boolean,,,,,N,缺乏动机,阴性症状
Negative_Symptoms,anhedonia,快感缺乏,boolean,,,,,N,兴趣丧失,阴性症状
Negative_Symptoms,social_withdrawal,社交退缩,boolean,,,,,N,孤僻,阴性症状

Cognitive_Symptoms,cognitive_impairment,认知障碍,boolean,,,,,N,认知功能损害,功能障碍核心
