Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,admission_date,入院日期,date,,,,,Y,入院时间,病程记录
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年高危
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征
Basic_Info,body_weight,体重,decimal,kg,0-300,29463-7,,Y,当前体重,药物剂量计算

Diagnosis,sepsis,脓毒症,boolean,,,,,Y,感染+SOFA≥2,Sepsis-3定义
Diagnosis,septic_shock,感染性休克,boolean,,,,,Y,脓毒症+血管加压药+乳酸>2,死亡率>40%
Diagnosis,infection_site,感染部位,categorical,,Lung,Abdomen,Urinary_Tract,Skin_Soft_Tissue,Bloodstream,CNS,Multiple,Unknown,,,Y,肺/腹腔/泌尿道/皮肤软组织/血流/中枢神经系统/多部位/不明,感染源控制
Diagnosis,suspected_pathogen,疑似病原体,categorical,,Gram_Positive,Gram_Negative,Fungal,Viral,Polymicrobial,Unknown,,,Y,G+/G-/真菌/病毒/混合/不明,经验性抗生素选择
Diagnosis,onset_location,发病地点,categorical,,Community,Healthcare_Associated,Hospital_Acquired,,,Y,社区获得性/医疗相关/医院获得性,耐药风险

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,休克MAP<65
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,舒张压,灌注压
Vital_Signs,map,平均动脉压,decimal,mmHg,0-200,8478-0,,Y,MAP,目标≥65 mmHg
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,心动过速>100
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,呼吸频率,≥22提示器官功能障碍
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,发热/低体温
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,低氧血症<90%

SOFA,sofa_total_score,SOFA总分,integer,,0-24,,,Y,序贯器官衰竭评分,基线增加≥2分定义脓毒症
SOFA,sofa_respiration,SOFA呼吸,integer,,0-4,,,Y,PaO2/FiO2,<400=1,<300=2,<200且MV=3,<100且MV=4
SOFA,sofa_coagulation,SOFA凝血,integer,,0-4,,,Y,血小板,<150=1,<100=2,<50=3,<20=4×10⁹/L
SOFA,sofa_liver,SOFA肝脏,integer,,0-4,,,Y,胆红素,>20=1,>33=2,>102=3,>204=4 μmol/L
SOFA,sofa_cardiovascular,SOFA循环,integer,,0-4,,,Y,MAP/血管活性药,MAP<70=1,DA≤5或Dob=2,DA>5或E≤0.1或NE≤0.1=3,DA>15或E>0.1或NE>0.1=4
SOFA,sofa_cns,SOFA中枢神经,integer,,0-4,,,Y,GCS,13-14=1,10-12=2,6-9=3,<6=4
SOFA,sofa_renal,SOFA肾脏,integer,,0-4,,,Y,肌酐/尿量,Cr 110-170=1,171-299=2,300-440或UO<500mL/d=3,>440或UO<200mL/d=4 μmol/L

qSOFA,qsofa_score,qSOFA评分,integer,,0-3,,,Y,快速SOFA,≥2分高风险
qSOFA,qsofa_rr,呼吸频率≥22,boolean,,,,,Y,呼吸急促,器官功能障碍
qSOFA,qsofa_altered_mentation,意识改变,boolean,,,,,Y,GCS<15,脑灌注不足
qSOFA,qsofa_sbp,收缩压≤100,boolean,,,,,Y,低血压,循环不稳定

GCS,gcs_total,GCS总分,integer,,3-15,9269-2,,Y,格拉斯哥昏迷评分,意识状态
GCS,gcs_eye,睁眼反应,integer,,1-4,9267-6,,Y,E,自主4/语言3/疼痛2/无1
GCS,gcs_verbal,语言反应,integer,,1-5,9270-0,,Y,V,定向5/混乱4/单词3/发音2/无1
GCS,gcs_motor,运动反应,integer,,1-6,9268-4,,Y,M,遵嘱6/定位5/躲避4/屈曲3/伸展2/无1

Labs_CBC,wbc,白细胞计数,decimal,×10⁹/L,0-100,6690-2,,Y,WBC,<4或>12提示SIRS
Labs_CBC,neutrophil_percent,中性粒细胞百分比,decimal,%,0-100,770-8,,Y,N%,左移>10%
Labs_CBC,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,Y,Hb,贫血<90
Labs_CBC,platelet,血小板,decimal,×10⁹/L,0-1000,777-3,,Y,PLT,<100提示DIC

Labs_Infection,procalcitonin,降钙素原,decimal,ng/mL,0-200,33959-8,,Y,PCT,>0.5细菌感染,>2严重感染
Labs_Infection,crp,C反应蛋白,decimal,mg/L,0-500,1988-5,,N,CRP,炎症标志物
Labs_Infection,lactate,乳酸,decimal,mmol/L,0-20,2524-7,,Y,Lac,>2提示组织低灌注,>4危重
Labs_Infection,lactate_clearance,乳酸清除率,decimal,%,0-100,,,N,6h乳酸清除,>10%预后好

Labs_Organ,creatinine,肌酐,decimal,μmol/L,0-1500,2160-0,,Y,Cr,AKI标志
Labs_Organ,bun,尿素氮,decimal,mmol/L,0-50,3094-0,,Y,BUN,肾功能
Labs_Organ,total_bilirubin,总胆红素,decimal,μmol/L,0-500,1975-2,,Y,TBil,肝功能
Labs_Organ,alt,丙氨酸转氨酶,decimal,U/L,0-3000,1742-6,,Y,ALT,肝损伤
Labs_Organ,ast,天冬氨酸转氨酶,decimal,U/L,0-3000,1920-8,,Y,AST,肝损伤

Labs_Coagulation,pt,凝血酶原时间,decimal,s,0-100,5902-2,,Y,PT,凝血功能
Labs_Coagulation,inr,国际标准化比值,decimal,,0-10,6301-6,,Y,INR,>1.5凝血异常
