Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,就诊时间,登记
Basic_Info,age,年龄,integer,years,10-100,,,Y,患者年龄,高危年龄段
Basic_Info,gender,性别,categorical,,Male,Female,Transgender,,,Y,性别,流行病学

Sexual_History,sexually_active,性活跃,boolean,,,,,Y,性行为史,STI风险
Sexual_History,age_of_sexual_debut,初次性行为年龄,integer,years,10-50,,,N,性生活开始年龄,早期开始风险高
Sexual_History,number_of_partners_lifetime,终生性伴数,integer,,0-1000,,,N,累积性伴数量,风险因素
Sexual_History,number_of_partners_past_year,过去1年性伴数,integer,,0-100,,,Y,近期性伴数,当前风险
Sexual_History,new_partner_past_3months,近3月新性伴,boolean,,,,,Y,新性伴,高危
Sexual_History,condom_use,安全套使用,categorical,,Never,Sometimes,Usually,Always,,,Y,从不/偶尔/通常/总是,保护措施
Sexual_History,sexual_orientation,性取向,categorical,,Heterosexual,Homosexual,Bisexual,,,N,异性恋/同性恋/双性恋,流行病学
Sexual_History,sex_work,性工作,boolean,,,,,N,性工作者,高危人群
Sexual_History,partner_with_sti,性伴有STI,boolean,,,,,Y,性伴感染,接触史

Symptoms,asymptomatic,无症状,boolean,,,,,Y,无症状,筛查发现
Symptoms,urethral_discharge,尿道分泌物,boolean,,,,,Y,尿道溢液,淋病/衣原体
Symptoms,discharge_character,分泌物性状,categorical,,None,Clear_Mucoid,Purulent,,,N,无/清亮黏液/脓性,淋病脓性
Symptoms,vaginal_discharge,阴道分泌物,boolean,,,,,Y,阴道分泌物,阴道炎/宫颈炎
Symptoms,dysuria,排尿困难,boolean,,,,,Y,尿痛,尿道炎
Symptoms,genital_ulcer,生殖器溃疡,boolean,,,,,Y,溃疡,梅毒/疱疹/软下疳
Symptoms,ulcer_painful,溃疡疼痛,boolean,,,,,N,疼痛性,疱疹疼痛/梅毒无痛
Symptoms,genital_warts,生殖器疣,boolean,,,,,Y,尖锐湿疣,HPV
Symptoms,inguinal_lymphadenopathy,腹股沟淋巴结肿大,boolean,,,,,Y,淋巴结肿大,梅毒/软下疳/LGV
Symptoms,pelvic_pain,盆腔痛,boolean,,,,,Y,下腹痛,PID
Symptoms,dyspareunia,性交痛,boolean,,,,,N,性交疼痛,PID/阴道炎
Symptoms,rectal_symptoms,直肠症状,boolean,,,,,N,肛周痛/分泌物/便血,直肠淋病/衣原体/疱疹
Symptoms,pharyngitis,咽炎,boolean,,,,,N,咽喉痛,咽部淋病

Physical_Exam,genital_exam,生殖器检查,boolean,,,,,Y,外生殖器检查,直接观察
Physical_Exam,urethral_discharge_visible,可见尿道分泌物,boolean,,,,,N,挤压尿道,淋病
Physical_Exam,ulcer_location,溃疡部位,categorical,,None,Penis,Vulva,Vagina,Cervix,Anus,Oral,,,N,无/阴茎/外阴/阴道/宫颈/肛门/口腔,部位
Physical_Exam,ulcer_number,溃疡数目,categorical,,None,Single,Multiple,,,N,无/单个/多个,梅毒通常单个
Physical_Exam,ulcer_induration,溃疡硬结,boolean,,,,,N,硬下疳,梅毒
Physical_Exam,wart_location,疣体部位,categorical,,None,Penis,Vulva,Perianal,,,N,无/阴茎/外阴/肛周,HPV
Physical_Exam,cervicitis,宫颈炎,boolean,,,,,N,宫颈充血/脓性分泌物,衣原体/淋病
Physical_Exam,adnexal_tenderness,附件压痛,boolean,,,,,N,附件区触痛,PID
Physical_Exam,cervical_motion_tenderness,宫颈举痛,boolean,,,,,N,宫颈摇摆痛,PID

Gonorrhea,gonorrhea_test,淋病检测,categorical,,Not_Tested,Negative,Positive,,,Y,淋球菌检测,诊断
Gonorrhea,gonorrhea_naat,淋病NAAT,categorical,,Not_Done,Negative,Positive,,,Y,核酸扩增,首选检测
Gonorrhea,gonorrhea_culture,淋病培养,categorical,,Not_Done,Negative,Positive,,,N,培养,药敏
Gonorrhea,gonorrhea_site,淋病部位,categorical,,None,Urogenital,Rectal,Pharyngeal,Disseminated,,,N,无/泌尿生殖/直肠/咽部/播散性,感染部位
Gonorrhea,disseminated_gonorrhea,播散性淋病,boolean,,,,,N,DGI,关节炎/皮疹

Chlamydia,chlamydia_test,衣原体检测,categorical,,Not_Tested,Negative,Positive,,,Y,沙眼衣原体,诊断
Chlamydia,chlamydia_naat,衣原体NAAT,categorical,,Not_Done,Negative,Positive,,,Y,NAAT,首选检测
Chlamydia,lgv,淋巴肉芽肿,boolean,,,,,N,LGV,L血清型
Chlamydia,lgv_serology,LGV血清分型,categorical,,Not_Done,Negative,L1,L2,L3,,,N,L1/L2/L3血清型,确诊

Syphilis,syphilis_test,梅毒检测,boolean,,,,,Y,梅毒螺旋体,诊断
Syphilis,syphilis_stage,梅毒分期,categorical,,None,Primary,Secondary,Early_Latent,Late_Latent,Tertiary,,,Y,无/一期/二期/早期潜伏/晚期潜伏/三期,临床分期
Syphilis,rpr_titer,RPR滴度,categorical,,Non_Reactive,1:1,1:2,1:4,1:8,1:16,1:32,1:64,1:128,1:256,,,Y,非特异性抗体,筛查+疗效
Syphilis,vdrl_titer,VDRL滴度,categorical,,Non_Reactive,1:1,1:2,1:4,1:8,1:16,1:32,1:64,1:128,,,N,VDRL,CSF检测
Syphilis,tppa,TPPA,categorical,,Not_Done,Negative,Positive,,,Y,梅毒螺旋体抗体,确证
Syphilis,fta_abs,FTA-ABS,categorical,,Not_Done,Negative,Positive,,,N,荧光抗体,确证
Syphilis,neurosyphilis,神经梅毒,boolean,,,,,N,中枢神经系统,三期梅毒
Syphilis,csf_vdrl,脑脊液VDRL,categorical,,Not_Done,Negative,Positive,,,N,CSF VDRL,神经梅毒

HSV,hsv_test,疱疹病毒检测,categorical,,Not_Tested,Negative,HSV1,HSV2,,,Y,单纯疱疹病毒,诊断
HSV,hsv_naat,HSV核酸检测,categorical,,Not_Done,Negative,Positive,,,N,PCR,首选
HSV,hsv_culture,HSV培养,categorical,,Not_Done,Negative,Positive,,,N,病毒培养,敏感性低
HSV,hsv_serology,HSV血清学,categorical,,Not_Done,Negative,HSV1_IgG,HSV2_IgG,Both,,,N,型特异性IgG,既往感染
HSV,initial_episode,首次发作,boolean,,,,,N,初次感染,严重
HSV,recurrent_hsv,复发性HSV,boolean,,,,,N,复发,频率

HPV,hpv_test,HPV检测,categorical,,Not_Tested,Negative,Positive,,,Y,人乳头瘤病毒,诊断
HPV,hpv_high_risk,高危型HPV,categorical,,Not_Done,Negative,Positive,,,Y,HR-HPV,宫颈癌风险
HPV,hpv_genotyping,HPV基因分型,categorical,,Not_Done,HPV16,HPV18,Other_HR,LR,,,N,16/18/其他高危/低危,癌症风险
HPV,cervical_dysplasia,宫颈上皮内瘤变,categorical,,None,CIN1,CIN2,CIN3,,,N,无/CIN1/CIN2/CIN3,癌前病变
HPV,pap_smear,宫颈细胞学,categorical,,Not_Done,Normal,ASCUS,LSIL,HSIL,,,N,正常/ASCUS/LSIL/HSIL,筛查

Trichomonas,trichomonas_test,滴虫检测,categorical,,Not_Tested,Negative,Positive,,,Y,阴道毛滴虫,诊断
Trichomonas,wet_mount,湿片检查,categorical,,Not_Done,Negative,Positive,,,N,镜检,即时诊断
Trichomonas,trichomonas_naat,滴虫NAAT,categorical,,Not_Done,Negative,Positive,,,N,核酸检测,更敏感

Bacterial_Vaginosis,bv_diagnosis,细菌性阴道病,boolean,,,,,Y,BV诊断,Amsel标准
Bacterial_Vaginosis,vaginal_ph,阴道pH值,decimal,,3-8,,,N,pH>4.5,BV指标
Bacterial_Vaginosis,whiff_test,胺试验,categorical,,Not_Done,Negative,Positive,,,N,KOH鱼腥味,BV
Bacterial_Vaginosis,clue_cells,线索细胞,categorical,,Not_Done,Negative,Positive,,,N,镜检,BV

Candidiasis,candida_diagnosis,外阴阴道念珠菌病,boolean,,,,,Y,VVC诊断,真菌感染
Candidiasis,candida_culture,念珠菌培养,categorical,,Not_Done,Negative,C_albicans,Non_albicans,,,N,白念/非白念,菌种

HIV_Coinfection,hiv_test,HIV检测,categorical,,Not_Tested,Negative,Positive,,,Y,HIV抗体/抗原,合并感染
HIV_Coinfection,hiv_status,HIV状态,categorical,,Unknown,Negative,Positive_Known,Newly_Diagnosed,,,Y,未知/阴性/已知阳性/新诊断,STI关联

HBV_HCV,hbv_test,乙肝检测,categorical,,Not_Tested,Negative,Positive,,,Y,HBsAg,合并感染
HBV_HCV,hcv_test,丙肝检测,categorical,,Not_Tested,Negative,Positive,,,Y,HCV抗体,性传播

PID,pid_diagnosis,盆腔炎性疾病,boolean,,,,,Y,PID诊断,上生殖道感染
PID,pid_criteria,PID标准,boolean,,,,,N,宫颈举痛+附件压痛+子宫压痛,最低标准
PID,tubo_ovarian_abscess,输卵管卵巢脓肿,boolean,,,,,N,TOA,严重并发症
PID,fitz_hugh_curtis,Fitz-Hugh-Curtis综合征,boolean,,,,,N,肝周炎,淋病/衣原体

Epididymitis,epididymitis,附睾炎,boolean,,,,,Y,附睾炎症,男性STI并发症
Epididymitis,testicular_pain,睾丸痛,boolean,,,,,N,阴囊痛,单侧多见
Epididymitis,scrotal_swelling,阴囊肿胀,boolean,,,,,N,肿胀,炎症

Proctitis,proctitis,直肠炎,boolean,,,,,N,直肠炎症,MSM常见
Proctitis,anoscopy,肛门镜,boolean,,,,,N,直肠检查,黏膜评估

Treatment_Gonorrhea,ceftriaxone,头孢曲松,boolean,,,,,Y,250mg IM,一线治疗
Treatment_Gonorrhea,cefixime,头孢克肟,boolean,,,,,N,400mg PO,替代方案
Treatment_Gonorrhea,azithromycin_dual,阿奇霉素双药,boolean,,,,,Y,1g PO,联合治疗

Treatment_Chlamydia,doxycycline,多西环素,boolean,,,,,Y,100mg bid×7天,一线
Treatment_Chlamydia,azithromycin,阿奇霉素,boolean,,,,,Y,1g单剂,替代

Treatment_Syphilis,benzathine_penicillin,苄星青霉素,boolean,,,,,Y,240万U IM,一线
Treatment_Syphilis,penicillin_doses,青霉素剂次,integer,,0-10,,,N,一期/二期/早期潜伏1次,晚期潜伏/三期3次
Treatment_Syphilis,penicillin_allergy,青霉素过敏,boolean,,,,,N,脱敏,孕妇必需

Treatment_HSV,acyclovir,阿昔洛韦,boolean,,,,,N,400mg tid×7-10天,首次发作
Treatment_HSV,valacyclovir,伐昔洛韦,boolean,,,,,N,1g bid×7-10天,抑制治疗
Treatment_HSV,suppressive_therapy,抑制治疗,boolean,,,,,N,每日用药,频繁复发

Treatment_HPV,cryotherapy,冷冻治疗,boolean,,,,,N,液氮,疣体去除
Treatment_HPV,podophyllin,鬼臼毒素,boolean,,,,,N,外用,疣体
Treatment_HPV,imiquimod,咪喹莫特,boolean,,,,,N,免疫调节,疣体
Treatment_HPV,surgical_excision,手术切除,boolean,,,,,N,电灼/激光,大疣体

Treatment_Trichomonas,metronidazole,甲硝唑,boolean,,,,,Y,2g单剂或500mg bid×7天,治疗滴虫
Treatment_Trichomonas,tinidazole,替硝唑,boolean,,,,,N,2g单剂,替代

Treatment_BV,metronidazole_bv,甲硝唑BV,boolean,,,,,Y,500mg bid×7天,BV治疗
Treatment_BV,clindamycin,克林霉素,boolean,,,,,N,300mg bid×7天或2%阴道凝胶,替代

Treatment_Candida,fluconazole,氟康唑,boolean,,,,,Y,150mg单剂,单纯VVC
Treatment_Candida,topical_azole,外用唑类,boolean,,,,,Y,克霉唑/咪康唑,阴道用药

Partner_Management,partner_notification,性伴通知,boolean,,,,,Y,通知性伴,阻断传播
Partner_Management,expedited_partner_therapy,加速性伴治疗,boolean,,,,,N,EPT,给予性伴药物
Partner_Management,number_of_partners_notified,通知性伴数,integer,,0-100,,,N,已通知数量,公共卫生

Prevention,condom_counseling,安全套咨询,boolean,,,,,Y,正确使用,预防
Prevention,prep_indicated,PrEP适应症,boolean,,,,,N,暴露前预防,HIV高危
Prevention,hpv_vaccination,HPV疫苗,boolean,,,,,Y,9价疫苗,预防HPV
Prevention,hbv_vaccination,乙肝疫苗,boolean,,,,,Y,HBV疫苗,免疫接种

Follow_Up,test_of_cure,治愈试验,boolean,,,,,N,治疗后复查,淋病/衣原体
Follow_Up,follow_up_date,随访日期,date,,,,,N,预约复查,依从性
Follow_Up,repeat_testing_3months,3月后复检,boolean,,,,,Y,再次筛查,再感染常见

Pregnancy,pregnant,妊娠,boolean,,,,,Y,是否怀孕,治疗选择
Pregnancy,pregnancy_test,妊娠试验,categorical,,Not_Done,Negative,Positive,,,Y,尿/血HCG,育龄妇女
Pregnancy,congenital_syphilis_risk,先天梅毒风险,boolean,,,,,N,孕期梅毒,母婴传播

Outcome,clinical_cure,临床治愈,boolean,,,,,Y,症状消失,疗效
Outcome,microbiological_cure,微生物学治愈,boolean,,,,,N,病原体清除,治愈试验
Outcome,treatment_failure,治疗失败,boolean,,,,,N,症状持续/复发,耐药

Report,provider,诊疗医师,string,,,,,Y,医师姓名,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
Report,reportable_disease,法定报告,boolean,,,,,Y,传染病报告,公共卫生
