Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,诊疗日期,病程记录
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,发病年龄
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,OSA男性多
Basic_Info,bmi,体质指数,decimal,kg/m²,15-60,39156-5,,Y,BMI,OSA主要危险因素

Chief_Complaint,chief_complaint,主诉,categorical,,"Insomnia,Excessive_Sleepiness,Snoring,Abnormal_Movements,Parasomnia",,,Y,主要症状,睡眠问题类型
Disorder_Type,sleep_disorder_type,睡眠障碍类型,categorical,,"Insomnia,OSA,Narcolepsy,RLS,Parasomnia,Circadian_Rhythm,Other",,,Y,诊断分类,ICSD-3
Insomnia,insomnia_type,失眠类型,categorical,,"NA,Initial,Middle,Terminal,Mixed",,,N,失眠分型,入睡/维持/早醒
OSA,osa_suspected,OSA可疑,boolean,,,,,N,阻塞性睡眠呼吸暂停,打鼾/憋气
OSA,snoring,打鼾,categorical,,"None,Mild,Moderate,Severe",,,N,鼾声,主要症状
OSA,witnessed_apnea,目击呼吸暂停,boolean,,,,,N,他人观察到停止呼吸,OSA特征
OSA,epworth_sleepiness_scale,Epworth嗜睡量表,integer,,0-24,52471-0,,N,ESS评分,>10异常日间嗜睡
Sleep_Quality,sleep_latency,入睡潜伏期,integer,minutes,0-300,,,N,入睡时间,>30分钟异常
Sleep_Quality,total_sleep_time,总睡眠时间,decimal,hours,0-24,,,N,实际睡眠时长,<6小时睡眠不足
Sleep_Quality,sleep_efficiency,睡眠效率,decimal,%,0-100,,,N,睡眠时间/卧床时间,<85%低效
Sleep_Quality,wake_after_sleep_onset,睡后觉醒,integer,minutes,0-480,,,N,WASO,睡眠维持
PSG,polysomnography,多导睡眠图,boolean,,,,,N,PSG完成,金标准检查
PSG,ahi,呼吸暂停低通气指数,decimal,events/hr,0-150,,,N,AHI,OSA诊断指标
PSG,osa_severity,OSA严重度,categorical,,"NA,Mild_5_15,Moderate_15_30,Severe_>30",,,N,OSA分级,AHI
PSG,oxygen_nadir,最低血氧,decimal,%,0-100,,,N,SpO2最低值,低氧程度
PSG,rem_sleep_percentage,REM睡眠百分比,decimal,%,0-50,,,N,REM%,20-25%正常
Treatment,cpap_therapy,CPAP治疗,boolean,,,,,N,持续气道正压通气,OSA一线治疗
Treatment,cpap_pressure,CPAP压力,decimal,cmH2O,4-20,,,N,治疗压力,滴定压力
Treatment,medication,药物治疗,string,,,,,N,助眠/促醒药物,药物名称
Report,sleep_specialist,睡眠专科医师,string,,,,,Y,诊治医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
