Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,injury_date,受伤日期,date,,,,,Y,损伤时间,急性/慢性
Basic_Info,age,年龄,integer,years,5-80,,,Y,患者年龄,各年龄段运动损伤
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,男性运动损伤多
Basic_Info,athlete_type,运动员类型,categorical,,"Professional,Amateur,Recreational,Non_Athlete",,,Y,职业/业余/娱乐/非运动员,强度

Injury_Mechanism,sport_type,运动项目,categorical,,"Football,Basketball,Running,Tennis,Cycling,Swimming,Skiing,Other",,,Y,运动类型,损伤模式
Injury_Mechanism,injury_mechanism,受伤机制,categorical,,"Contact,Non_Contact,Overuse,Direct_Blow,Twisting,Landing",,,Y,接触/非接触/过度使用/直接打击/扭转/着地,机制
Injury_Mechanism,acute_chronic,急慢性,categorical,,"Acute,Chronic,Acute_on_Chronic",,,Y,急性/慢性/急性加重,病程
Injury_Mechanism,first_time_recurrent,首次/复发,categorical,,"First_Time,Recurrent",,,Y,首次/再发,复发风险

Knee_Injury,knee_injury,膝关节损伤,boolean,,,,,Y,膝关节受累,最常见运动损伤
Knee_Injury,acl_tear,前交叉韧带撕裂,boolean,,,,,N,ACL损伤,接触/非接触
Knee_Injury,acl_grade,ACL损伤程度,categorical,,"NA,Sprain_Grade_1,Partial_Grade_2,Complete_Grade_3",,,N,I度扭伤/II度部分/III度完全,手术指征
Knee_Injury,pcl_tear,后交叉韧带撕裂,boolean,,,,,N,PCL损伤,直接打击
Knee_Injury,mcl_tear,内侧副韧带撕裂,boolean,,,,,N,MCL损伤,外翻暴力
Knee_Injury,lcl_tear,外侧副韧带撕裂,boolean,,,,,N,LCL损伤,内翻暴力
Knee_Injury,meniscus_tear,半月板撕裂,boolean,,,,,N,半月板损伤,扭转/蹲起
Knee_Injury,meniscus_location,半月板部位,categorical,,"NA,Medial,Lateral,Both",,,N,内侧/外侧/双侧,手术入路
