字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
presentationDate,就诊日期,Date,卒中发生日期,2025-01-15
presentationTime,发病时间,String,症状开始时间,08:30
lastKnownWell,最后正常时间,String,最后一次确认正常的时间(用于时间窗计算),前一晚22:00
encounterType,就诊类型,String,"**建议值**: `院前急救(120)`, `急诊`, `门诊转急诊`, `住院期间发生`",院前急救

strokeType.classification,卒中类型.分类,String,"**卒中分类**:<br>**缺血性卒中(87%)**: 脑血管闭塞致脑梗死<br>**出血性卒中(13%)**: 脑实质出血/蛛网膜下腔出血<br>**TIA**: 短暂性脑缺血发作(<24h完全恢复)<br>**建议值**: `急性缺血性卒中(AIS)`, `脑出血(ICH)`, `蛛网膜下腔出血(SAH)`, `TIA`, `待分类(疑似卒中)`",急性缺血性卒中
strokeType.ischemicSubtype,卒中类型.缺血性卒中TOAST分型,String,"**TOAST分型**(缺血性卒中病因分类):<br>**LAA**: 大动脉粥样硬化<br>**CE**: 心源性栓塞<br>**SVO**: 小血管闭塞(腔隙性梗死)<br>**OE**: 其他明确病因(夹层/炎症/高凝)<br>**UE**: 不明原因<br>**建议值**: `LAA`, `CE`, `SVO`, `OE`, `UE`, `不适用(出血性/TIA)`",LAA
strokeType.hemorrhageLocation,卒中类型.出血部位,String,"**建议值**: `不适用(缺血性)`, `基底节`, `丘脑`, `脑叶`, `脑干`, `小脑`, `蛛网膜下腔`, `脑室内出血`",不适用

symptoms.focalNeurological,症状.局灶神经功能缺损,String,"**卒中特征性症状**: 突发局灶神经功能缺损。<br>**示例**: `右侧肢体无力`, `左侧偏瘫`, `失语`, `视野缺损`, `共济失调`, `眩晕+复视`, `意识障碍`",右侧肢体无力;失语
symptoms.facialDrooping,症状.面部下垂,String,"**FAST评估-F**。<br>**建议值**: `无`, `左侧`, `右侧`, `双侧(少见)`",右侧
symptoms.armWeakness,症状.上肢无力,String,"**FAST评估-A**。<br>**建议值**: `无`, `左上肢`, `右上肢`, `双上肢`, `完全瘫痪`",右上肢
symptoms.legWeakness,症状.下肢无力,String,"**建议值**: `无`, `左下肢`, `右下肢`, `双下肢`, `完全瘫痪`",右下肢
symptoms.speechDisturbance,症状.言语障碍,String,"**FAST评估-S**。<br>**失语**: Broca失语(运动性,不能说)/Wernicke失语(感觉性,听不懂)/完全性失语<br>**构音障碍**: 说话含糊不清<br>**建议值**: `无`, `Broca失语`, `Wernicke失语`, `完全性失语`, `构音障碍`,Broca失语

symptoms.visionLoss,症状.视力/视野障碍,String,"**建议值**: `无`, `单眼视力丧失(视网膜中央动脉闭塞)`, `同向偏盲`, `视野缺损`, `复视`",无
symptoms.ataxia,症状.共济失调,String,"**建议值**: `无`, `躯干性共济失调`, `肢体性共济失调`, `步态不稳`",无
