Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,event_date,事件日期,datetime,,,,,Y,晕厥发生时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年高危
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征

Syncope_Definition,syncope,晕厥,boolean,,,,,Y,短暂性意识丧失+肌张力丧失+自限性,定义
Syncope_Definition,presyncope,先兆晕厥,boolean,,,,,Y,濒临晕厥但未丧失意识,症状
Syncope_Definition,loc_duration,意识丧失时长,integer,sec,0-600,,,Y,LOC持续秒数,<60秒典型
Syncope_Definition,complete_recovery,完全恢复,boolean,,,,,Y,意识快速恢复,自限性

Circumstances,position_at_onset,发作时体位,categorical,,Supine,Sitting,Standing,Exertion,,,Y,仰卧/坐位/站立/用力,直立性
Circumstances,activity,发作时活动,categorical,,Rest,Postural_Change,Exertion,Micturition,Defecation,Cough,Swallow,,,Y,休息/体位改变/运动/排尿/排便/咳嗽/吞咽,情景性
Circumstances,prolonged_standing,长时间站立,boolean,,,,,Y,站立时间,血管迷走性
Circumstances,crowded_hot_environment,拥挤闷热环境,boolean,,,,,N,环境因素,血管迷走性
Circumstances,emotional_stress,情绪应激,boolean,,,,,N,恐惧/疼痛/焦虑,精神因素
Circumstances,witnessed,目击者,boolean,,,,,Y,有无目击,病史可靠性

Prodrome,prodromal_symptoms,前驱症状,boolean,,,,,Y,晕厥前症状,血管迷走性
Prodrome,nausea,恶心,boolean,,,,,N,恶心,迷走反射
Prodrome,sweating,出汗,boolean,,,,,N,冷汗,自主神经
Prodrome,pallor,苍白,boolean,,,,,N,面色苍白,血管扩张
Prodrome,warmth,发热感,boolean,,,,,N,全身发热,血管扩张
Prodrome,lightheadedness,头晕,boolean,,,,,Y,头昏,脑灌注不足
Prodrome,blurred_vision,视物模糊,boolean,,,,,N,视觉障碍,低灌注
Prodrome,palpitations,心悸,boolean,,,,,Y,心悸,心律失常
Prodrome,chest_pain,胸痛,boolean,,,,,Y,胸痛,心源性
Prodrome,dyspnea,呼吸困难,boolean,,,,,N,气促,心肺疾病

During_Event,seizure_like_activity,类癫痫活动,boolean,,,,,Y,抽搐样动作,鉴别诊断
During_Event,tongue_biting,咬舌,boolean,,,,,N,舌咬伤,癫痫
During_Event,incontinence,失禁,boolean,,,,,N,大小便失禁,癫痫vs晕厥
During_Event,cyanosis,发绀,boolean,,,,,N,紫绀,低氧/心脏骤停
During_Event,injury,外伤,boolean,,,,,Y,跌倒受伤,无前驱症状

Recovery,recovery_speed,恢复速度,categorical,,Immediate,Minutes,Prolonged,,,Y,即刻/<5min/延长,自限性vs癫痫
Recovery,confusion_postictal,发作后意识模糊,boolean,,,,,Y,恢复期意识障碍,癫痫后状态
Recovery,amnesia,遗忘,boolean,,,,,N,事件遗忘,癫痫
Recovery,muscle_aches,肌肉酸痛,boolean,,,,,N,全身肌肉痛,癫痫后

Vital_Signs,sbp_supine,卧位收缩压,integer,mmHg,0-300,8480-6,,Y,仰卧位SBP,基线血压
Vital_Signs,dbp_supine,卧位舒张压,integer,mmHg,0-200,8462-4,,Y,仰卧位DBP,基线血压
Vital_Signs,hr_supine,卧位心率,integer,bpm,0-300,8867-4,,Y,仰卧位HR,基线心率
Vital_Signs,sbp_standing,立位收缩压,integer,mmHg,0-300,,,Y,站立3分钟SBP,直立性低血压
Vital_Signs,dbp_standing,立位舒张压,integer,mmHg,0-200,,,Y,站立3分钟DBP,直立性低血压
Vital_Signs,hr_standing,立位心率,integer,bpm,0-300,,,Y,站立3分钟HR,POTS
Vital_Signs,orthostatic_hypotension,直立性低血压,boolean,,,,,Y,SBP下降≥20或DBP下降≥10,OH
Vital_Signs,pots,体位性心动过速综合征,boolean,,,,,N,HR增加≥30(或≥120),POTS

Risk_Factors,cardiac_history,心脏病史,boolean,,,,,Y,CAD/CHF/心肌病/瓣膜病,心源性高危
Risk_Factors,arrhythmia_history,心律失常史,boolean,,,,,Y,房颤/室速/传导阻滞,心律失常性
Risk_Factors,structural_heart_disease,结构性心脏病,boolean,,,,,Y,HCM/ARVD/先心病,SCD风险
Risk_Factors,family_history_scd,家族性SCD史,boolean,,,,,Y,一级亲属猝死<50岁,遗传性心律失常
Risk_Factors,pacemaker_icd,起搏器/ICD,boolean,,,,,Y,植入装置,装置故障
Risk_Factors,medications,相关药物,string,,,,,Y,抗高血压/利尿/抗心律失常/QT延长,药物性
Risk_Factors,exertional_syncope,运动性晕厥,boolean,,,,,Y,运动中或运动后即刻,心源性高危
Risk_Factors,supine_syncope,卧位晕厥,boolean,,,,,Y,平卧时晕厥,心律失常

ECG,ecg_performed,心电图,boolean,,,,,Y,12导联ECG,必查
ECG,ecg_normal,ECG正常,boolean,,,,,Y,正常心电图,低危
ECG,sinus_bradycardia,窦性心动过缓,boolean,,,,,N,HR<40,病窦综合征
ECG,av_block,房室传导阻滞,boolean,,,,,Y,I/II/III度AVB,传导阻滞
ECG,bundle_branch_block,束支传导阻滞,boolean,,,,,Y,LBBB/RBBB,传导系统疾病
ECG,qtc_prolongation,QTc延长,boolean,,,,,Y,QTc>450男/>460女ms,Torsades风险
ECG,brugada_pattern,Brugada图形,boolean,,,,,N,ST段抬高V1-V3,Brugada综合征
ECG,epsilon_wave,Epsilon波,boolean,,,,,N,V1-V3,ARVD
ECG,lvh,左室肥厚,boolean,,,,,N,LVH,HCM/主动脉瓣狭窄
ECG,st_t_changes,ST-T改变,boolean,,,,,Y,缺血性改变,冠心病
ECG,q_waves,病理性Q波,boolean,,,,,N,陈旧心梗,冠心病
ECG,wpw_pattern,WPW图形,boolean,,,,,N,预激综合征,AVRT
ECG,svt,室上性心动过速,boolean,,,,,N,SVT,心律失常
ECG,vt,室性心动过速,boolean,,,,,Y,VT,恶性心律失常

Labs,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,Y,Hb,贫血
Labs,glucose,血糖,decimal,mmol/L,0-50,2345-7,,Y,GLU,低血糖
Labs,troponin,肌钙蛋白,decimal,ng/mL,0-500,10839-9,,N,cTn,心肌梗死
Labs,bnp,脑钠肽,decimal,pg/mL,0-10000,30934-4,,N,BNP,心衰
Labs,d_dimer,D-二聚体,decimal,mg/L,0-50,48065-7,,N,D-Dimer,肺栓塞

Imaging,echo_performed,超声心动图,boolean,,,,,N,TTE,结构性心脏病
Imaging,echo_lvef,左室射血分数,decimal,%,0-100,10230-1,,N,LVEF,收缩功能
Imaging,echo_findings,超声发现,categorical,,Normal,HCM,Valvular_Disease,LV_Dysfunction,Pericardial_Effusion,,,N,正常/HCM/瓣膜病/LV功能不全/心包积液,结构异常

Syncope_Type,vasovagal_syncope,血管迷走性晕厥,boolean,,,,,Y,前驱症状+诱发因素,最常见50%
Syncope_Type,situational_syncope,情景性晕厥,boolean,,,,,N,排尿/排便/咳嗽/吞咽,反射性
Syncope_Type,carotid_sinus_syncope,颈动脉窦性晕厥,boolean,,,,,N,颈部转动/按压,老年
Syncope_Type,orthostatic_syncope,直立性晕厥,boolean,,,,,Y,OH检测阳性,自主神经功能障碍/药物
Syncope_Type,cardiac_syncope,心源性晕厥,boolean,,,,,Y,心律失常/结构性心脏病,高危
Syncope_Type,neurological_syncope,神经源性晕厥,boolean,,,,,N,椎基底动脉TIA/锁骨下盗血,罕见

San_Francisco_Rule,sf_rule_chf,CHF史,boolean,,,,,Y,心力衰竭,1分
San_Francisco_Rule,sf_rule_hct_lt_30,Hct<30%,boolean,,,,,Y,贫血,1分
San_Francisco_Rule,sf_rule_ecg_abnormal,ECG异常,boolean,,,,,Y,非窦律/新ST-T改变,1分
