fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,系统性体格检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,SPE-001
patientName,患者姓名,String,患者全名,张三
examinerName,检查医师,String,执行体格检查的医师姓名,李医生
clinicalIndication,临床适应症,String,体格检查的临床适应症,内分泌代谢疾病评估
chiefComplaint,主诉,String,患者主要症状主诉,乏力多饮多尿
generalAppearance,一般外观,String,患者整体外观印象,体型肥胖精神状态良好
consciousness,意识状态,String,意识清晰度评估,清醒合作
mentalState,精神状态,String,精神状态评估,精神状态良好
nutritionalStatus,营养状态,String,营养状况评估,营养状态良好
developmentalStatus,发育状态,String,发育状况评估,发育正常
bodyHabitus,体型,String,体型描述,中等偏胖体型
posture,体位姿态,String,患者体位和姿态,自主体位姿态正常
gait,步态,String,步态观察,步态正常
facialExpression,面容表情,String,面部表情观察,表情自然
skinColor,皮肤颜色,String,皮肤颜色评估,肤色正常
dehydrationSigns,脱水征,String,脱水征象评估,无脱水征象
vitalSigns,生命体征,String,生命体征测量结果,BP 130/80 HR 78 RR 18 T 36.5°C
bloodPressure,血压,String,血压测量值,130/80 mmHg
heartRate,心率,Number,心率每分钟次数,78
respiratoryRate,呼吸频率,Number,呼吸频率每分钟次数,18
bodyTemperature,体温,Number,体温摄氏度,36.5
oxygenSaturation,血氧饱和度,Number,血氧饱和度百分比,98
height,身高,Number,身高厘米,170
weight,体重,Number,体重公斤,78
BMI,体重指数,Number,体重指数计算值,27.0
waistCircumference,腰围,Number,腰围厘米,95
hipCircumference,臀围,Number,臀围厘米,105
waistHipRatio,腰臀比,Number,腰臀比值,0.90
neckCircumference,颈围,Number,颈围厘米,40
skinExamination,皮肤检查,String,皮肤系统检查,皮肤检查结果
skinColor,皮肤颜色,String,皮肤颜色描述,正常肤色
skinTexture,皮肤质地,String,皮肤质地触感,皮肤质地正常
skinMoisture,皮肤湿润度,String,皮肤湿润程度,皮肤湿润度正常
skinElasticity,皮肤弹性,String,皮肤弹性测试,皮肤弹性正常
skinTemperature,皮肤温度,String,皮肤温度感觉,皮肤温度正常
rash,皮疹,String,皮疹观察,无皮疹
ecchymoses,瘀斑,String,瘀斑检查,无瘀斑
petechiae,瘀点,String,瘀点检查,无瘀点
cyanosis,发绀,String,发绀检查,无发绀
jaundice,黄疸,String,黄疸检查,无黄疸
pallor,苍白,String,苍白检查,无苍白
acanthosisNigricans,黑棘皮病,String,黑棘皮病检查,颈部轻度黑棘皮病
striae,皮纹,String,皮纹检查,腹部妊娠纹
scars,瘢痕,String,瘢痕检查,无明显瘢痕
moles,痣,String,色素痣检查,散在色素痣
skinLesions,皮肤病变,String,其他皮肤病变,无其他皮肤病变
lymphNodes,淋巴结,String,淋巴结检查总述,淋巴结检查结果
cervicalLymphNodes,颈部淋巴结,String,颈部淋巴结触诊,未触及肿大淋巴结
supraclavicularLymphNodes,锁骨上淋巴结,String,锁骨上淋巴结触诊,未触及肿大淋巴结
axillaryLymphNodes,腋窝淋巴结,String,腋窝淋巴结触诊,未触及肿大淋巴结
inguinalLymphNodes,腹股沟淋巴结,String,腹股沟淋巴结触诊,未触及肿大淋巴结
epitrochlearLymphNodes,肘上淋巴结,String,肘上淋巴结触诊,未触及肿大淋巴结
headExamination,头部检查,String,头部检查总述,头部检查正常
skullShape,头颅形状,String,头颅形状观察,头颅形状正常
scalp,头皮,String,头皮检查,头皮正常无异常
hair,毛发,String,毛发检查,毛发正常
faceSymmetry,面部对称性,String,面部对称性观察,面部对称
facialEdema,面部水肿,String,面部水肿检查,无面部水肿
moonFace,满月脸,String,满月脸检查,无满月脸
eyeExamination,眼部检查,String,眼部检查总述,眼部检查正常
eyelids,眼睑,String,眼睑检查,眼睑正常
conjunctiva,结膜,String,结膜检查,结膜正常
sclera,巩膜,String,巩膜检查,巩膜正常
pupils,瞳孔,String,瞳孔检查,瞳孔等大等圆光反射存在
eyeMovements,眼球运动,String,眼球运动检查,眼球运动正常
visualFields,视野,String,视野粗测,视野粗测正常
exophthalmos,突眼,String,突眼检查,无突眼
periorbitalEdema,眶周水肿,String,眶周水肿检查,无眶周水肿
earExamination,耳部检查,String,耳部检查总述,耳部检查正常
auricle,耳廓,String,耳廓检查,耳廓正常
earCanal,外耳道,String,外耳道检查,外耳道通畅
tympanum,鼓膜,String,鼓膜检查,鼓膜正常
hearing,听力,String,听力粗测,听力粗测正常
noseExamination,鼻部检查,String,鼻部检查总述,鼻部检查正常
nasal,鼻外形,String,鼻外形检查,鼻外形正常
naresPatency,鼻孔通畅性,String,鼻孔通畅性检查,双侧鼻孔通畅
nasalMucosa,鼻粘膜,String,鼻粘膜检查,鼻粘膜正常
nasalSeptum,鼻中隔,String,鼻中隔检查,鼻中隔居中
sinus,鼻窦,String,鼻窦检查,鼻窦无压痛
mouthExamination,口腔检查,String,口腔检查总述,口腔检查正常
lips,唇,String,唇部检查,唇色正常无皲裂
teeth,牙齿,String,牙齿检查,牙齿正常
gums,牙龈,String,牙龈检查,牙龈正常
tongue,舌,String,舌部检查,舌质正常舌苔薄白
buccalMucosa,颊粘膜,String,颊粘膜检查,颊粘膜正常
palate,腭,String,腭部检查,腭部正常
uvula,悬雍垂,String,悬雍垂检查,悬雍垂居中
tonsils,扁桃体,String,扁桃体检查,扁桃体无肿大
throat,咽喉,String,咽喉检查,咽喉正常
oralOdor,口腔气味,String,口腔气味,口腔无异味
neckExamination,颈部检查,String,颈部检查总述,颈部检查结果
neckSymmetry,颈部对称性,String,颈部对称性观察,颈部对称
neckMass,颈部肿块,String,颈部肿块触诊,未触及颈部肿块
neckMovement,颈部活动,String,颈部活动度检查,颈部活动度正常
