Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,T1DM确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,0-80,,,Y,确诊时年龄,儿童青少年多发
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,性别差异
Basic_Info,ethnicity,民族,categorical,,,"Han,Minority,Other",,,N,种族背景,遗传易感差异
Basic_Info,family_history_t1dm,T1DM家族史,categorical,,,"Yes,No",,,N,一级亲属T1DM,遗传易感性5-10%
Basic_Info,family_history_autoimmune,自身免疫病家族史,categorical,,,"Yes,No",,,N,其他自身免疫病,甲状腺/乳糜泻等
Basic_Info,onset_pattern,起病模式,categorical,,,"Acute,Subacute,LADA",,,Y,发病特点,典型急性vs缓慢LADA
Basic_Info,dka_at_presentation,确诊时DKA,categorical,,,"Yes,No",,,Y,酮症酸中毒,20-40%以DKA起病
Presentation,presenting_symptoms,首发症状,categorical,,,"Polyuria_Polydipsia,Weight_Loss,DKA,Incidental,Asymptomatic",,,Y,主要症状,三多一少
Presentation,polyuria,多尿,categorical,,,"Yes,No",,,N,尿量增多,高血糖渗透性利尿
Presentation,polydipsia,多饮,categorical,,,"Yes,No",,,N,口渴多饮,失水代偿
Presentation,polyphagia,多食,categorical,,,"Yes,No",,,N,食欲亢进,能量丢失代偿
Presentation,weight_loss,体重下降,categorical,,,"Yes,No",,,Y,体重丢失,胰岛素缺乏分解代谢
Presentation,weight_loss_amount,体重下降量,decimal,kg,0-30,,,N,体重丢失公斤数,疾病严重度
Presentation,fatigue,乏力,categorical,,,"Mild,Moderate,Severe,None",,,N,疲劳程度,能量代谢障碍
Presentation,blurred_vision,视物模糊,categorical,,,"Yes,No",,,N,视力改变,高血糖晶状体渗透压
Presentation,recurrent_infections,反复感染,categorical,,,"Yes,No",,,N,感染倾向,免疫功能下降
Presentation,symptom_duration,症状持续时间,categorical,,,"<1week,1-4weeks,1-3months,>3months",,,N,症状病程,急性起病特点
Laboratory_Glucose,fasting_glucose,空腹血糖,decimal,mmol/L,3-30,1558-6,,Y,FPG,诊断标准≥7.0
Laboratory_Glucose,random_glucose,随机血糖,decimal,mmol/L,3-35,2345-7,,Y,任意时间血糖,诊断标准≥11.1
Laboratory_Glucose,hba1c,糖化血红蛋白,decimal,%,4-18,4548-4,,Y,HbA1c,诊断标准≥6.5%
Laboratory_Glucose,glucose_at_diagnosis,确诊时血糖,decimal,mmol/L,5-40,,,Y,诊断时血糖水平,基线评估
Laboratory_Glucose,c_peptide_fasting,空腹C肽,decimal,ng/mL,0-5,1986-9,,Y,空腹C-peptide,胰岛β细胞功能
Laboratory_Glucose,c_peptide_stimulated,刺激后C肽,decimal,ng/mL,0-10,,,N,餐后/糖负荷C肽,残存β细胞功能
Laboratory_Glucose,c_peptide_low,C肽降低,categorical,,,"Yes,No",,,Y,C肽<0.6 ng/mL,胰岛素绝对缺乏
Laboratory_Autoantibodies,gad_antibody,GAD抗体,categorical,,,"Positive,Negative,Unknown",,,Y,谷氨酸脱羧酶抗体,70-80%阳性
Laboratory_Autoantibodies,gad_titer,GAD抗体滴度,decimal,U/mL,0-2000,8086-4,,N,GAD-Ab定量,阳性>5-10 U/mL
Laboratory_Autoantibodies,ia2_antibody,IA-2抗体,categorical,,,"Positive,Negative,Unknown",,,N,酪氨酸磷酸酶抗体,60%阳性
Laboratory_Autoantibodies,iaa,胰岛素自身抗体,categorical,,,"Positive,Negative,Unknown",,,N,IAA,儿童多见40-70%
Laboratory_Autoantibodies,znt8_antibody,ZnT8抗体,categorical,,,"Positive,Negative,Unknown",,,N,锌转运体8抗体,新标志物60-80%
Laboratory_Autoantibodies,ica,胰岛细胞抗体,categorical,,,"Positive,Negative,Unknown",,,N,ICA,传统标志物70-80%
Laboratory_Autoantibodies,antibody_number,抗体阳性数,integer,个,0-5,,,N,阳性抗体种类数,≥2个诊断价值高
Laboratory_Autoantibodies,antibody_negative_t1dm,抗体阴性T1DM,categorical,,,"Yes,No",,,N,抗体全阴性,5-10%抗体阴性T1DM
Laboratory_Ketones,blood_ketones,血酮体,decimal,mmol/L,0-10,,,N,血β-羟丁酸,DKA诊断
Laboratory_Ketones,urine_ketones,尿酮体,categorical,,,"Negative,Trace,+,++,+++,++++",2514-8,,N,尿酮定性,快速筛查
Laboratory_Ketones,dka_diagnosis,DKA诊断,categorical,,,"Yes,No",,,Y,糖尿病酮症酸中毒,急性并发症
Laboratory_Ketones,ph_value,血气pH,decimal,,6.8-7.6,2744-1,,N,动脉血pH,酸中毒评估
Laboratory_Ketones,bicarbonate,碳酸氢根,decimal,mmol/L,5-35,1963-8,,N,HCO3-,代谢性酸中毒
Laboratory_Other,thyroid_antibodies,甲状腺抗体,categorical,,,"Positive,Negative,Unknown",,,N,TPO-Ab/TG-Ab,合并甲状腺疾病20-30%
Laboratory_Other,tissue_transglutaminase_ab,组织转谷氨酰胺酶抗体,categorical,,,"Positive,Negative,Unknown",,,N,tTG-IgA,乳糜泻筛查5-10%
Laboratory_Other,celiac_disease,乳糜泻,categorical,,,"Yes,No,Unknown",,,N,麸质不耐受,T1DM常见合并症
Laboratory_Other,autoimmune_thyroid,自身免疫甲状腺病,categorical,,,"Hashimoto,Graves,None,Unknown",,,N,甲状腺疾病,常见合并症
