字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,TCP20250327001
diagnosisDate,确诊日期,Date,血小板减少确诊日期,2025-03-27
age,年龄,Number,确诊时年龄(岁),42
gender,性别,String,患者性别,女

# 血小板计数
platelet.count,血小板.计数,Number,"血小板计数(×10⁹/L)。<br>**正常**: 125-350<br>**轻度减少**: 75-125<br>**中度减少**: 30-75<br>**重度减少**: 10-30<br>**极重度**: <10",45
platelet.count.lowest,血小板.最低值,Number,历史最低血小板计数(×10⁹/L),28
platelet.count.trend,血小板.趋势,String,"**稳定**: 计数稳定<br>**下降**: 进行性减少<br>**波动**: 起伏不定<br>**上升**: 治疗后恢复",波动性

# 临床表现
symptoms.bleeding,症状.出血,Boolean,"**出血**: 血小板<30常见,<10高风险<br>**严重度**: 与血小板计数相关",true
symptoms.bleeding.type,症状.出血.类型,String,"**皮肤**: 瘀点、瘀斑、紫癜<br>**黏膜**: 鼻出血、牙龈出血、月经过多<br>**严重**: 消化道出血、颅内出血",皮肤瘀点瘀斑、牙龈出血
symptoms.bleeding.severity,症状.出血.严重程度,String,"**轻度**: 皮肤瘀斑<br>**中度**: 鼻出血、牙龈出血<br>**重度**: 消化道出血、血尿<br>**危及生命**: 颅内出血",中度
symptoms.petechiae,症状.瘀点,Boolean,"**瘀点**: 针尖大小出血点<br>**分布**: 下肢、压力部位<br>**重力依赖**: 站立后加重",true
symptoms.purpura,症状.紫癜,Boolean,"**紫癜**: >3mm出血斑<br>**压之不褪色**: 与血管炎性紫癜鉴别",true
symptoms.bruising,症状.瘀斑,Boolean,"**瘀斑**: 大片皮下出血<br>**易发生**: 轻微外伤后",true
symptoms.mucosalBleeding,症状.黏膜出血,Boolean,"**湿性紫癜**: 黏膜出血<br>**高危**: 颅内出血风险增加",true
symptoms.menorrhagia,症状.月经过多,Boolean,"**月经过多**: 女性常见表现<br>**严重贫血**: 长期月经过多",true
symptoms.ich,症状.颅内出血,Boolean,"**颅内出血**: 最严重并发症<br>**血小板<10**: 高风险<br>**致死率**: 高",false

# 病因分类
etiology.category,病因.分类,String,"**生成减少**: 骨髓衰竭<br>**破坏增加**: 免疫性、非免疫性<br>**分布异常**: 脾功能亢进<br>**稀释**: 大量输液输血",破坏增加
etiology.mechanism,病因.机制,String,"**免疫性**: ITP、药物相关<br>**非免疫性**: TTP、DIC、HIT<br>**生成减少**: 再障、白血病、化疗<br>**脾亢**: 肝硬化、门脉高压",免疫性破坏

# 免疫性血小板减少症 (ITP)
itp.diagnosis,ITP.诊断,Boolean,"**原发性ITP**: 排除性诊断<br>**抗体介导**: 抗血小板抗体<br>**脾脏破坏**: 脾脏巨噬细胞吞噬",true
