字段路径,中文名称,数据类型,说明,示例值
reportInfo.id,报告编号,String,病理报告唯一标识,TC-2025-001234
reportInfo.patientName,患者姓名,String,患者姓名,王某某
reportInfo.patientId,患者ID,String,患者唯一标识,P20250102001
reportInfo.age,年龄,Number,患者年龄(岁)。<br>**临床意义**: AJCC第8版将预后年龄分界从45岁提高至55岁,≥55岁患者分期更高,45
reportInfo.gender,性别,String,"患者性别。<br>**建议值**: `男`, `女`<br>**临床意义**: 女性甲状腺癌发病率为男性3-4倍",女
reportInfo.reportDate,报告日期,Date,病理报告日期,2025-01-15
reportInfo.specimenType,标本类型,String,"标本类型。<br>**建议值**: `细针穿刺(FNA)`, `粗针穿刺(CNB)`, `甲状腺腺叶切除`, `甲状腺全切除`, `中央区淋巴结清扫`, `侧颈区淋巴结清扫`, `再次手术标本`<br>**临床意义**: 标本类型影响诊断完整性和分期准确性",甲状腺全切除+双侧中央区+左侧侧颈区淋巴结清扫
reportInfo.hospitalName,送检医院,String,送检医院名称,北京协和医院
reportInfo.pathologist,病理医师,String,签发病理医师姓名,李医生
clinical.chiefComplaint,临床表现.主诉,String,"患者主诉症状。<br>**常见症状**: 无症状(体检发现结节)、颈部肿块、声音嘶哑、吞咽困难、颈部疼痛、呼吸困难<br>**临床意义**: 大多数甲状腺癌为无症状颈部结节,体检超声发现,声音嘶哑提示喉返神经侵犯",体检发现甲状腺左叶结节
clinical.familyHistory,临床表现.家族史,String,"甲状腺癌或相关综合征家族史。<br>**建议值**: `无家族史`, `甲状腺癌家族史`, `MEN 2型(多发性内分泌腺瘤病2型)`, `家族性腺瘤性息肉病(FAP)`, `Cowden综合征`<br>**临床意义**: MEN 2型(RET胚系突变)提示髓样癌风险,一级亲属甲状腺癌史使风险增加3-5倍",无家族史
clinical.radiationExposure,临床表现.放射暴露史,String,"头颈部放射线暴露史。<br>**建议值**: `无`, `儿童期头颈部放疗`, `核辐射暴露`, `放射性碘治疗史`<br>**临床意义**: 儿童期头颈部放疗使甲状腺癌风险增加10-30倍,潜伏期10-30年",无
tumorMarker.tg,肿瘤标志物.Tg,Number,"甲状腺球蛋白(Thyroglobulin,ng/mL)。<br>**参考范围**: 正常<55 ng/mL<br>**临床意义**: 分化型甲状腺癌(DTC)术后复发监测金标准,全甲状腺切除+碘治疗后Tg应<1 ng/mL,Tg升高提示复发或转移",35
tumorMarker.tgAb,肿瘤标志物.TgAb,String,"抗甲状腺球蛋白抗体(TgAb)。<br>**建议值**: `阴性`, `阳性`<br>**临床意义**: TgAb阳性(10-25%患者)干扰Tg检测,导致Tg假性降低,需监测TgAb滴度变化",阴性
tumorMarker.calcitonin,肿瘤标志物.降钙素,Number,"降钙素(Calcitonin,pg/mL)。<br>**参考范围**: <10 pg/mL<br>**临床意义**: 髓样癌(MTC)特异性标志物,>100 pg/mL高度提示MTC,术后监测复发,基础值>500或激发后>1000提示淋巴结转移",8
tumorMarker.cea,肿瘤标志物.CEA,Number,"癌胚抗原(ng/mL)。<br>**参考范围**: <5<br>**临床意义**: MTC辅助标志物,与降钙素联合监测复发,CEA/降钙素比值>0.3提示预后差",3.2
tumorMarker.tsh,肿瘤标志物.TSH,Number,"促甲状腺激素(mIU/L)。<br>**参考范围**: 0.3-5.0<br>**临床意义**: DTC术后需TSH抑制治疗(低危0.5-2,高危<0.1),抑制TSH可降低复发风险",1.2
imaging.ultrasound.tirads,影像学.超声.TI-RADS分级,String,"甲状腺影像报告与数据系统(Thyroid Imaging Reporting and Data System)。<br>**ACR TI-RADS分级**:<br>- **TI-RADS 1**: 正常甲状腺<br>- **TI-RADS 2**: 良性(0%恶性风险)<br>- **TI-RADS 3**: 可能良性(<5%恶性风险)<br>- **TI-RADS 4**: 可疑(5-20%恶性风险)<br>- **TI-RADS 5**: 高度可疑(>20%恶性风险)<br>**高危特征**: 低回声、微钙化、不规则边缘、纵横比>1、血流丰富<br>**临床意义**: TI-RADS≥4建议FNA,≥5恶性风险>70%",TI-RADS 5
imaging.ultrasound.size,影像学.超声.结节大小,String,超声测量的结节最大径(mm),18×12×15 mm
imaging.ultrasound.calcification,影像学.超声.钙化,String,"钙化类型。<br>**建议值**: `无钙化`, `微钙化(<1mm,砂粒体)`, `粗大钙化`, `蛋壳样钙化`, `混合型钙化`<br>**临床意义**: 微钙化(砂粒体钙化)是乳头状癌特征性表现,敏感性26-59%但特异性85-95%",微钙化
imaging.ultrasound.vascularity,影像学.超声.血流,String,"彩色多普勒血流。<br>**建议值**: `无血流`, `周边血流`, `内部血流`, `内部丰富血流`<br>**临床意义**: 内部丰富血流提示恶性可能",内部血流
imaging.ultrasound.lymphNodes,影像学.超声.淋巴结,String,"颈部淋巴结超声。<br>**可疑特征**: 短长径比>0.5、囊性变、微钙化、皮质增厚、周边血流<br>**建议值**: `未见肿大淋巴结`, `中央区可疑淋巴结`, `侧颈区可疑淋巴结(II-VI区)`, `锁骨上淋巴结`<br>**临床意义**: 淋巴结微钙化特异性>95%,提示乳头状癌转移",中央区+左侧IV区可疑淋巴结
imaging.ct.findings,影像学.CT.主要发现,String,"增强CT主要发现(术前评估侵犯范围)。<br>**评估内容**: 腺外侵犯(气管/食管/喉返神经/颈动脉)、纵隔侵犯、淋巴结转移<br>**建议值**: `局限于甲状腺`, `腺外侵犯可疑`, `气管侵犯`, `食管侵犯`, `颈动脉包绕`, `纵隔淋巴结肿大`<br>**临床意义**: CT对腺外侵犯评估优于超声",局限于甲状腺内,中央区淋巴结肿大
fna.bethesda,细针穿刺.Bethesda分级,String,"Bethesda甲状腺细胞病理报告系统(TBSRTC,2017版)。<br>**I类**: 无法诊断/不满意(1-4%恶性风险) - 需3个月后重复FNA<br>**II类**: 良性(0-3%恶性风险) - 随访<br>**III类**: 意义不明确的非典型病变(AUS/FLUS,5-15%恶性风险) - 重复FNA或分子检测<br>**IV类**: 滤泡性肿瘤/可疑滤泡性肿瘤(FN/SFN,15-30%恶性风险) - 手术切除<br>**V类**: 可疑恶性(50-75%恶性风险) - 手术切除<br>**VI类**: 恶性(97-99%恶性风险) - 手术切除<br>**临床意义**: Bethesda分级指导后续处理,III-V类可结合BRAF/RAS突变检测提高诊断准确性",VI类(恶性-乳头状癌)
fna.adequacy,细针穿刺.标本充分性,String,"FNA标本充分性。<br>**充分性标准**: 至少6簇滤泡上皮细胞,每簇≥10个细胞<br>**建议值**: `充分`, `不充分-细胞过少`, `不充分-血液稀释`, `不充分-囊性病变`<br>**临床意义**: 不充分标本约10-20%,需重复FNA",充分
pathology.tumorSide,病理.肿瘤侧别,String,"肿瘤所在侧别。<br>**建议值**: `左叶`, `右叶`, `峡部`, `双叶多发`, `全甲状腺弥漫`<br>**临床意义**: 双叶多发提示需全甲状腺切除",左叶
pathology.tumorSize,病理.肿瘤大小,Number,"肿瘤最大径(cm)。<br>**T分期界值**:<br>- ≤1cm: T1a(微小癌)<br>- 1-2cm: T1b<br>- 2-4cm: T2<br>- >4cm: T3<br>**临床意义**: ≤1cm微小乳头状癌(PTMC)可主动监测,>4cm复发风险增加",1.8
pathology.multifocality,病理.多灶性,String,"肿瘤多灶性。<br>**建议值**: `单发`, `同侧多发(2-3个)`, `同侧多发(>3个)`, `双侧多发`<br>**临床意义**: 多灶性见于30-40%乳头状癌,增加复发风险,是全甲状腺切除指征",单发
pathology.who.type,病理.WHO分型,String,"WHO 2017甲状腺肿瘤组织学分型。<br>**主要类型**:<br>- **乳头状癌(PTC,85-90%)**: 最常见,预后最好,10年生存率>95%<br>- **滤泡状癌(FTC,5-10%)**: 血行转移(肺/骨),预后中等<br>- **髓样癌(MTC,3-5%)**: 滤泡旁C细胞起源,分泌降钙素,25%遗传性(MEN 2型)<br>- **未分化癌(ATC,1-2%)**: 预后极差,中位生存期3-6个月<br>- **低分化癌(PDTC,1-3%)**: 介于DTC与ATC之间<br>**罕见类型**: 髓样癌混合型、高细胞型、柱状细胞型<br>**临床意义**: 组织学类型是最重要的预后因素",乳头状癌(PTC)
pathology.ptc.variant,乳头状癌.亚型,String,"乳头状癌病理亚型(WHO 2017)。<br>**经典型(60-70%)**: 标准乳头状结构,核特征典型,预后好<br>**滤泡型(15-20%)**: 滤泡样生长但核特征为PTC,预后好<br>**高细胞型(5-10%)**: >75%细胞为高细胞,胞质嗜酸,侵袭性强,BRAF V600E高频(80%)<br>**柱状细胞型(<1%)**: 假复层柱状上皮,核位于基底,预后差,类似结肠癌<br>**弥漫硬化型(2-5%)**: 广泛淋巴管侵犯,腺体纤维化,淋巴细胞浸润,年轻女性多见,RET/PTC融合<br>**实性/小梁型**: 儿童多见<br>**嗜酸细胞型**: Hürthle细胞,预后中等<br>**建议值**: `经典型`, `滤泡型`, `高细胞型`, `柱状细胞型`, `弥漫硬化型`, `实性型`, `嗜酸细胞型`, `混合型`<br>**临床意义**: 高细胞型/柱状细胞型/弥漫硬化型为侵袭性亚型,复发率高,需积极治疗",经典型乳头状癌
pathology.ptc.nuclearFeatures,乳头状癌.核特征,String,"PTC特征性核特征(诊断金标准)。<br>**核特征三联征**:<br>1. **核沟(Nuclear grooves)**: 纵向核沟,咖啡豆样<br>2. **核内假包涵体(Intranuclear pseudoinclusions)**: 胞质内陷入核内<br>3. **毛玻璃样核(Ground-glass nuclei)**: 核染色质细腻,边缘浓染,Orphan Annie眼核<br>**建议值**: `核特征典型(三联征明显)`, `核特征部分符合`, `核特征不典型`<br>**临床意义**: 核特征是PTC诊断的关键,即使滤泡样结构为主,核特征符合即诊断PTC",核特征典型
pathology.ptc.psammomaBodies,乳头状癌.砂粒体,String,"砂粒体(Psammoma bodies)。<br>**定义**: 同心圆层状钙化小体,直径50-100μm<br>**建议值**: `无`, `少量(<5个/10HPF)`, `中量(5-10个/10HPF)`, `大量(>10个/10HPF)`, `广泛分布`<br>**临床意义**: 砂粒体见于40-50% PTC,在淋巴结中发现砂粒体高度提示转移灶",中量
pathology.ftc.invasion,滤泡状癌.侵犯,String,"滤泡状癌侵犯程度(FTC诊断关键)。<br>**微小侵犯型(Minimally invasive FTC)**: 仅包膜侵犯,无血管侵犯,预后好,10年生存率>90%<br>**广泛侵犯型(Widely invasive FTC)**: 广泛包膜侵犯和/或血管侵犯(≥4处),预后差,易远处转移<br>**建议值**: `滤泡腺瘤(无侵犯)`, `微小侵犯型FTC`, `广泛侵犯型FTC`<br>**临床意义**: FTC诊断必须见到包膜或血管侵犯,仅靠FNA无法区分腺瘤与癌,需手术切除后完整取材",不适用(PTC)
pathology.ftc.vascularInvasion,滤泡状癌.血管侵犯,String,"血管侵犯程度(FTC预后关键)。<br>**定义**: 肿瘤细胞侵入包膜内或包膜外血管,伴内皮覆盖或附壁血栓<br>**建议值**: `无`, `<4处血管侵犯`, `≥4处血管侵犯(广泛侵犯型)`<br>**临床意义**: 血管侵犯≥4处提示血行转移高风险(肺/骨),需积极碘治疗",不适用(PTC)
pathology.mtc.amyloid,髓样癌.淀粉样变,String,"MTC淀粉样变性。<br>**定义**: 刚果红染色阳性,偏光显微镜下呈苹果绿双折光<br>**建议值**: `无`, `局灶淀粉样变`, `广泛淀粉样变`<br>**临床意义**: 淀粉样变见于80% MTC,由降钙素沉积形成,是MTC特征性表现",不适用(PTC)
pathology.capsularInvasion,包膜侵犯,String,"肿瘤包膜侵犯。<br>**建议值**: `无包膜侵犯(局限于腺内)`, `包膜侵犯`, `突破包膜(腺外侵犯)`<br>**临床意义**: 包膜侵犯是T3(>4cm)或微小腺外侵犯,突破包膜是T3a(肉眼腺外侵犯)",无包膜侵犯
pathology.extrathyroidalExtension.gross,甲状腺外侵犯.肉眼可见,String,"肉眼腺外侵犯(Gross ETE,T3b/T4)。<br>**T3b**: 侵犯带状肌(胸骨舌骨肌/胸骨甲状肌/肩胛舌骨肌/甲状舌骨肌)<br>**T4a**: 侵犯喉、气管、食管、喉返神经、皮下软组织<br>**T4b**: 侵犯椎前筋膜、包绕颈动脉或纵隔血管(不可切除)<br>**建议值**: `无肉眼腺外侵犯`, `侵犯带状肌(T3b)`, `侵犯气管(T4a)`, `侵犯喉返神经(T4a)`, `侵犯食管(T4a)`, `侵犯椎前筋膜(T4b)`, `包绕颈动脉(T4b)`<br>**临床意义**: T4a可切除但复发率高,T4b不可切除,预后差",无肉眼腺外侵犯
pathology.extrathyroidalExtension.microscopic,甲状腺外侵犯.镜下微小侵犯,String,"镜下微小腺外侵犯(Microscopic ETE)。<br>**定义**: 镜下见肿瘤侵犯甲状腺周围软组织/脂肪/骨骼肌,但肉眼未见<br>**AJCC第8版更新**: 镜下微小ETE不再上调T分期,仍为T1/T2<br>**建议值**: `无微小侵犯`, `微小侵犯-周围脂肪`, `微小侵犯-骨骼肌(带状肌)`<br>**临床意义**: 微小ETE见于30-40% PTC,第8版中不影响T分期但仍是复发风险因素",微小侵犯-周围脂肪
pathology.lymphovascularInvasion,淋巴血管侵犯,String,"淋巴血管侵犯(LVI)。<br>**建议值**: `无`, `淋巴管侵犯`, `血管侵犯`, `淋巴血管均侵犯`<br>**临床意义**: PTC以淋巴转移为主(60-80%),LVI提示淋巴结转移风险高;FTC以血行转移为主,血管侵犯提示远处转移",淋巴管侵犯
pathology.perithyroidalSoftTissue,甲状腺周围软组织侵犯,String,"甲状腺周围软组织侵犯。<br>**建议值**: `无`, `侵犯周围脂肪`, `侵犯纤维结缔组织`, `侵犯带状肌`<br>**临床意义**: 周围软组织侵犯提示局部侵袭性",侵犯周围脂肪
ihc.thyroidMarkers.tg,免疫组化.甲状腺标记.Tg,String,"甲状腺球蛋白(Thyroglobulin)。<br>**表达模式**: 胞质染色<br>**建议值**: `阳性`, `阴性`, `局灶阳性`<br>**临床意义**: PTC/FTC阳性(95%),MTC/ATC常阴性,证实甲状腺滤泡上皮来源",阳性
