字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行甲状腺功能检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行甲状腺功能检查的临床指征。<br>**建议值**: `甲亢症状`, `甲减症状`, `甲状腺肿`, `甲状腺结节`, `常规筛查`, `妊娠`, `药物监测`",甲减症状
thyroidStimulatingHormone,促甲状腺激素 (TSH),Number,"血清TSH水平。<br>单位: mU/L<br>**参考范围**: 0.27-4.2",8.5
freeThyroxine,游离甲状腺素 (FT4),Number,"血清游离T4水平。<br>单位: pmol/L<br>**参考范围**: 12-22",8.2
freeTriiodothyronine,游离三碘甲状腺原氨酸 (FT3),Number,"血清游离T3水平。<br>单位: pmol/L<br>**参考范围**: 3.1-6.8",3.8
totalThyroxine,总甲状腺素 (TT4),Number,"血清总T4水平。<br>单位: nmol/L<br>**参考范围**: 66-181",55
totalTriiodothyronine,总三碘甲状腺原氨酸 (TT3),Number,"血清总T3水平。<br>单位: nmol/L<br>**参考范围**: 1.3-3.1",1.1
reverseT3,反T3 (rT3),Number,"反向T3水平。<br>单位: pmol/L<br>**参考范围**: 10-24",28
thyroxineBindingGlobulin,甲状腺素结合球蛋白 (TBG),Number,"TBG水平。<br>单位: mg/L<br>**参考范围**: 15-34",22
thyroglobulin,甲状腺球蛋白 (Tg),Number,"血清甲状腺球蛋白。<br>单位: μg/L<br>**参考范围**: 1.4-78",45
antithyroglobulinAntibody,抗甲状腺球蛋白抗体 (TgAb),Number,"抗Tg抗体。<br>单位: IU/mL<br>**参考范围**: <115",250
antithyroidPeroxidaseAntibody,抗甲状腺过氧化物酶抗体 (TPOAb),Number,"抗TPO抗体。<br>单位: IU/mL<br>**参考范围**: <34",180
tshReceptorAntibody,TSH受体抗体 (TRAb),Number,"TSH受体抗体。<br>单位: IU/L<br>**参考范围**: <1.75",0.5
thyroidStimulatingImmunoglobulin,甲状腺刺激免疫球蛋白 (TSI),Number,"TSI活性。<br>单位: %<br>**参考范围**: <140%",95
calcitonin,降钙素 (CT),Number,"血清降钙素。<br>单位: pg/mL<br>**参考范围**: 男性<11.5，女性<4.6",3.2
thyroidFunction.diagnosis,甲状腺功能.诊断,String,"甲状腺功能状态。<br>**建议值**: `正常`, `亚临床甲减`, `临床甲减`, `亚临床甲亢`, `临床甲亢`, `低T3综合征`",临床甲减
thyroidFunction.severity,甲状腺功能.严重程度,String,"功能异常严重程度。<br>**建议值**: `正常`, `轻度`, `中度`, `重度`",中度
thyroidMorphology.glandSize,甲状腺形态.腺体大小,String,"甲状腺大小评估。<br>**建议值**: `正常`, `轻度增大`, `中度增大`, `明显增大`",轻度增大
thyroidMorphology.echogenicity,甲状腺形态.回声,String,"甲状腺回声特征。<br>**建议值**: `正常`, `低回声`, `高回声`, `混合回声`",低回声
thyroidMorphology.echoTexture,甲状腺形态.回声质地,String,"甲状腺回声质地。<br>**建议值**: `均匀`, `不均匀`, `粗糙`",不均匀
thyroidMorphology.nodules,甲状腺形态.结节,String,"甲状腺结节情况。<br>**建议值**: `无`, `单发结节`, `多发结节`",多发结节
thyroidNodules.number,甲状腺结节.数量,Number,"结节数量",3
thyroidNodules.maxSize,甲状腺结节.最大径,Number,"最大结节直径。<br>单位: mm",15
thyroidNodules.location,甲状腺结节.位置,String,"结节位置。<br>**建议值**: `左叶`, `右叶`, `峡部`, `双叶`",双叶
thyroidNodules.composition,甲状腺结节.性质,String,"结节性质。<br>**建议值**: `实性`, `囊性`, `混合性`",实性
thyroidNodules.calcification,甲状腺结节.钙化,String,"结节钙化情况。<br>**建议值**: `无`, `粗大钙化`, `微钙化`",微钙化
thyroidNodules.bloodFlow,甲状腺结节.血流,String,"结节血流情况。<br>**建议值**: `无血流`, `少血流`, `丰富血流`",少血流
thyroidNodules.tirads,甲状腺结节.TI-RADS分级,String,"TI-RADS分级。<br>**建议值**: `TI-RADS 1`, `TI-RADS 2`, `TI-RADS 3`, `TI-RADS 4a`, `TI-RADS 4b`, `TI-RADS 4c`, `TI-RADS 5`",TI-RADS 3
thyroidNodules.fineneedleAspiration,甲状腺结节.细针穿刺,String,"细针穿刺细胞学结果。<br>**建议值**: `未做`, `良性`, `恶性`, `不确定意义`, `可疑恶性`",未做
lymphNodes.cervical,淋巴结.颈部淋巴结,String,"颈部淋巴结情况。<br>**建议值**: `正常`, `肿大`, `可疑转移`",正常
autoimmuneDiseases.hashimoto,自身免疫疾病.桥本甲状腺炎,String,"桥本甲状腺炎诊断。<br>**建议值**: `否`, `疑似`, `确诊`",确诊
autoimmuneDiseases.graves,自身免疫疾病.Graves病,String,"Graves病诊断。<br>**建议值**: `否`, `疑似`, `确诊`",否
autoimmuneDiseases.postpartumThyroiditis,自身免疫疾病.产后甲状腺炎,String,"产后甲状腺炎诊断。<br>**建议值**: `否`, `疑似`, `确诊`",否
symptoms.hyperthyroid.nervousness,甲亢症状.紧张焦虑,String,"紧张焦虑症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hyperthyroid.palpitations,甲亢症状.心悸,String,"心悸症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hyperthyroid.tremor,甲亢症状.震颤,String,"震颤症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hyperthyroid.sweating,甲亢症状.多汗,String,"多汗症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hyperthyroid.weightLoss,甲亢症状.体重减轻,String,"体重减轻症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hyperthyroid.insomnia,甲亢症状.失眠,String,"失眠症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hypothyroid.fatigue,甲减症状.乏力,String,"乏力症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
symptoms.hypothyroid.coldIntolerance,甲减症状.怕冷,String,"怕冷症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
symptoms.hypothyroid.constipation,甲减症状.便秘,String,"便秘症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",轻度
