字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
assessmentDate,评估日期,Date,甲状腺结节评估日期,2025-01-15
discoveryMethod,发现方式,String,"**建议值**: `体检超声偶然发现`, `自己触及颈部肿块`, `家人发现`, `其他影像学检查(CT/PET-CT)偶然发现`, `甲状腺功能异常进一步检查`",体检超声偶然发现

symptoms.palpableMass,症状.颈部肿块,String,"**建议值**: `无(不可触及)`, `可触及但不明显`, `明显肿块`",可触及但不明显
symptoms.growth,症状.生长速度,String,"**建议值**: `无明显变化`, `缓慢生长(>6个月)`, `快速生长(<6个月,恶性警示)`, `不详`",无明显变化
symptoms.pain,症状.疼痛,String,"**建议值**: `无`, `轻微胀痛`, `明显疼痛(亚急性甲状腺炎/出血)`,无
symptoms.compressive,症状.压迫症状,String,"**示例**: `无`, `吞咽困难`, `呼吸困难`, `声音嘶哑(喉返神经受压)`, `颈部压迫感`",无
symptoms.hoarseness,症状.声音嘶哑,String,"**建议值**: `无`, `有(持续性,恶性警示)`, `有(间歇性)`",无

riskFactors.radiationExposure,危险因素.头颈部放射史,String,"**建议值**: `无`, `儿童期头颈部放射治疗史`, `核辐射暴露史`, `频繁放射检查`<br>**儿童期放射史**: 甲状腺癌风险显著增加",无
riskFactors.familyHistory,危险因素.家族史,String,"**建议值**: `无`, `一级亲属甲状腺癌史`, `家族性甲状腺癌综合征(MEN2/FMTC)`, `一级亲属甲状腺结节史`",无
riskFactors.age,危险因素.年龄,Number,"年龄。<br>单位: 岁<br>**<20岁或>70岁**: 结节恶性风险增加",45
riskFactors.gender,危险因素.性别,String,"**建议值**: `女`, `男`<br>**男性**: 结节恶性风险相对高(但女性结节发病率高4倍)",女

physicalExam.noduleSize,体格检查.结节大小,String,"触诊估计大小。<br>**示例**: `不可触及`, `约1cm`, `约2cm`, `>3cm`",约1cm
physicalExam.consistency,体格检查.质地,String,"**建议值**: `软`, `中等`, `硬(恶性警示)`, `囊性`,中等
physicalExam.mobility,体格检查.活动度,String,"**建议值**: `活动良好`, `活动受限(与周围组织粘连,恶性警示)`,活动良好
physicalExam.lymphNodes,体格检查.颈部淋巴结,String,"**建议值**: `未触及肿大淋巴结`, `可触及肿大淋巴结(质硬/固定,恶性警示)`,未触及肿大淋巴结
physicalExam.thyroidSize,体格检查.甲状腺大小,String,"**建议值**: `正常大小`, `轻度肿大(I度)`, `中度肿大(II度)`, `重度肿大(III度,胸骨后甲状腺肿)`",正常大小

ultrasound.date,超声.检查日期,Date,甲状腺超声检查日期,2025-01-15
ultrasound.noduleCount,超声.结节数量,String,"**建议值**: `单发结节`, `多发结节(2-3个)`, `多发结节(≥4个)`, `弥漫性多发(>10个)`",单发结节
ultrasound.dominantNodule,超声.主要结节,String,"如多发结节,描述最大或最可疑结节。<br>**建议值**: `单发结节即为主要结节`, `多发结节中的最大结节`, `多发结节中TI-RADS评分最高结节`",单发结节即为主要结节

nodule1.location,结节1.位置,String,"**建议值**: `右叶上极`, `右叶中部`, `右叶下极`, `左叶上极`, `左叶中部`, `左叶下极`, `峡部`",右叶中部
nodule1.size.length,结节1.大小.长径,Number,"最大径。<br>单位: mm<br>**≥10mm**: 考虑FNA",15
nodule1.size.width,结节1.大小.宽径,Number,"宽径。<br>单位: mm",12
nodule1.size.depth,结节1.大小.前后径,Number,"前后径。<br>单位: mm",10
nodule1.volume,结节1.体积,Number,"体积(椭球体积公式)。<br>单位: mL<br>体积 = π/6 × 长径 × 宽径 × 前后径",0.94

nodule1.composition,结节1.成分,String,"**ACR TI-RADS分类**:<br>**囊性**: 0分<br>**囊实性(囊性为主)**: 0分<br>**囊实性(实性为主)**: 1分<br>**实性或几乎完全实性**: 2分<br>**建议值**: `囊性`, `囊实性(囊性为主)`, `囊实性(实性为主)`, `实性`",实性
nodule1.echogenicity,结节1.回声,String,"**ACR TI-RADS**:<br>**无回声(囊性)**: 0分<br>**高回声或等回声**: 1分<br>**低回声**: 2分<br>**极低回声(低于颈部肌肉)**: 3分<br>**建议值**: `无回声`, `高回声`, `等回声`, `低回声`, `极低回声`",低回声
nodule1.shape,结节1.形态,String,"**ACR TI-RADS**:<br>**宽大于高(横切面)**: 0分<br>**高大于宽(纵切面,恶性警示)**: 3分<br>**建议值**: `宽>高`, `高>宽`",宽>高
nodule1.margin,结节1.边缘,String,"**ACR TI-RADS**:<br>**光滑**: 0分<br>**不规则(分叶/锯齿状)**: 2分<br>**小叶外生长(extrathyroidal extension)**: 3分<br>**建议值**: `光滑`, `不规则`, `小叶外生长`",光滑
nodule1.echoFoci,结节1.强回声灶,String,"**ACR TI-RADS**:<br>**无或大彗星尾征(胶质囊肿)**: 0分<br>**粗大钙化**: 1分<br>**边缘钙化(蛋壳样)**: 2分<br>**微小钙化(砂粒体,恶性最强指征)**: 3分<br>**建议值**: `无强回声`, `大彗星尾征`, `粗大钙化`, `边缘钙化`, `微小钙化`",无强回声

